# https://chainz.cryptoid.info/ and whois results
# Elite
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
101.100.141.61|/ Elite:2.0.1.2/|60200|133579|101.100.141.0/24|NZ|apnic|2010-12-22|MYREPNZ-AS-AP MYREPUBLIC LIMITED, NZ
104.215.119.68|/ Elite:2.0.1.2/|60200|8075|104.208.0.0/13|US|arin|2014-10-01|MICROSOFT-CORP-MSN-AS-BLOCK, US
104.218.60.123|/ Elite:2.0.1.2/|60200|54133|104.218.60.0/24|CA|arin|2014-10-02|UNMETERED, CA
104.58.204.182|/ Elite:2.0.1.2/|60200|7018|104.48.0.0/12|US|arin|2014-05-06|ATT-INTERNET4, US
111.239.167.133|/ Elite:2.0.1.2/|60200|2516|111.236.0.0/14|JP|apnic|2009-08-07|KDDI KDDI CORPORATION, JP
111.239.170.181|/ Elite:2.0.1.2/|60200|2516|111.236.0.0/14|JP|apnic|2009-08-07|KDDI KDDI CORPORATION, JP
111.239.187.108|/ Elite:2.0.1.2/|60200|2516|111.236.0.0/14|JP|apnic|2009-08-07|KDDI KDDI CORPORATION, JP
113.22.82.37|/ Elite:2.0.1.2/|60200|18403|113.22.82.0/24|VN|apnic|2008-10-10|FPT-AS-AP The Corporation for Financing & Promoting Technology, VN
116.74.149.73|/ Elite:2.0.1.2/|60200|17488|116.74.144.0/20|IN|apnic|2007-05-04|HATHWAY-NET-AP Hathway IP Over Cable Internet, IN
124.189.7.37|/ Elite:2.0.1.3/|1000000|1221|124.176.0.0/12|AU|apnic|2006-06-20|ASN-TELSTRA Telstra Corporation Ltd, AU
128.71.214.140|/ Elite:2.0.1.2/|60200|3216|128.71.0.0/16|RU|ripencc|2011-10-31|SOVAM-AS, RU
153.178.107.172|/ Elite:2.0.1.2/|60200|4713|153.176.0.0/12|JP|apnic|2011-02-28|OCN NTT Communications Corporation, JP
153.184.154.0|/ Elite:2.0.1.2/|60200|4713|153.176.0.0/12|JP|apnic|2011-02-28|OCN NTT Communications Corporation, JP
162.236.125.32|/ Elite:2.0.1.2/|60200|7018|162.224.0.0/12|US|arin|2013-05-21|ATT-INTERNET4, US
173.249.12.64|/Satoshi:2.0.1.1/|60100|51167|173.249.12.0/23|DE|ripencc|2010-05-26|CONTABO, DE
173.249.27.133|/ Elite:2.0.1.2/|60200|51167|173.249.26.0/23|DE|ripencc|2010-05-26|CONTABO, DE
173.68.194.18|/Satoshi:2.0.1.1/|60100|701|173.68.0.0/16|US|arin|2008-08-11|UUNET, US
174.94.92.29|/Satoshi:2.0.1.1/|60100|577|174.94.0.0/16|CA|arin|2009-02-27|BACOM, CA
176.14.57.250|/ Elite:2.0.1.2/|60200|8402|176.14.0.0/15|RU|ripencc|2011-05-18|CORBINA-AS OJSC _Vimpelcom_, RU
177.137.34.123|/ Elite:2.0.1.2/|60200|28235|177.137.32.0/20|BR|lacnic|2012-02-28|NIPONET TELECOMUNICACOES LTDA, BR
178.38.231.37|/ Elite:2.0.1.2/|60200|6730|178.38.0.0/15|CH|ripencc|2010-02-02|SUNRISE, CH
179.234.253.240|/ Elite:2.0.1.2/|60200|28573|179.234.224.0/19|BR|lacnic|2012-11-14|CLARO S.A., BR
185.104.184.98|/ Elite:2.0.1.2/|60200|9009|185.104.184.0/24|GB|ripencc|2015-06-15|M247, GB
185.117.74.45|/ Elite:2.0.1.2/|60200|60117|185.117.74.0/24|NL|ripencc|2015-09-14|HS, AE
188.124.109.41|/ Elite:2.0.1.2/|60200|48475|188.124.96.0/19|RU|ripencc|2009-06-22|OSKOLNET-AS, RU
188.64.165.65|/ Elite:2.0.1.2/|60200|50473|188.64.165.0/24|RU|ripencc|2009-07-21|ECO-AS, RU
188.79.102.118|/ Elite:2.0.1.2/|60200|12479|188.79.100.0/22|ES|ripencc|2011-01-04|UNI2-AS, ES
195.138.249.13|/ Elite:2.0.1.2/|60200|201011|195.138.249.0/24|DE|ripencc|2012-09-10|NETZBETRIEB-GMBH, DE
195.195.206.18|/ Elite:2.0.1.2/|60200|786|195.194.0.0/15|GB|ripencc|1997-06-30|JANET Jisc Services Limited, GB
195.46.187.110|/Satoshi:2.0.1.1/|60100|3216|195.46.160.0/19|RU|ripencc|1997-10-16|SOVAM-AS, RU
203.29.148.103|/ Elite:2.0.1.2/|60200|7545|203.29.148.0/24|AU|apnic|1996-07-11|TPG-INTERNET-AP TPG Telecom Limited, AU
212.42.200.125|/ Elite:2.0.1.2/|60200|49800|212.42.192.0/19|AM|ripencc|1998-08-21|GNC-ALFA GNC Alfa CJSC (Rostelecom Armenia), AM
213.230.81.116|/ Elite:2.0.1.2/|60200|8193|213.230.80.0/22|UZ|ripencc|2008-01-31|BRM-AS, UZ
213.87.133.228|/ Elite:2.0.1.2/|60200|8359|213.87.128.0/19|RU|ripencc|2000-04-10|MTS, RU
220.235.46.125|/ Elite:2.0.1.2/|60200|7545|220.235.32.0/20|AU|apnic|2004-03-30|TPG-INTERNET-AP TPG Telecom Limited, AU
24.138.133.34|/ Elite:2.0.1.2/|60200|23184|24.138.128.0/19|CA|arin|2005-10-12|PERSONA, CA
27.104.140.135|/ Elite:2.0.1.2/|60200|4773|27.104.128.0/18|SG|apnic|2010-05-28|MOBILEONELTD-AS-AP MobileOne Ltd. Mobile/Internet Service Provider Singapore, SG
27.253.50.0|/ Elite:2.0.1.2/|60200|4804|27.253.32.0/19|AU|apnic|2011-03-22|MPX-AS Microplex PTY LTD, AU
37.30.51.38|/ Elite:2.0.1.2/|60200|12912|37.30.0.0/15|PL|ripencc|2011-12-30|TM, PL
41.50.139.226|/ Elite:2.0.1.2/|60200|37168|41.50.0.0/16|ZA|afrinic|2009-12-11|CELL-C, ZA
45.21.62.204|/ Elite:2.0.1.5/|60205|7018|45.16.0.0/12|US|arin|2014-12-11|ATT-INTERNET4, US
46.101.235.143|/ Elite:2.0.1.2/|60200|14061|46.101.128.0/17|NL|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
46.119.130.85|/ Elite:2.0.1.2/|60200|15895|46.118.0.0/15|UA|ripencc|2010-05-17|KSNET-AS, UA
46.188.4.74|/ Elite:2.0.1.2/|60200|8334|46.188.0.0/17|RU|ripencc|2010-11-24|CO-2COM-AS Moscow, RU
46.229.252.84|/ Elite:2.0.1.2/|60200|56681|46.229.252.0/23|HR|ripencc|2011-02-23|FASTNET-AS, HR
46.90.77.51|/ Elite:2.0.1.2/|60200|3320|46.80.0.0/12|DE|ripencc|2010-06-07|DTAG Internet service provider operations, DE
47.41.133.73|/ Elite:2.0.1.2/|60200|20115|47.41.128.0/18|US|arin|2014-12-23|CHARTER-20115, US
51.81.115.87|/ Elite:2.0.1.2/|60200|16276|51.81.0.0/17|US|arin|2019-03-11|OVH, FR
60.66.10.241|/ Elite:2.0.1.2/|60200|17676|60.66.0.0/16|JP|apnic|2004-05-20|GIGAINFRA Softbank BB Corp., JP
66.55.64.208|/ Elite:2.0.1.2/|60200|40676|66.55.64.0/24|US|arin|2009-10-08|AS40676, US
68.48.235.234|/ Elite:2.0.1.2/|60200|7922|68.32.0.0/11|US|arin|2001-11-29|COMCAST-7922, US
70.180.200.69|/Satoshi:2.0.1.1/|60100|22773|70.180.128.0/17|US|arin|2004-07-21|ASN-CXA-ALL-CCI-22773-RDC, US
71.214.143.102|/ Elite:2.0.1.2/|60200|209|71.214.0.0/16|US|arin|2005-05-06|CENTURYLINK-US-LEGACY-QWEST, US
71.254.203.190|/ Elite:2.0.1.2/|60200|701|71.254.192.0/19|US|arin|2004-11-09|UUNET, US
71.69.103.4|/Satoshi:2.0.1.1/|60100|11426|71.68.0.0/14|US|arin|2005-05-16|TWC-11426-CAROLINAS, US
71.89.71.176|/ Elite:2.0.1.2/|60200|20115|71.89.64.0/18|US|arin|2005-05-19|CHARTER-20115, US
72.194.154.206|/ Elite:2.0.1.2/|60200|22773|72.194.152.0/21|US|arin|2005-08-03|ASN-CXA-ALL-CCI-22773-RDC, US
72.203.101.202|/ Elite:2.0.1.2/|60200|22773|72.203.64.0/18|US|arin|2005-08-03|ASN-CXA-ALL-CCI-22773-RDC, US
72.241.118.222|/ Elite:2.0.1.2/|60200|13490|72.241.118.0/24|US|arin|2005-04-21|BUCKEYECABLEVISION, US
73.84.72.219|/Satoshi:2.0.1.1/|60100|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
