# https://chainz.cryptoid.info/ and whois results
# 42-coin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
121.215.0.120|/Satoshi:0.11.0.1/|60019|1221|121.208.0.0/12|AU|apnic|2007-02-09|ASN-TELSTRA Telstra Corporation Ltd, AU
135.181.32.80|/Satoshi:0.11.0.4/|60019|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE
139.99.196.131|/Satoshi:0.11.0/|60019|16276|139.99.128.0/17|CA|arin|2016-09-09|OVH, FR
147.135.210.113|/Satoshi:0.11.0/|60019|16276|147.135.128.0/17|FR|ripencc|2017-03-22|OVH, FR
173.2.195.19|/Satoshi:0.11.0/|60019|6128|173.2.0.0/15|US|arin|2008-05-12|CABLE-NET-1, US
173.212.202.33|/Satoshi:0.7.6.8/|60018|51167|173.212.192.0/19|DE|ripencc|2009-10-26|CONTABO, DE
173.216.88.59|/Satoshi:0.11.0.4/|60019|19108|173.216.0.0/16|US|arin|2009-09-16|SUDDENLINK-COMMUNICATIONS, US
185.237.216.209|/Satoshi:0.10.0.1/|60019|212994|185.237.216.0/24|UA|ripencc|2017-12-20|EUROLINK, UA
185.244.214.238|/Satoshi:0.11.0/|60019|9009|185.244.214.0/24|RO|ripencc|2018-02-05|M247, GB
194.99.105.99|/Satoshi:0.11.0/|60019|9009|194.99.105.0/24|RO|ripencc|2018-05-23|M247, GB
202.152.71.78|/Satoshi:0.11.0/|60019|10101|202.152.71.0/24|BN|apnic|2005-08-08|SIMPUR-BN UNN-, BN
202.80.212.198|/Satoshi:0.11.0/|60019|17670|202.80.212.0/24|ID|apnic|2003-10-10|MNCKABELMEDIACOM-ID PT. MNC Kabel Mediacom, ID
37.120.156.140|/Satoshi:0.11.0/|60019|9009|37.120.156.0/24|RO|ripencc|2012-02-13|M247, GB
37.120.156.68|/Satoshi:0.11.0/|60019|9009|37.120.156.0/24|RO|ripencc|2012-02-13|M247, GB
37.201.119.183|/Satoshi:0.11.0.4/|60019|6830|37.201.0.0/17|DE|ripencc|2012-03-22|LIBERTYGLOBAL Liberty Global (formerly UPC Broadband Holding, aka AORTA), NL
37.201.225.58|/Satoshi:0.10.0.3/|60019|6830|37.201.128.0/17|DE|ripencc|2012-03-22|LIBERTYGLOBAL Liberty Global (formerly UPC Broadband Holding, aka AORTA), NL
39.99.142.121|/Satoshi:0.11.0.4/|60019|37963|39.96.0.0/14|CN|apnic|2011-04-05|CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co.,Ltd., CN
46.101.235.143|/Satoshi:0.7.7.1/|60019|14061|46.101.128.0/17|US|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
5.105.86.252|/Satoshi:0.7.6.8/|60018|43554|5.105.84.0/22|UA|ripencc|2012-06-28|CDS-AS, UA
50.32.213.185|/Satoshi:0.7.7.1/|60019|5650|50.32.0.0/12|US|arin|2010-09-24|FRONTIER-FRTR, US
51.79.145.189|/Satoshi:0.11.0/|60019|16276|51.79.128.0/17|CA|arin|2019-01-10|OVH, FR
62.24.92.4|/Satoshi:0.11.0/|60019|6830|62.24.80.0/20|CZ|ripencc|2000-06-14|LIBERTYGLOBAL Liberty Global (formerly UPC Broadband Holding, aka AORTA), NL
66.70.191.185|/Satoshi:0.11.0/|60019|16276|66.70.128.0/17|CA|arin|2017-02-13|OVH, FR
73.55.15.50|/Satoshi:0.11.0/|60019|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
75.82.185.108|/Satoshi:0.7.6.9/|60019|20001|75.82.0.0/15|US|arin|2006-07-19|TWC-20001-PACWEST, US
76.16.196.52|/Satoshi:0.10.0.1/|60019|7922|76.16.0.0/12|US|arin|2006-06-28|COMCAST-7922, US
77.186.38.220|/Satoshi:0.11.0.1/|60019|6805|77.176.0.0/12|DE|ripencc|2006-11-17|TDDE-ASN1, DE
78.250.183.27|/Satoshi:0.10.0.1/|60019|12322|78.224.0.0/11|FR|ripencc|2007-03-15|PROXAD, FR
78.250.185.219|/Satoshi:0.10.0.1/|60019|12322|78.224.0.0/11|FR|ripencc|2007-03-15|PROXAD, FR
82.26.177.77|/Satoshi:0.11.0.1/|60019|5089|82.24.0.0/14|GB|ripencc|2003-02-28|NTL, GB
84.119.50.216|/Satoshi:0.11.0.1/|60019|6830|84.119.0.0/16|NL|ripencc|2004-04-07|LIBERTYGLOBAL Liberty Global (formerly UPC Broadband Holding, aka AORTA), NL
84.249.51.136|/Satoshi:0.7.6.9/|60019|1759|84.248.0.0/14|FI|ripencc|2004-06-02|TSF-IP-CORE Telia Finland Oyj, FI
88.131.213.108|/Satoshi:0.7.7.1/|60019|3246|88.131.0.0/16|SE|ripencc|2005-10-24|TDCSONG Tele2 Business (TDC Sweden), SE
91.246.151.238|/Satoshi:0.11.0.1/|60019|6712|91.246.144.0/21|UA|ripencc|2012-08-27|FORMAT-TV-AS, UA
91.250.27.86|/Satoshi:0.10.0/|60019|6712|91.250.24.0/21|UA|ripencc|2012-09-14|FORMAT-TV-AS, UA
94.130.220.87|/Satoshi:0.11.0.4/|60019|24940|94.130.0.0/16|DE|ripencc|2008-06-23|HETZNER-AS, DE
95.111.247.164|/Satoshi:0.10.0.4/|60019|51167|95.111.246.0/23|DE|ripencc|2008-12-30|CONTABO, DE
97.87.108.254|/Satoshi:0.11.0/|60019|20115|97.87.96.0/19|US|arin|2007-03-21|CHARTER-20115, US
