# https://chainz.cryptoid.info/ and whois results
# AquariusCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
109.88.22.154|/Arcoshi:2.0.1/|60016|12392|109.88.16.0/20|BE|ripencc|2009-09-01|ASBRUTELE VOO, BE
128.71.186.217|/Arcoshi:2.0.1/|60016|3216|128.71.0.0/16|RU|ripencc|2011-10-31|SOVAM-AS, RU
185.82.203.241|/Arcoshi:2.0.1/|60016|60117|185.82.203.0/24|NL|ripencc|2014-12-31|HS, AE
193.164.140.162|/Arcoshi:2.0.1/|60016|41427|193.164.140.0/24|SI|ripencc|2006-08-18|MARC-NET_AS, SI
46.101.235.143|/Arcoshi:2.0.1/|60016|14061|46.101.128.0/17|NL|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
5.164.5.251|/Arcoshi:2.0.1/|60016|39028|5.164.4.0/22|RU|ripencc|2012-07-25|ULSK-AS, RU
58.240.66.142|/Arcoshi:2.0.0/|60015|4837|58.240.0.0/15|CN|apnic|2005-06-03|CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
62.182.65.33|/Arcoshi:2.0.1/|60016|196638|62.182.64.0/21|UA|ripencc|2011-02-18|PROMTELECOM-AS, UA
77.121.109.252|/Arcoshi:2.0.1/|60016|25229|77.121.96.0/20|UA|ripencc|2006-11-24|VOLIA-AS, UA
83.240.102.171|/Arcoshi:2.0.1/|60016|31246|83.240.0.0/17|CZ|ripencc|2004-03-11|NETBOX-AS NETBOX Autonomous system, CZ
84.162.163.34|/Arcoshi:2.0.0/|60015||||||
89.142.65.243|/Arcoshi:2.0.1/|60016|5603|89.142.64.0/18|SI|ripencc|2006-03-03|SIOL-NET Telekom Slovenije d.d., SI
89.212.11.158|/Arcoshi:2.0.1/|60016|34779|89.212.0.0/18|SI|ripencc|2006-05-03|T-2-AS AS set propagated by T-2, d.o.o., SI
89.212.118.169|/Arcoshi:2.0.1/|60016|34779|89.212.64.0/18|SI|ripencc|2006-05-03|T-2-AS AS set propagated by T-2, d.o.o., SI
93.103.20.240|/Arcoshi:2.0.1/|60016|34779|93.103.0.0/19|SI|ripencc|2008-03-14|T-2-AS AS set propagated by T-2, d.o.o., SI
93.155.149.105|/Arcoshi:2.0.1/|60016|44313|93.155.144.0/21|BG|ripencc|2008-05-28|SETSERVICE, BG
94.134.92.110|/Arcoshi:2.0.1/|60016|8881|94.134.92.0/24|DE|ripencc|2008-08-07|VERSATEL, DE
94.134.92.121|/Arcoshi:2.0.1/|60016|8881|94.134.92.0/24|DE|ripencc|2008-08-07|VERSATEL, DE
94.23.201.20|/Arcoshi:2.0.1/|60016|16276|94.23.0.0/16|FR|ripencc|2008-07-15|OVH, FR
95.217.73.169|/Arcoshi:2.0.1/|60016|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
