# https://chainz.cryptoid.info/ and whois results
# Arepacoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
142.197.248.49|/ArepaCoin Core:1.2.0/|60019|33363|142.196.0.0/15|US|arin|2012-05-08|BHN-33363, US
167.86.91.170|/ArepaCoin Core:1.2.0/|60019|51167|167.86.90.0/23|DE|ripencc|1993-05-14|CONTABO, DE
168.227.159.128|/ArepaCoin Core:1.2.0/|60019|52898|168.227.156.0/22|BR|lacnic|2016-03-21|Multipla Servicos Inteligentes, BR
170.253.25.172|/ArepaCoin Core:1.2.0/|60019|15704|170.253.16.0/20|ES|ripencc|2014-09-30|AS15704, ES
179.6.193.164|/ArepaCoin Core:1.2.0/|60019|12252|179.6.192.0/23|PE|lacnic|2013-09-16|America Movil Peru S.A.C., PE
185.203.118.216|???|0|44901|185.203.118.0/24|CY|ripencc|2017-05-12|BELCLOUD, BG
188.81.28.168|/ArepaCoin Core:1.2.0/|60019|3243|188.80.0.0/14|PT|ripencc|2009-03-25|MEO-RESIDENCIAL, PT
188.99.41.237|/ArepaCoin Core:1.2.0/|60019|3209|188.96.0.0/12|DE|ripencc|2009-01-20|VODANET International IP-Backbone of Vodafone, DE
190.124.28.146|/ArepaCoin Core:1.2.0/|60019|61461|190.124.28.0/24|VE|lacnic|2013-06-18|Airtek Solutions C.A., VE
190.199.182.180|/ArepaCoin Core:1.2.0/|60019|8048|190.199.160.0/19|VE|lacnic|2007-06-13|CANTV Servicios, Venezuela, VE
190.201.1.85|/ArepaCoin Core:1.2.0/|60019|8048|190.201.0.0/19|VE|lacnic|2007-06-13|CANTV Servicios, Venezuela, VE
190.201.163.165|/ArepaCoin Core:1.2.0/|60019|8048|190.201.160.0/19|VE|lacnic|2007-06-13|CANTV Servicios, Venezuela, VE
190.205.103.213|/ArepaCoin Core:1.2.0/|60019|8048|190.205.96.0/20|VE|lacnic|2007-06-13|CANTV Servicios, Venezuela, VE
190.36.39.220|/ArepaCoin Core:1.2.0/|60019|8048|190.36.32.0/19|VE|lacnic|2006-06-05|CANTV Servicios, Venezuela, VE
190.45.149.71|/ArepaCoin Core:1.2.0/|60019|22047|190.45.144.0/20|CL|lacnic|2006-06-07|VTR BANDA ANCHA S.A., CL
190.75.141.185|/ArepaCoin Core:1.2.0/|60019|8048|190.75.128.0/19|VE|lacnic|2006-11-10|CANTV Servicios, Venezuela, VE
190.78.157.190|/ArepaCoin Core:1.2.0/|60019|8048|190.78.128.0/19|VE|lacnic|2007-06-13|CANTV Servicios, Venezuela, VE
190.79.102.62|/ArepaCoin Core:1.2.0/|60019|8048|190.79.96.0/19|VE|lacnic|2007-06-13|CANTV Servicios, Venezuela, VE
190.79.17.156|/ArepaCoin Core:1.2.0/|60019|8048|190.79.0.0/19|VE|lacnic|2007-06-13|CANTV Servicios, Venezuela, VE
192.157.59.230|/ArepaCoin Core:1.2.0/|60019|55286|192.157.56.0/22|CA|arin|2012-10-22|SERVER-MANIA, CA
195.181.242.196|/ArepaCoin Core:1.2.0/|60019|62282|195.181.240.0/21|LT|ripencc|1997-03-20|RACKRAY UAB Rakrejus, LT
201.209.47.125|/ArepaCoin Core:1.2.0/|60019|8048|201.209.32.0/19|VE|lacnic|2005-08-09|CANTV Servicios, Venezuela, VE
207.180.202.37|/ArepaCoin Core:1.2.0/|60019|51167|207.180.202.0/23|DE|ripencc|1996-08-21|CONTABO, DE
46.151.159.53|/ArepaCoin Core:1.2.0/|60019|50473|46.151.152.0/21|RU|ripencc|2010-12-06|ECO-AS, RU
46.84.216.136|/ArepaCoin Core:1.2.0/|60019|3320|46.80.0.0/12|DE|ripencc|2010-06-07|DTAG Internet service provider operations, DE
5.189.130.108|/ArepaCoin Core:1.2.0/|60019|51167|5.189.128.0/20|DE|ripencc|2012-08-09|CONTABO, DE
50.220.121.211|/ArepaCore:1.0.1.8/|60016|7922|50.128.0.0/9|US|arin|2010-10-21|COMCAST-7922, US
51.38.167.45|/ArepaCoin Core:1.2.0/|60019|16276|51.38.0.0/16|FR|ripencc|1993-09-01|OVH, FR
51.38.167.50|/ArepaCoin Core:1.2.0/|60019|16276|51.38.0.0/16|FR|ripencc|1993-09-01|OVH, FR
70.168.214.206|/ArepaCoin Core:1.2.0/|60019|22773|70.168.208.0/20|US|arin|2004-07-21|ASN-CXA-ALL-CCI-22773-RDC, US
70.91.250.149|/ArepaCoin Core:1.2.0/|60019|7922|70.88.0.0/14|US|arin|2004-08-09|COMCAST-7922, US
78.145.130.41|/ArepaCoin Core:1.2.0/|60019|13285|78.144.0.0/15|GB|ripencc|2007-05-10|OPALTELECOM-AS TalkTalk Communications Limited, GB
86.100.49.209|/ArepaCoin Core:1.2.0/|60019|39007|86.100.0.0/17|LT|ripencc|2005-05-23|BALTICUM-TV-AS, LT
95.111.226.45|/ArepaCoin Core:1.2.0/|60019|51167|95.111.226.0/23|DE|ripencc|2008-12-30|CONTABO, DE
