# https://chainz.cryptoid.info/ and whois results
# Axe
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
103.94.185.80|/Axe Core:1.4.0.2/|70215|40065|103.94.185.0/24|IN|apnic|2017-06-09|CNSERVERS, US
107.191.48.6|/Axe Core:1.4.1/|70215|20473|107.191.48.0/22|US|arin|2014-04-25|AS-CHOOPA, US
108.53.203.246|/Axe Core:1.4.0.2/|70215|701|108.53.0.0/16|US|arin|2009-06-05|UUNET, US
116.202.97.2|/Axe Core:1.5.0.1/|70216|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.203.92.8|/Axe Core:1.5.0.1/|70216|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
129.28.186.148|/Axe Core:1.4.0.2/|70215|45090|129.28.176.0/20|CN|apnic|1989-11-01|CNNIC-TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
13.112.52.91|/Axe Core:1.5.0.1/|70216|16509|13.112.0.0/14|US|arin|2016-08-09|AMAZON-02, US
136.24.44.100|/Axe Core:1.4.1/|70215|19165|136.24.0.0/16|US|arin|2016-10-31|WEBPASS, US
138.201.4.24|/Axe Core:1.5.0.1/|70216|24940|138.201.0.0/16|DE|ripencc|1990-05-23|HETZNER-AS, DE
138.201.4.26|/Axe Core:1.5.0.1/|70216|24940|138.201.0.0/16|DE|ripencc|1990-05-23|HETZNER-AS, DE
138.201.4.30|/Axe Core:1.5.0.1/|70216|24940|138.201.0.0/16|DE|ripencc|1990-05-23|HETZNER-AS, DE
138.201.4.31|/Axe Core:1.5.0.1/|70216|24940|138.201.0.0/16|DE|ripencc|1990-05-23|HETZNER-AS, DE
14.120.115.122|/Axe Core:1.5.0.1/|70216|4134|14.112.0.0/12|CN|apnic|2010-09-06|CHINANET-BACKBONE No.31,Jin-rong Street, CN
146.212.9.71|/Axe Core:1.5.0.1/|70216|21283|146.212.0.0/16|SI|ripencc|2011-07-13|A1SI-AS A1 Slovenija, SI
149.28.174.177|/Axe Core:1.4.1/|70215|20473|149.28.160.0/19|US|arin|2018-05-04|AS-CHOOPA, US
154.209.168.27|???|0|133201|154.209.128.0/18|SC|afrinic|2016-09-23|COMING-AS ABCDE GROUP COMPANY LIMITED, HK
154.209.168.30|???|0|133201|154.209.128.0/18|SC|afrinic|2016-09-23|COMING-AS ABCDE GROUP COMPANY LIMITED, HK
163.172.176.113|/Axe Core:1.5.0.1/|70216|12876|163.172.0.0/16|GB|ripencc|1992-02-14|Online SAS, FR
165.22.118.166|/Axe Core:1.4.1/|70215|14061|165.22.112.0/20|US|arin|2018-10-16|DIGITALOCEAN-ASN, US
167.86.124.239|/Axe Core:1.5.0.1/|70216|51167|167.86.124.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.96.249|/Axe Core:1.5.0.1/|70216|51167|167.86.96.0/23|DE|ripencc|1993-05-14|CONTABO, DE
18.221.49.55|/Axe Core:1.5.0.1/|70216|16509|18.220.0.0/14|US|arin|2018-06-29|AMAZON-02, US
185.50.24.14|/Axe Core:1.5.0.1/|70216|198610|185.50.24.0/24|RU|ripencc|2014-03-12|BEGET-AS, RU
185.50.24.19|/Axe Core:1.5.0.1/|70216|198610|185.50.24.0/24|RU|ripencc|2014-03-12|BEGET-AS, RU
188.42.33.124|/Axe Core:1.5.0.1/|70216|7979|188.42.32.0/21|LU|ripencc|2009-04-27|SERVERS-COM, US
193.37.213.62|/Axe Core:1.5.0.1/|70216|44901|193.37.213.0/24|BG|ripencc|2018-10-22|BELCLOUD, BG
194.182.72.124|/Axe Core:1.4.1/|70215|24806|194.182.64.0/19|IT|ripencc|1996-02-14|INTERNET-CZ Ktis 2, 384 03 Ktis, CZ
207.148.82.206|/Axe Core:1.4.1/|70215|20473|207.148.80.0/21|US|apnic|1996-06-07|AS-CHOOPA, US
207.180.208.104|/Axe Core:1.5.0.1/|70216|51167|207.180.208.0/23|DE|ripencc|1996-08-21|CONTABO, DE
207.246.65.114|/Axe Core:1.5.0.1(axecore-node)/|70216|20473|207.246.64.0/20|US|arin|2017-10-13|AS-CHOOPA, US
209.250.245.118|/Axe Core:1.5.0.1/|70216|20473|209.250.240.0/21|EU|ripencc|2006-06-08|AS-CHOOPA, US
3.12.8.13|/Axe Core:1.5.0.1/|70216|16509|3.12.0.0/16|US|arin|2017-12-20|AMAZON-02, US
31.14.138.37|/Axe Core:1.4.1/|70215|31034|31.14.128.0/20|IT|ripencc|2011-04-18|ARUBA-ASN, IT
31.25.241.224|/Axe Core:1.4.1/|70215|39741|31.25.241.0/24|RU|ripencc|2011-03-10|DCE-AS, RU
38.103.14.253|/Axe Core:1.5.0.1/|70216|174|38.0.0.0/8|US|arin|1991-04-16|COGENT-174, US
39.100.81.98|/Axe Core:1.5.0.1/|70216|37963|39.100.0.0/14|CN|apnic|2011-04-05|CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co.,Ltd., CN
