# https://chainz.cryptoid.info/ and whois results
# B3Coin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
1.156.159.209|/B3-Coin:3.1.2.2/|80008|1221|1.128.0.0/11|AU|apnic|2010-05-18|ASN-TELSTRA Telstra Corporation Ltd, AU
103.9.76.193|/B3-Coin:3.1.2.2/|80008|45899|103.9.76.0/24|VN|apnic|2012-05-10|VNPT-AS-VN VNPT Corp, VN
107.172.27.196|/B3-Coin:3.1.2.2/|80008|36352|107.172.27.0/24|US|arin|2013-12-27|AS-COLOCROSSING, US
107.173.255.113|/B3-Coin:3.1.2.2/|80008|36352|107.173.255.0/24|US|arin|2013-12-27|AS-COLOCROSSING, US
107.173.255.240|/B3-Coin:3.1.2.2/|80008|36352|107.173.255.0/24|US|arin|2013-12-27|AS-COLOCROSSING, US
107.175.95.174|/B3-Coin:3.1.2.2/|80008|36352|107.175.92.0/22|US|arin|2013-12-27|AS-COLOCROSSING, US
107.190.62.99|/B3-Coin:3.1.2.2/|80008|5645|107.190.0.0/17|CA|arin|2014-04-25|TEKSAVVY, CA
108.61.175.195|/B3-Coin:3.1.2.2/|80008|20473|108.61.172.0/22|US|arin|2010-12-08|AS-CHOOPA, US
108.61.96.206|/B3-Coin:3.1.2.2/|80008|20473|108.61.96.0/24|US|arin|2010-12-08|AS-CHOOPA, US
111.221.45.150|/B3-Coin:3.1.2.2/|80008|63930|111.221.45.0/24|SG|apnic|2009-07-16|READYSERVER-SG READY SERVER PTE LTD, SG
111.221.45.151|/B3-Coin:3.1.2.2/|80008|63930|111.221.45.0/24|SG|apnic|2009-07-16|READYSERVER-SG READY SERVER PTE LTD, SG
111.221.45.161|/B3-Coin:3.1.2.2/|80008|63930|111.221.45.0/24|SG|apnic|2009-07-16|READYSERVER-SG READY SERVER PTE LTD, SG
111.221.45.162|/B3-Coin:3.1.2.2/|80008|63930|111.221.45.0/24|SG|apnic|2009-07-16|READYSERVER-SG READY SERVER PTE LTD, SG
111.221.45.166|/B3-Coin:3.1.2.2/|80008|63930|111.221.45.0/24|SG|apnic|2009-07-16|READYSERVER-SG READY SERVER PTE LTD, SG
136.244.68.189|/B3-Coin:3.1.2.2/|80008|20473|136.244.64.0/20|US|arin|2019-04-08|AS-CHOOPA, US
138.255.15.111|/B3-Coin:3.1.2.2/|80008|263947|138.255.12.0/22|BR|lacnic|2015-08-19|Tavares & Repolho Ltda-Me, BR
149.28.162.229|/B3-Coin:3.1.2.2/|80008|20473|149.28.160.0/19|US|arin|2018-05-04|AS-CHOOPA, US
157.245.164.173|/B3-Coin:3.1.2.2/|80008|14061|157.245.160.0/20|US|arin|2019-05-09|DIGITALOCEAN-ASN, US
159.65.134.134|/B3-Coin:3.1.2.2/|80008|14061|159.65.128.0/20|US|arin|2017-10-24|DIGITALOCEAN-ASN, US
159.65.166.35|/B3-Coin:3.1.2.2/|80008|14061|159.65.160.0/20|US|arin|2017-10-24|DIGITALOCEAN-ASN, US
161.142.240.192|/B3-Coin:3.1.2.2/|80008|9930|161.142.224.0/19|MY|apnic|1992-10-12|TTNET-MY TIME dotCom Berhad No. 14, Jalan Majistret U1/26 Hicom Glenmarie Industrial Park 40150 Shah Alam Selangor, Malaysia, MY
164.132.90.43|/B3-Coin:3.1.2.2/|80008|16276|164.132.0.0/16|FR|ripencc|1993-04-23|OVH, FR
165.227.125.242|/B3-Coin:3.1.2.2/|80008|14061|165.227.112.0/20|US|arin|2016-10-06|DIGITALOCEAN-ASN, US
165.227.67.174|/B3-Coin:3.1.2.2/|80008|14061|165.227.64.0/20|US|arin|2016-10-06|DIGITALOCEAN-ASN, US
172.245.153.12|/B3-Coin:3.1.2.2/|80008|36352|172.245.144.0/20|US|arin|2013-04-22|AS-COLOCROSSING, US
172.245.157.5|/B3-Coin:3.1.2.2/|80008|36352|172.245.144.0/20|US|arin|2013-04-22|AS-COLOCROSSING, US
173.212.224.213|/B3-Coin:3.1.2.2/|80008|51167|173.212.224.0/20|DE|ripencc|2009-10-26|CONTABO, DE
173.249.24.141|/B3-Coin:3.1.2.2/|80008|51167|173.249.24.0/23|DE|ripencc|2010-05-26|CONTABO, DE
174.63.202.44|/B3-Coin:3.1.2.2/|80008|7922|174.48.0.0/12|US|arin|2008-11-18|COMCAST-7922, US
176.9.164.234|/B3-Coin:3.1.2.2/|80008|24940|176.9.0.0/16|DE|ripencc|2011-05-17|HETZNER-AS, DE
178.128.11.86|/B3-Coin:3.1.2.2/|80008|14061|178.128.0.0/20|NL|ripencc|2010-03-03|DIGITALOCEAN-ASN, US
178.32.55.196|/B3-Coin:3.1.2.2/|80008|16276|178.32.0.0/15|FR|ripencc|2010-01-19|OVH, FR
178.32.55.197|/B3-Coin:3.1.2.2/|80008|16276|178.32.0.0/15|FR|ripencc|2010-01-19|OVH, FR
192.210.180.5|/B3-Coin:3.1.2.2/|80008|36352|192.210.180.0/23|US|arin|2012-12-11|AS-COLOCROSSING, US
195.201.176.91|???|0|24940|195.201.0.0/16|DE|ripencc|1997-09-22|HETZNER-AS, DE
198.46.248.37|/B3-Coin:3.1.2.2/|80008|36352|198.46.248.0/23|US|arin|2013-03-12|AS-COLOCROSSING, US
199.21.113.74|/B3-Coin:3.1.2.2/|80008|36352|199.21.113.0/24|US|arin|2011-10-14|AS-COLOCROSSING, US
206.189.164.43|/B3-Coin:3.1.2.2/|80008|14061|206.189.160.0/20|US|arin|1995-11-15|DIGITALOCEAN-ASN, US
207.246.104.206|/B3-Coin:3.1.2.2/|80008|20473|207.246.96.0/20|US|arin|2017-10-13|AS-CHOOPA, US
209.250.235.209|/B3-Coin:3.1.2.2/|80008|20473|209.250.232.0/21|EU|ripencc|2006-06-08|AS-CHOOPA, US
213.108.119.84|/B3-Coin:3.1.2.2/|80008|60191|213.108.112.0/21|PL|ripencc|2009-07-29|NOWATEL-AS, PL
217.69.1.1|/B3-Coin:3.1.2.2/|80008|20473|217.69.0.0/20|FR|ripencc|2000-11-16|AS-CHOOPA, US
23.94.51.11|/B3-Coin:3.1.2.2/|80008|36352|23.94.48.0/21|US|arin|2013-08-16|AS-COLOCROSSING, US
23.94.94.117|/B3-Coin:3.1.2.2/|80008|36352|23.94.92.0/22|US|arin|2013-08-16|AS-COLOCROSSING, US
23.94.94.118|/B3-Coin:3.1.2.2/|80008|36352|23.94.92.0/22|US|arin|2013-08-16|AS-COLOCROSSING, US
23.94.95.93|/B3-Coin:3.1.2.2/|80008|36352|23.94.92.0/22|US|arin|2013-08-16|AS-COLOCROSSING, US
45.32.179.124|/B3-Coin:3.1.2.2/|80008|20473|45.32.176.0/21|US|arin|2015-02-17|AS-CHOOPA, US
45.32.233.171|/B3-Coin:3.1.2.2/|80008|20473|45.32.232.0/21|US|arin|2015-02-17|AS-CHOOPA, US
45.32.236.10|/B3-Coin:3.1.2.2/|80008|20473|45.32.232.0/21|US|arin|2015-02-17|AS-CHOOPA, US
45.76.128.17|/B3-Coin:3.1.2.2/|80008|20473|45.76.128.0/20|US|arin|2015-04-24|AS-CHOOPA, US
45.76.95.41|/B3-Coin:3.1.2.2/|80008|20473|45.76.80.0/20|US|arin|2015-04-24|AS-CHOOPA, US
45.77.166.87|/B3-Coin:3.1.2.2/|80008|20473|45.77.160.0/21|US|arin|2015-04-24|AS-CHOOPA, US
45.77.198.58|/B3-Coin:3.1.2.2/|80008|20473|45.77.192.0/21|US|arin|2015-04-24|AS-CHOOPA, US
45.77.223.22|/B3-Coin:3.1.2.2/|80008|20473|45.77.216.0/21|US|arin|2015-04-24|AS-CHOOPA, US
50.193.168.117|/B3-Coin:3.1.2.2/|80008|7922|50.128.0.0/9|US|arin|2010-10-21|COMCAST-7922, US
50.3.82.246|/B3-Coin:3.1.2.2/|80008|49532|50.3.80.0/22|US|arin|2010-06-25|SERVERHUB-NL, DE
52.178.196.46|/B3-Coin:3.1.2.2/|80008|8075|52.160.0.0/11|US|arin|2015-11-24|MICROSOFT-CORP-MSN-AS-BLOCK, US
68.183.196.230|/B3-Coin:3.1.2.2/|80008|14061|68.183.192.0/20|US|arin|2018-09-18|DIGITALOCEAN-ASN, US
68.183.97.66|/B3-Coin:3.1.2.2/|80008|14061|68.183.96.0/20|US|arin|2018-09-18|DIGITALOCEAN-ASN, US
71.233.39.161|/B3-Coin:3.1.2.2/|80008|7922|71.224.0.0/12|US|arin|2005-04-15|COMCAST-7922, US
72.182.107.113|/B3-Coin:3.1.2.2/|80008|11427|72.176.0.0/13|US|arin|2005-11-21|TWC-11427-TEXAS, US
