# https://chainz.cryptoid.info/ and whois results
# Biblepay
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.231.255.190|/BiblePay Core:1.5.2.9/|70761|10796|104.231.192.0/18|US|arin|2014-10-07|TWC-10796-MIDWEST, US
107.191.44.254|/BiblePay Core:1.5.2.9/|70761|20473|107.191.44.0/23|US|arin|2014-04-25|AS-CHOOPA, US
14.201.239.58|/BiblePay Core:1.5.2.9/|70761|7545|14.201.236.0/22|AU|apnic|2010-09-14|TPG-INTERNET-AP TPG Telecom Limited, AU
144.202.66.211|/BiblePay Core:1.5.2.9/|70761|20473|144.202.64.0/20|US|arin|2018-02-05|AS-CHOOPA, US
149.28.125.16|/BiblePay Core:1.5.2.9/|70761|20473|149.28.112.0/20|US|arin|2018-05-04|AS-CHOOPA, US
149.28.254.165|/BiblePay Core:1.5.2.9/|70761|20473|149.28.240.0/20|US|arin|2018-05-04|AS-CHOOPA, US
155.138.228.109|/BiblePay Core:1.5.2.9/|70761|20473|155.138.224.0/20|US|arin|2018-12-05|AS-CHOOPA, US
155.207.70.111|/BiblePay Core:1.5.2.9/|70761|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.146|/BiblePay Core:1.5.2.9/|70761|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.148|/BiblePay Core:1.5.2.9/|70761|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.20|/BiblePay Core:1.5.2.9/|70761|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.25|/BiblePay Core:1.5.2.9/|70761|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.27|/BiblePay Core:1.5.2.9/|70761|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.29|/BiblePay Core:1.5.2.9/|70761|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.38|/BiblePay Core:1.5.2.9/|70761|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.41|/BiblePay Core:1.5.2.9/|70761|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.43|/BiblePay Core:1.5.2.9/|70761|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.44|/BiblePay Core:1.5.2.9/|70761|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.48|/BiblePay Core:1.5.2.9/|70761|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.66|/BiblePay Core:1.5.2.9/|70761|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.68|/BiblePay Core:1.5.2.9/|70761|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.70.76|/BiblePay Core:1.5.2.9/|70761|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
155.207.71.175|/BiblePay Core:1.5.2.9/|70761|5470|155.207.0.0/16|GR|ripencc|1991-11-26|ASAUTHNET AUTH-NET-AS, GR
171.96.192.53|/BiblePay Core:1.5.2.9/|70761|17552|171.96.192.0/18|TH|apnic|2011-03-07|TRUEONLINE-AS-AP True Online, TH
173.180.116.201|/BiblePay Core:1.5.2.9/|70761|852|173.180.0.0/16|CA|arin|2009-06-09|ASN852, CA
174.250.18.12|/BiblePay Core:1.5.2.9/|70761|6167|174.250.18.0/23|US|arin|2008-12-16|CELLCO-PART, US
174.250.18.2|/BiblePay Core:1.5.2.9/|70761|6167|174.250.18.0/23|US|arin|2008-12-16|CELLCO-PART, US
174.250.18.6|/BiblePay Core:1.5.2.9/|70761|6167|174.250.18.0/23|US|arin|2008-12-16|CELLCO-PART, US
212.237.30.143|/BiblePay Core:1.5.2.9/|70761|31034|212.237.0.0/18|IT|ripencc|1998-09-25|ARUBA-ASN, IT
