# https://chainz.cryptoid.info/ and whois results
# BitConnect X
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
137.220.55.223|/Satoshi:1.0.0/|60013|20473|137.220.52.0/22|US|arin|2019-12-09|AS-CHOOPA, US
139.180.174.204|/Satoshi:1.0.0/|60013|20473|139.180.160.0/20|US|apnic|1993-04-08|AS-CHOOPA, US
14.32.37.177|/Satoshi:1.0.0/|60013|4766|14.32.0.0/13|KR|apnic|2010-08-02|KIXS-AS-KR Korea Telecom, KR
159.242.227.76|/Satoshi:1.0.0/|60013|198605|159.242.227.0/24|SK|ripencc|1992-06-17|AVAST-AS-DC, CZ
173.171.56.87|/Satoshi:1.0.0/|60013|33363|173.168.0.0/14|US|arin|2009-04-14|BHN-33363, US
18.27.197.252|/Satoshi:1.0.0/|60013|3|18.27.0.0/16|US|arin|1994-01-01|MIT-GATEWAYS, US
185.220.100.245|/Satoshi:1.0.0/|60013|205100|185.220.100.0/24|DE|ripencc|2017-09-12|F3NETZE, DE
185.220.100.255|/Satoshi:1.0.0/|60013|205100|185.220.100.0/24|DE|ripencc|2017-09-12|F3NETZE, DE
185.220.101.3|/Satoshi:1.0.0/|60013|208294|185.220.101.0/24|DE|ripencc|2017-09-12|ASMK, NL
185.82.203.241|/Satoshi:1.0.0/|60013|60117|185.82.203.0/24|AE|ripencc|2014-12-31|HS, AE
193.218.118.183|/Satoshi:1.0.0/|60013|207656|193.218.118.0/24|FR|ripencc|2019-10-16|EPINATURA, UA
194.28.65.148|/Satoshi:1.0.0/|60013|42723|194.28.64.0/22|UA|ripencc|2010-04-22|VEKTORPLUS-AS, UA
203.205.26.88|/Satoshi:1.0.0/|60013|45903|203.205.26.0/23|VN|apnic|2011-04-08|CMCTELECOM-AS-VN CMC Telecom Infrastructure Company, VN
208.138.22.29|/Satoshi:1.0.0/|60013|30689|208.138.22.0/24|JM|arin|1996-03-27|FLOW-NET, JM
209.236.41.88|/Satoshi:1.0.0/|60013|30689|209.236.41.0/24|JM|arin|2008-09-12|FLOW-NET, JM
213.136.78.68|/Satoshi:1.0.0/|60013|51167|213.136.78.0/23|DE|ripencc|2000-02-28|CONTABO, DE
222.114.151.167|/Satoshi:1.0.0/|60013|4766|222.112.0.0/13|KR|apnic|2003-10-27|KIXS-AS-KR Korea Telecom, KR
34.255.86.170|/Satoshi:1.0.0/|60013|16509|34.248.0.0/13|US|arin|2016-09-12|AMAZON-02, US
45.32.124.96|/Satoshi:1.0.0/|60013|20473|45.32.96.0/19|US|arin|2015-02-17|AS-CHOOPA, US
45.76.25.166|/Satoshi:1.0.0/|60013|20473|45.76.16.0/20|US|arin|2015-04-24|AS-CHOOPA, US
45.77.245.174|/Satoshi:1.0.0/|60013|20473|45.77.240.0/20|US|arin|2015-04-24|AS-CHOOPA, US
49.147.206.243|/Satoshi:1.0.0/|60013|9299|49.147.192.0/19|PH|apnic|2010-11-22|IPG-AS-AP Philippine Long Distance Telephone Company, PH
51.75.144.43|/Satoshi:1.0.0/|60013|16276|51.75.0.0/16|FR|ripencc|1993-09-01|OVH, FR
51.89.153.65|/Satoshi:1.0.0/|60013|16276|51.89.0.0/16|FR|ripencc|1993-09-01|OVH, FR
62.216.54.165|/Satoshi:1.0.0/|60013|41710|62.216.54.0/23|UA|ripencc|2008-10-24|MIITLTD-AS MIIT Ltd., UA
62.238.4.75|/Satoshi:1.0.0/|60013|15542|62.238.0.0/16|NL|ripencc|2000-11-02|ZEELANDNET DELTA Fiber Nederland, NL
66.115.142.168|/Satoshi:1.0.0/|60013|46562|66.115.142.0/24|US|arin|2001-05-09|PERFORMIVE, US
66.115.142.181|/Satoshi:1.0.0/|60013|46562|66.115.142.0/24|US|arin|2001-05-09|PERFORMIVE, US
70.189.175.18|/Satoshi:1.0.0/|60013|22773|70.189.128.0/17|US|arin|2004-07-21|ASN-CXA-ALL-CCI-22773-RDC, US
76.173.96.84|/Satoshi:1.0.0/|60013|20001|76.173.0.0/16|US|arin|2006-07-26|TWC-20001-PACWEST, US
81.169.182.149|/Satoshi:1.0.0/|60013|6724|81.169.128.0/17|DE|ripencc|2003-04-17|STRATO STRATO AG, DE
86.146.7.175|/Satoshi:1.0.0/|60013|2856|86.128.0.0/11|GB|ripencc|2005-02-07|BT-UK-AS BTnet UK Regional network, GB
