# https://chainz.cryptoid.info/ and whois results
# Beenode
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.238.131.59|/Beenode Core:0.9.1.5/|70215|20473|104.238.128.0/21|US|arin|2014-11-13|AS-CHOOPA, US
104.238.135.244|/Beenode Core:0.9.1.6/|70215|20473|104.238.128.0/21|US|arin|2014-11-13|AS-CHOOPA, US
108.247.106.138|/Beenode Core:0.9.1.6/|70215|7018|108.192.0.0/10|US|arin|2011-01-12|ATT-INTERNET4, US
108.61.142.161|/Beenode Core:0.9.1.6/|70215|20473|108.61.128.0/19|US|arin|2010-12-08|AS-CHOOPA, US
108.61.157.213|/Beenode Core:0.9.1.6/|70215|20473|108.61.128.0/19|US|arin|2010-12-08|AS-CHOOPA, US
140.82.11.127|/Beenode Core:0.9.1.6/|70215|20473|140.82.0.0/20|US|arin|2018-03-15|AS-CHOOPA, US
140.82.13.48|/Beenode Core:0.9.1.6/|70215|20473|140.82.0.0/20|US|arin|2018-03-15|AS-CHOOPA, US
140.82.14.45|/Beenode Core:0.9.1.6/|70215|20473|140.82.0.0/20|US|arin|2018-03-15|AS-CHOOPA, US
140.82.46.153|/Beenode Core:0.9.1.6/|70215|20473|140.82.44.0/22|US|arin|2018-03-15|AS-CHOOPA, US
144.202.1.213|/Beenode Core:0.9.1.6/|70215|20473|144.202.0.0/20|US|arin|2018-02-05|AS-CHOOPA, US
144.202.10.228|/Beenode Core:0.9.1.6/|70215|20473|144.202.0.0/20|US|arin|2018-02-05|AS-CHOOPA, US
144.202.6.117|/Beenode Core:0.9.1.5/|70215|20473|144.202.0.0/20|US|arin|2018-02-05|AS-CHOOPA, US
149.28.237.137|/Beenode Core:0.9.1.6/|70215||||||
149.28.239.247|/Beenode Core:0.9.1.5/|70215|20473|149.28.224.0/20|US|arin|2018-05-04|AS-CHOOPA, US
149.28.33.167|/Beenode Core:0.9.1.5/|70215|20473|149.28.32.0/19|US|arin|2018-05-04|AS-CHOOPA, US
149.28.34.97|/Beenode Core:0.9.1.6/|70215|20473|149.28.32.0/19|US|arin|2018-05-04|AS-CHOOPA, US
149.28.35.227|/Beenode Core:0.9.1.6/|70215|20473|149.28.32.0/19|US|arin|2018-05-04|AS-CHOOPA, US
149.28.41.36|/Beenode Core:0.9.1.6/|70215|20473|149.28.32.0/19|US|arin|2018-05-04|AS-CHOOPA, US
149.28.45.253|/Beenode Core:0.9.1.6/|70215|20473|149.28.32.0/19|US|arin|2018-05-04|AS-CHOOPA, US
149.28.48.245|/Beenode Core:0.9.1.6/|70215|20473|149.28.32.0/19|US|arin|2018-05-04|AS-CHOOPA, US
149.28.50.26|/Beenode Core:0.9.1.6/|70215|20473|149.28.32.0/19|US|arin|2018-05-04|AS-CHOOPA, US
149.28.57.54|/Beenode Core:0.9.1.6/|70215|20473|149.28.32.0/19|US|arin|2018-05-04|AS-CHOOPA, US
154.201.3.131|/Beenode Core:0.9.1.6/|70215|8100|154.201.2.0/23|SC|afrinic|2016-09-23|ASN-QUADRANET-GLOBAL, US
159.69.15.70|/Beenode Core:0.9.1.6/|70215|24940|159.69.0.0/16|DE|ripencc|1992-03-13|HETZNER-AS, DE
173.199.126.12|/Beenode Core:0.9.1.5/|70215|20473|173.199.124.0/22|US|arin|2010-09-29|AS-CHOOPA, US
176.123.6.181|/Beenode Core:0.9.1.6/|70215|200019|176.123.0.0/21|MD|ripencc|2012-07-26|ALEXHOST, MD
176.226.150.106|/Beenode Core:0.9.1.6/|70215|8369|176.226.128.0/17|RU|ripencc|2011-12-01|INTERSVYAZ-AS 38-B, Komsomolsky prospekt, RU
185.58.193.193|/Beenode Core:0.9.1.6/|70215|31034|185.58.192.0/22|IT|ripencc|2014-05-23|ARUBA-ASN, IT
188.121.204.171|/Beenode Core:0.9.1.5/|70215|16010|188.121.192.0/19|GE|ripencc|2009-05-12|MAGTICOMAS Caucasus-Online, GE
193.16.10.59|/Beenode Core:0.9.1.6/|70215|35913|193.16.10.0/24|GB|ripencc|2018-07-06|DEDIPATH-LLC, US
198.148.123.184|/Beenode Core:0.9.1.6/|70215|35916|198.148.96.0/19|US|arin|2012-04-23|MULTA-ASN1, US
207.148.18.23|/Beenode Core:0.9.1.6/|70215|20473|207.148.16.0/20|US|arin|2017-12-01|AS-CHOOPA, US
207.148.20.219|/Beenode Core:0.9.1.6/|70215|20473|207.148.16.0/20|US|arin|2017-12-01|AS-CHOOPA, US
207.148.21.65|/Beenode Core:0.9.1.6/|70215|20473|207.148.16.0/20|US|arin|2017-12-01|AS-CHOOPA, US
207.148.25.61|/Beenode Core:0.9.1.6/|70215|20473|207.148.16.0/20|US|arin|2017-12-01|AS-CHOOPA, US
207.148.31.1|/Beenode Core:0.9.1.5/|70215|20473|207.148.16.0/20|US|arin|2017-12-01|AS-CHOOPA, US
207.246.87.39|/Beenode Core:0.9.1.5/|70215|20473|207.246.80.0/20|US|arin|2017-10-13|AS-CHOOPA, US
208.167.242.241|/Beenode Core:0.9.1.6/|70215|20473|208.167.224.0/19|US|arin|2005-12-14|AS-CHOOPA, US
208.167.245.185|/Beenode Core:0.9.1.6/|70215|20473|208.167.224.0/19|US|arin|2005-12-14|AS-CHOOPA, US
209.222.21.124|/Beenode Core:0.9.1.5/|70215|20473|209.222.20.0/23|US|arin|2010-02-16|AS-CHOOPA, US
212.237.28.137|/Beenode Core:0.9.1.6/|70215|31034|212.237.0.0/18|IT|ripencc|1998-09-25|ARUBA-ASN, IT
45.148.11.136|/Beenode Core:0.9.1.6/|70215|9009|45.148.11.0/24|IT|ripencc|2019-09-02|M247, GB
45.32.6.67|/Beenode Core:0.9.1.6/|70215|20473|45.32.0.0/21|US|arin|2015-02-17|AS-CHOOPA, US
45.63.15.106|/Beenode Core:0.9.1.6/|70215|20473|45.63.0.0/20|US|arin|2015-01-02|AS-CHOOPA, US
