# https://chainz.cryptoid.info/ and whois results
# BitCore
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
103.4.230.75|/Odarhom:0.90.9.10/|80008|38794|103.4.228.0/22|TH|apnic|2011-07-18|UIH-BBB-AS-AP UIH, TH
104.161.95.37|/Odarhom:0.90.9.5/|80008|53755|104.161.95.0/24|US|arin|2014-07-28|IOFLOOD, US
104.198.148.94|/Odarhom:0.90.9.9/|80008|15169|104.198.128.0/19|US|arin|2014-08-27|GOOGLE, US
105.67.4.219|/Odarhom:0.90.9.9/|80008|36884|105.67.0.0/17|MA|afrinic|2014-01-27|MAROCCONNECT, MA
108.61.86.127|/Odarhom:0.90.9.6/|80008|20473|108.61.64.0/19|US|arin|2010-12-08|AS-CHOOPA, US
116.202.47.198|/Odarhom:0.90.9.7/|80008|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.203.253.186|/Odarhom:0.90.9.6/|80008|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
13.212.103.222|/Odarhom:0.90.9.10/|80008|16509|13.212.0.0/15|US|arin|2019-10-01|AMAZON-02, US
131.108.74.53|/Odarhom:0.90.9.10/|80008|61665|131.108.74.0/24|BR|lacnic|2014-09-02|ROMICROS BRASIL LTDA, BR
135.181.183.38|/Odarhom:0.90.9.8/|80008|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE
138.201.34.29|/Odarhom:0.90.9.8/|80008|24940|138.201.0.0/16|DE|ripencc|1990-05-23|HETZNER-AS, DE
139.28.221.34|/Odarhom:0.90.9.5/|80008|35196|139.28.221.0/24|SC|ripencc|2019-01-04|IHOR-AS, RU
139.9.103.198|/Odarhom:0.90.9.6/|80008|55990|139.9.100.0/22|CN|apnic|2011-03-10|HWCSNET Huawei Cloud Service data center, CN
140.82.2.36|/Odarhom:0.90.9.6/|80008|20473|140.82.0.0/20|US|arin|2018-03-15|AS-CHOOPA, US
144.202.58.154|/Odarhom:0.90.9.6/|80008|20473|144.202.48.0/20|US|arin|2018-02-05|AS-CHOOPA, US
148.251.192.251|/Odarhom:0.90.9.10/|80008|24940|148.251.0.0/16|DE|ripencc|1993-09-01|HETZNER-AS, DE
149.28.248.7|/Odarhom:0.90.9.9/|80008|20473|149.28.240.0/20|US|arin|2018-05-04|AS-CHOOPA, US
149.28.34.40|/Odarhom:0.90.9.6/|80008|20473|149.28.32.0/19|US|arin|2018-05-04|AS-CHOOPA, US
165.227.53.180|/Odarhom:0.90.9.9/|80008|14061|165.227.48.0/20|US|arin|2016-10-06|DIGITALOCEAN-ASN, US
174.137.48.98|/Odarhom:0.90.9.9/|80008|25820|174.137.48.0/20|CA|arin|2018-05-04|IT7NET, CA
178.91.165.114|/Odarhom:0.90.9.10/|80008|9198|178.88.0.0/14|KZ|ripencc|2009-11-26|KAZTELECOM-AS, KZ
183.89.154.195|/Odarhom:0.90.9.10/|80008|45629|183.89.0.0/16|TH|apnic|2009-11-13|JASTEL-NETWORK-TH-AP JasTel Network International Gateway, TH
185.194.140.60|/Odarhom:0.90.9.10/|80008|197540|185.194.140.0/22|DE|ripencc|2017-03-15|NETCUP-AS netcup GmbH, DE
185.194.142.125|/Odarhom:0.90.9.10/|80008|197540|185.194.140.0/22|DE|ripencc|2017-03-15|NETCUP-AS netcup GmbH, DE
185.209.21.20|/Odarhom:0.90.9.6/|80008|204601|185.209.21.0/24|NL|ripencc|2017-06-19|ON-LINE-DATA Server location - Netherlands, Dronten, NL
185.223.29.186|/Odarhom:0.90.9.5/|80008|30823|185.223.29.0/24|DE|ripencc|2017-09-28|COMBAHTON combahton GmbH, DE
185.239.70.109|/Odarhom:0.90.9.9/|80008|25820|185.239.68.0/22|CA|ripencc|2018-01-03|IT7NET, CA
187.187.229.118|/Odarhom:0.90.9.9/|80008|28533|187.187.228.0/23|MX|lacnic|2012-04-17|Mexico Red de Telecomunicaciones, S. de R.L. de C.V., MX
189.174.143.13|/Odarhom:0.90.9.8/|80008|8151|189.174.140.0/22|MX|lacnic|2006-05-12|Uninet S.A. de C.V., MX
195.90.201.21|/Odarhom:0.90.9.9/|80008|42730|195.90.192.0/18|DE|ripencc|1997-04-22|EVANZOAS, DE
2.204.95.111|/Odarhom:0.90.9.10/|80008|3209|2.204.0.0/14|DE|ripencc|2010-11-18|VODANET International IP-Backbone of Vodafone, DE
207.148.26.88|/Odarhom:0.90.9.6/|80008|20473|207.148.16.0/20|US|arin|2017-12-01|AS-CHOOPA, US
207.180.198.33|/Odarhom:0.90.9.6/|80008|51167|207.180.198.0/23|DE|ripencc|1996-08-21|CONTABO, DE
45.132.245.131|/Odarhom:0.90.9.5/|80008|197540|45.132.244.0/22|DE|ripencc|2019-07-24|NETCUP-AS netcup GmbH, DE
45.77.111.133|/Odarhom:0.90.9.6/|80008|20473|45.77.96.0/20|US|arin|2015-04-24|AS-CHOOPA, US
45.83.104.212|/Odarhom:0.90.9.5/|80008|197540|45.83.104.0/22|DE|ripencc|2019-05-27|NETCUP-AS netcup GmbH, DE
46.146.229.201|/Odarhom:0.90.9.9/|80008|12768|46.146.0.0/16|RU|ripencc|2010-10-13|ER-TELECOM-AS, RU
47.196.92.239|/Odarhom:0.90.9.9/|80008|5650|47.196.0.0/14|US|arin|2015-08-28|FRONTIER-FRTR, US
47.241.18.60|/Odarhom:0.90.9.6/|80008|45102|47.241.0.0/17|US|arin|2016-04-15|CNNIC-ALIBABA-US-NET-AP Alibaba (US) Technology Co., Ltd., CN
51.15.222.224|/Odarhom:0.90.9.6/|80008|12876|51.15.0.0/16|FR|ripencc|1993-09-01|Online SAS, FR
58.216.156.134|/Odarhom:0.90.9.10/|80008|4134|58.208.0.0/12|CN|apnic|2005-06-24|CHINANET-BACKBONE No.31,Jin-rong Street, CN
58.240.108.178|/Odarhom:0.90.9.6/|80008|4837|58.240.0.0/15|CN|apnic|2005-06-03|CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
65.21.85.254|/Odarhom:0.90.9.8/|80008|24940|65.21.0.0/16|DE|ripencc|2001-09-26|HETZNER-AS, DE
77.179.133.9|/Odarhom:0.90.9.7/|80008|6805|77.176.0.0/12|DE|ripencc|2006-11-17|TDDE-ASN1, DE
77.20.83.175|/Odarhom:0.90.9.10/|80008|3209|77.20.0.0/14|DE|ripencc|2008-04-08|VODANET International IP-Backbone of Vodafone, DE
78.47.42.161|/Odarhom:0.90.9.9/|80008|24940|78.46.0.0/15|DE|ripencc|2007-04-16|HETZNER-AS, DE
80.208.166.130|/Odarhom:0.90.9.9/|80008|15600|80.208.128.0/18|CH|ripencc|2001-12-12|FINECOM Quickline AG, CH
84.2.34.93|/Odarhom:0.90.9.6/|80008|15545|84.2.34.0/23|HU|ripencc|2004-09-17|MT-DC-AS EU. Hungary, HU
87.75.66.39|/Odarhom:0.90.9.10/|80008|25310|87.74.0.0/15|GB|ripencc|2005-05-11|ASN-CWACCESS, GB
88.99.235.240|/Odarhom:0.90.9.6/|80008|24940|88.99.0.0/16|DE|ripencc|2005-08-03|HETZNER-AS, DE
91.132.144.88|/Odarhom:0.90.9.5/|80008|197540|91.132.144.0/22|DE|ripencc|2018-12-20|NETCUP-AS netcup GmbH, DE
91.4.89.67|/Odarhom:0.90.9.10/|80008|3320|91.0.0.0/10|DE|ripencc|2006-07-03|DTAG Internet service provider operations, DE
92.58.80.227|/Odarhom:0.90.9.10/|80008|12479|92.58.80.0/22|ES|ripencc|2007-11-19|UNI2-AS, ES
93.192.189.135|/Odarhom:0.90.9.10/|80008|3320|93.192.0.0/10|DE|ripencc|2008-02-12|DTAG Internet service provider operations, DE
94.130.49.89|/Odarhom:0.90.9.8/|80008|24940|94.130.0.0/16|DE|ripencc|2008-06-23|HETZNER-AS, DE
94.16.108.85|/Odarhom:0.90.9.5/|80008|197540|94.16.108.0/22|DE|ripencc|2008-06-05|NETCUP-AS netcup GmbH, DE
94.16.109.242|/Odarhom:0.90.9.5/|80008|197540|94.16.108.0/22|DE|ripencc|2008-06-05|NETCUP-AS netcup GmbH, DE
94.247.63.109|/Odarhom:0.90.9.10/|80008|48441|94.247.56.0/21|RU|ripencc|2008-11-25|MAGLAN-AS ISP MagLAN, RU
95.217.108.57|/Odarhom:0.90.9.6/|80008|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.217.161.79|/Odarhom:0.90.9.9/|80008|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.217.95.221|/Odarhom:0.90.9.8/|80008|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
