# https://chainz.cryptoid.info/ and whois results
# bitcoinzero
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.238.59.101|/BZX:5.0.3.8/|99034|27589|104.238.59.0/24|US|arin|2014-12-03|MOJOHOST, US
118.69.72.95|/BZX:5.0.3.8/|99034|18403|118.69.64.0/20|VN|apnic|2007-08-08|FPT-AS-AP The Corporation for Financing & Promoting Technology, VN
124.120.200.208|/BZX:5.0.3.8/|99034|17552|124.120.192.0/18|TH|apnic|2006-02-16|TRUE-AS-AP True Internet Co.,Ltd., TH
134.209.226.190|/BZX:5.0.3.8/|99034|14061|134.209.224.0/20|US|arin|2018-10-18|DIGITALOCEAN-ASN, US
137.226.198.29|/BZX:5.0.3.8/|99034|47610|137.226.0.0/16|DE|ripencc|1990-01-10|RWTH-AS, DE
138.201.54.207|/BZX:5.0.3.8/|99034|24940|138.201.0.0/16|DE|ripencc|1990-05-23|HETZNER-AS, DE
144.91.64.31|/BZX:5.0.3.8/|99034|51167|144.91.64.0/23|DE|ripencc|1990-11-20|CONTABO, DE
144.91.78.24|/BZX:5.0.3.8/|99034|51167|144.91.78.0/23|DE|ripencc|1990-11-20|CONTABO, DE
148.251.67.62|/BZX:5.0.3.8/|99034|24940|148.251.0.0/16|DE|ripencc|1993-09-01|HETZNER-AS, DE
164.68.100.133|/BZX:5.0.3.8/|99034|51167|164.68.100.0/23|DE|ripencc|1992-12-17|CONTABO, DE
164.68.109.251|/BZX:5.0.3.8/|99034|51167|164.68.108.0/23|DE|ripencc|1992-12-17|CONTABO, DE
164.68.109.254|/BZX:5.0.3.8/|99034|51167|164.68.108.0/23|DE|ripencc|1992-12-17|CONTABO, DE
164.68.113.170|/BZX:5.0.3.8/|99034|51167|164.68.112.0/23|DE|ripencc|1992-12-17|CONTABO, DE
164.68.113.171|/BZX:5.0.3.8/|99034|51167|164.68.112.0/23|DE|ripencc|1992-12-17|CONTABO, DE
164.68.113.173|/BZX:5.0.3.8/|99034|51167|164.68.112.0/23|DE|ripencc|1992-12-17|CONTABO, DE
164.68.113.174|/BZX:5.0.3.8/|99034|51167|164.68.112.0/23|DE|ripencc|1992-12-17|CONTABO, DE
164.68.98.160|/BZX:5.0.3.8/|99034|51167|164.68.98.0/23|DE|ripencc|1992-12-17|CONTABO, DE
164.68.99.214|/BZX:5.0.3.8/|99034|51167|164.68.98.0/23|DE|ripencc|1992-12-17|CONTABO, DE
167.86.103.158|/BZX:5.0.3.8/|99034|51167|167.86.102.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.103.163|/BZX:5.0.3.8/|99034|51167|167.86.102.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.112.51|/BZX:5.0.3.8/|99034|51167|167.86.112.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.115.206|/BZX:5.0.3.8/|99034|51167|167.86.114.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.120.128|/BZX:5.0.3.8/|99034|51167|167.86.120.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.120.150|/BZX:5.0.3.8/|99034|51167|167.86.120.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.120.30|/BZX:5.0.3.8/|99034|51167|167.86.120.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.120.32|/BZX:5.0.3.8/|99034|51167|167.86.120.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.122.165|/BZX:5.0.3.8/|99034|51167|167.86.122.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.125.136|/BZX:5.0.3.8/|99034|51167|167.86.124.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.125.182|/BZX:5.0.3.8/|99034|51167|167.86.124.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.125.243|/BZX:5.0.3.8/|99034|51167|167.86.124.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.77.218|/BZX:5.0.3.8/|99034|51167|167.86.76.0/23|DE|ripencc|1993-05-14|CONTABO, DE
173.199.123.74|/BZX:5.0.3.8/|99034|20473|173.199.120.0/22|US|arin|2010-09-29|AS-CHOOPA, US
173.212.198.65|/BZX:5.0.3.8/|99034|51167|173.212.192.0/19|DE|ripencc|2009-10-26|CONTABO, DE
