# https://chainz.cryptoid.info/ and whois results
# Bullion
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.248.187.220|/Vault:3.0.1/|70010|14061|104.248.176.0/20|US|arin|2018-08-06|DIGITALOCEAN-ASN, US
172.58.155.244|/Vault:3.0.1/|70010|21928|172.58.152.0/21|US|arin|2012-09-18|T-MOBILE-AS21928, US
173.213.91.181|/Vault:3.0.1/|70010|62651|173.213.91.0/24|US|arin|2009-11-04|NETPROTECT-62651, US
184.163.70.244|/Vault:3.0.1/|70010|5769|184.163.64.0/18|CA|arin|2010-06-21|VIDEOTRON, CA
188.214.132.85|/Vault:3.0.1/|70010|16125|188.214.128.0/21|LT|ripencc|2009-05-08|CHERRYSERVERS1-AS, LT
196.52.2.79|/Vault:3.0.1/|70010|32780|196.52.2.0/24|ZA|afrinic|1995-10-09|HOSTINGSERVICES-INC, US
196.52.2.87|/Vault:3.0.1/|70010|32780|196.52.2.0/24|ZA|afrinic|1995-10-09|HOSTINGSERVICES-INC, US
212.34.248.236|/Vault:3.0.1/|70010|44395|212.34.224.0/19|AM|ripencc|2009-04-23|ORG-UL31-RIPE, AM
24.50.224.113|/Vault:3.0.1/|70010|14638|24.50.224.0/21|US|arin|2010-05-10|LCPRL, US
24.55.154.69|/Vault:3.0.1/|70010|3737|24.55.128.0/19|US|arin|2012-12-26|AS-PTD, US
37.120.205.28|/Vault:3.0.1/|70010|9009|37.120.205.0/24|RO|ripencc|2012-02-13|M247, GB
46.101.235.143|/Vault:3.0.1/|70010|14061|46.101.128.0/17|NL|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
62.38.128.51|/Vault:3.0.1/|70010|3329|62.38.0.0/16|GR|ripencc|2001-05-30|HOL-GR Athens, Greece, GR
62.74.104.173|/Vault:3.0.1/|70010|3329|62.74.96.0/19|GR|ripencc|2000-07-24|HOL-GR Athens, Greece, GR
67.169.99.60|/Vault:3.0.1/|70010|7922|67.160.0.0/11|US|arin|2002-12-16|COMCAST-7922, US
70.93.174.250|/Vault:3.0.1/|70010|20001|70.93.0.0/16|US|arin|2004-09-22|TWC-20001-PACWEST, US
73.121.220.52|/Vault:3.0.1/|70010|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
83.240.176.28|/Vault:3.0.1/|70010|15525|83.240.128.0/17|PT|ripencc|2004-03-17|MEO-EMPRESAS, PT
86.156.183.71|/Vault:3.0.1/|70010|2856|86.128.0.0/11|GB|ripencc|2005-02-07|BT-UK-AS BTnet UK Regional network, GB
86.82.30.234|/Vault:3.0.1/|70010|1136|86.80.0.0/12|NL|ripencc|2005-03-23|KPN KPN National, EU
90.249.14.226|/Vault:3.0.1/|70010|5378|90.248.0.0/14|GB|ripencc|2006-09-08|Vodafone, GB
91.129.101.154|/Vault:3.0.1/|70010|1257|91.128.0.0/14|AT|ripencc|2006-10-19|TELE2, EU
91.129.105.161|/Vault:3.0.1/|70010|1257|91.128.0.0/14|AT|ripencc|2006-10-19|TELE2, EU
91.129.108.205|/Vault:3.0.1/|70010|1257|91.128.0.0/14|AT|ripencc|2006-10-19|TELE2, EU
91.129.111.204|/Vault:3.0.1/|70010|1257|91.128.0.0/14|AT|ripencc|2006-10-19|TELE2, EU
94.130.222.242|/Vault:2.4.0/|60010|24940|94.130.0.0/16|DE|ripencc|2008-06-23|HETZNER-AS, DE
94.244.43.117|/Vault:3.0.1/|70010|48278|94.244.0.0/18|UA|ripencc|2008-10-30|UKRDATACOM-NET-AS, UA
95.217.77.209|/Vault:3.0.1/|70010|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
node1.bullion.one|/Vault:3.0.0/|70010||||||
