# https://chainz.cryptoid.info/ and whois results
# CloakCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.143.70.52|/KlausFuchs:2.2.2.2/|60018|14569|104.143.70.0/24|US|arin|2014-07-03|INTELLIPOP, US
104.194.220.188|/KlausFuchs:2.2.2.2/|60018|35913|104.194.220.0/24|US|arin|2014-09-05|DEDIPATH-LLC, US
104.254.42.216|/KlausFuchs:2.2.2.1/|60018|53848|104.254.40.0/22|US|arin|2014-12-24|MRTC-WLBTKY, US
106.70.218.167|/KlausFuchs:2.2.2.1/|60018|4804|106.70.0.0/16|AU|apnic|2011-03-22|MPX-AS Microplex PTY LTD, AU
107.207.166.81|/KlausFuchs:2.2.2.2/|60018|7018|107.192.0.0/12|US|arin|2012-04-25|ATT-INTERNET4, US
108.194.178.215|/KlausFuchs:2.2.2.2/|60018|7018|108.192.0.0/10|US|arin|2011-01-12|ATT-INTERNET4, US
109.154.205.31|/KlausFuchs:2.2.2.2/|60018|2856|109.144.0.0/12|GB|ripencc|2009-08-06|BT-UK-AS BTnet UK Regional network, GB
109.202.111.226|/KlausFuchs:2.2.2.2/|60018|49453|109.202.111.0/24|NL|ripencc|2011-02-10|GLOBALLAYER, NL
110.175.254.34|/SidneyReilly:0.7.8/|60018|7545|110.175.254.0/24|AU|apnic|2009-05-08|TPG-INTERNET-AP TPG Telecom Limited, AU
112.173.57.228|/KlausFuchs:2.2.2.2/|60018|4766|112.168.0.0/13|KR|apnic|2009-02-10|KIXS-AS-KR Korea Telecom, KR
12.27.168.178|/KlausFuchs:2.2.2.2/|60018|7018|12.0.0.0/9|US|arin|1983-08-23|ATT-INTERNET4, US
120.17.123.138|/KlausFuchs:2.2.2.2/|60018|133612|120.17.64.0/18|AU|apnic|2008-03-07|VODAFONE-AS-AP Vodafone Australia Pty Ltd, AU
124.121.111.196|/KlausFuchs:2.2.2.2/|60018|17552|124.121.64.0/18|TH|apnic|2006-02-16|TRUEONLINE-AS-AP True Online, TH
13.209.60.161|/KlausFuchs:2.2.2.2/|60018|16509|13.209.0.0/16|US|arin|2019-10-01|AMAZON-02, US
13.229.99.77|/SidneyReilly:0.7.8/|60018|16509|13.228.0.0/15|US|arin|2019-10-01|AMAZON-02, US
131.93.228.226|/KlausFuchs:2.2.2.2/|60018|20115|131.93.0.0/16|US|arin|2017-07-26|CHARTER-20115, US
134.215.168.13|/SidneyReilly:0.7.8/|60018|4181|134.215.168.0/21|US|arin|1989-07-25|TDS-AS, US
137.59.253.58|/KlausFuchs:2.2.2.2/|60018|46562|137.59.252.0/23|JP|apnic|2016-02-10|PERFORMIVE, US
141.101.168.17|/KlausFuchs:2.2.2.2/|60018|46562|141.101.168.0/24|NL|ripencc|2011-06-23|PERFORMIVE, US
142.165.189.213|/KlausFuchs:2.2.2.2/|60018|803|142.165.0.0/16|CA|arin|1995-03-23|SASKTEL, CA
145.129.71.105|/KlausFuchs:2.2.2.2/|60018|1136|145.129.0.0/16|NL|ripencc|1993-09-01|KPN KPN National, NL
145.131.24.210|/KlausFuchs:2.2.2.2/|60018|8315|145.131.16.0/20|NL|ripencc|1993-09-01|SENTIA, NL
154.20.235.43|/KlausFuchs:2.2.2.2/|60018|852|154.20.0.0/16|CA|arin|1992-02-05|ASN852, CA
154.3.44.220|/KlausFuchs:2.2.2.2/|60018|174|154.3.0.0/16|US|arin|1992-02-05|COGENT-174, US
167.86.118.253|/KlausFuchs:2.2.2.2/|60018|51167|167.86.118.0/23|DE|ripencc|1993-05-14|CONTABO, DE
172.116.18.6|/KlausFuchs:2.2.2.2/|60018|20001|172.112.0.0/13|US|arin|2015-06-19|TWC-20001-PACWEST, US
172.4.177.229|/KlausFuchs:2.2.2.2/|60018|7018|172.0.0.0/12|US|arin|2012-08-20|ATT-INTERNET4, US
172.56.13.83|/KlausFuchs:2.2.2.2/|60018|21928|172.56.12.0/23|US|arin|2012-09-18|T-MOBILE-AS21928, US
172.58.60.119|/KlausFuchs:2.2.2.2/|60018|21928|172.58.56.0/21|US|arin|2012-09-18|T-MOBILE-AS21928, US
172.58.60.78|/KlausFuchs:2.2.2.2/|60018|21928|172.58.56.0/21|US|arin|2012-09-18|T-MOBILE-AS21928, US
172.94.16.106|/KlausFuchs:2.2.2.2/|60018|3223|172.94.16.0/24|US|arin|2015-06-02|VOXILITY, GB
174.110.224.88|/KlausFuchs:2.2.2.2/|60018|11426|174.108.0.0/14|US|arin|2009-02-26|TWC-11426-CAROLINAS, US
174.51.0.52|/SidneyReilly:0.7.8/|60018|7922|174.48.0.0/12|US|arin|2008-11-18|COMCAST-7922, US
174.70.63.182|/KlausFuchs:2.2.2.2/|60018|22773|174.70.32.0/19|US|arin|2009-02-19|ASN-CXA-ALL-CCI-22773-RDC, US
176.199.210.77|/KlausFuchs:2.2.2.2/|60018|6830|176.199.0.0/16|DE|ripencc|2011-07-18|LIBERTYGLOBAL Liberty Global (formerly UPC Broadband Holding, aka AORTA), NL
176.33.65.159|/KlausFuchs:2.2.2.2/|60018|34984|176.33.64.0/21|TR|ripencc|2011-05-20|TELLCOM-AS, TR
178.11.176.47|/KlausFuchs:2.2.2.2/|60018|3209|178.0.0.0/12|DE|ripencc|2010-01-12|VODANET International IP-Backbone of Vodafone, DE
178.199.111.103|/KlausFuchs:2.2.2.2/|60018|3303|178.198.0.0/15|CH|ripencc|2010-02-24|SWISSCOM Swisscom (Switzerland) Ltd, CH
178.201.21.183|/KlausFuchs:2.2.2.2/|60018|6830|178.200.0.0/15|DE|ripencc|2010-03-16|LIBERTYGLOBAL Liberty Global (formerly UPC Broadband Holding, aka AORTA), NL
