# https://chainz.cryptoid.info/ and whois results
# Coino
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
100.8.131.67|/Coino:2.0.0/|90000|701|100.8.0.0/16|US|arin|2010-12-28|UUNET, US
139.59.46.202|/Coino:2.0.0/|90000|14061|139.59.32.0/20|SG|apnic|1990-06-27|DIGITALOCEAN-ASN, US
151.236.23.112|/Coino:2.0.0/|90000|39020|151.236.23.0/24|EU|ripencc|2012-08-13|COMVIVE-AS Seville - Spain, ES
185.212.171.17|/Coino:2.0.0/|90000|9009|185.212.171.0/24|GB|ripencc|2017-07-12|M247, GB
185.253.97.169|/Coino:2.0.0/|90000|9009|185.253.97.0/24|RO|ripencc|2018-04-04|M247, GB
193.176.87.208|/Coino:2.0.0/|90000|9009|193.176.87.0/24|RO|ripencc|2018-10-25|M247, GB
193.176.87.224|/Coino:2.0.0/|90000|9009|193.176.87.0/24|RO|ripencc|2018-10-25|M247, GB
208.78.41.158|/Coino:2.0.0/|90000|46562|208.78.41.0/24|US|arin|2007-05-14|TOTAL-SERVER-SOLUTIONS, US
27.122.14.86|/Coino:2.0.0/|90000|55536|27.122.14.0/24|HK|apnic|2010-10-04|PSWITCH-HK PACSWITCH IP NETWORK, HK
31.192.111.239|/Coino:2.0.0/|90000|49335|31.192.111.0/24|RU|ripencc|2011-04-21|NCONNECT-AS, RU
45.87.212.75|/Coino:2.0.0/|90000|9009|45.87.212.0/24|RO|ripencc|2019-06-17|M247, GB
46.101.235.143|/Coino:2.0.0/|90000|14061|46.101.128.0/17|NL|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
50.77.68.29|/Coino:2.0.0/|90000|7922|50.76.0.0/14|US|arin|2011-01-06|COMCAST-7922, US
50.77.68.9|/Coino:2.0.0/|90000|7922|50.76.0.0/14|US|arin|2011-01-06|COMCAST-7922, US
81.92.200.237|/Coino:2.0.0/|90000|9009|81.92.200.0/22|GB|ripencc|2002-08-01|M247, GB
84.17.50.204|/Coino:2.0.0/|90000|60068|84.17.50.0/23|GB|ripencc|2004-07-23|CDN77, GB
89.107.58.121|/Coino:2.0.0/|90000|59764|89.107.56.0/21|GB|ripencc|2006-04-24|ATLANTIC-NET, GB
91.195.99.173|/Coino:2.0.0/|90000|9009|91.195.98.0/23|RO|ripencc|2007-09-06|M247, GB
