# https://chainz.cryptoid.info/ and whois results
# Denarius
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
1.156.33.123|/Denarii:3.3.9.8/|33933|1221|1.128.0.0/11|AU|apnic|2010-05-18|ASN-TELSTRA Telstra Corporation Ltd, AU
104.244.76.13|/Denarii:3.3.9.10/|33933|53667|104.244.76.0/24|US|arin|2014-11-10|PONYNET, US
108.170.133.249|/Denarii:3.3.9.8/|33933|40788|108.170.128.0/18|CA|arin|2012-02-06|START-, CA
108.215.85.119|/Denarii:3.3.9.9/|33933|7018|108.192.0.0/10|US|arin|2011-01-12|ATT-INTERNET4, US
114.79.17.45|/Denarii:3.3.9.9/|33933|18004|114.79.17.0/24|ID|apnic|2009-12-09|WIRELESSNET-ID PT WIRELESS INDONESIA ( WIN ), ID
114.79.21.145|???|0|18004|114.79.21.0/24|ID|apnic|2009-12-09|WIRELESSNET-ID PT WIRELESS INDONESIA ( WIN ), ID
119.194.83.150|/Denarii:3.3.9.9/|33933|4766|119.192.0.0/13|KR|apnic|2008-02-26|KIXS-AS-KR Korea Telecom, KR
121.45.132.221|/Denarii:3.3.9.8/|33933|7545|121.45.128.0/20|AU|apnic|2007-02-15|TPG-INTERNET-AP TPG Telecom Limited, AU
128.0.129.72|/Denarii:3.3.9.8/|33933|25513|128.0.128.0/20|RU|ripencc|2012-09-14|ASN-MGTS-USPD, RU
130.255.10.254|/Denarii:3.3.9.8/|33933|198185|130.255.8.0/21|RU|ripencc|2011-10-28|LIGALINK-AS, RU
135.181.162.46|/Denarii:3.3.9.9/|33933|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE
136.55.47.119|/Denarii:3.3.9.10/|33933|16591|136.55.32.0/20|US|arin|2015-10-06|GOOGLE-FIBER, US
137.74.94.192|/Denarii:3.3.9.8/|33933|16276|137.74.0.0/16|FR|ripencc|1988-11-23|OVH, FR
142.117.176.111|/Denarii:3.3.9.9/|33933|577|142.117.0.0/16|CA|arin|1993-04-05|BACOM, CA
143.178.174.253|/Denarii:3.3.9.9/|33933|50266|143.178.128.0/17|NL|ripencc|1990-10-01|TMOBILE-THUIS, NL
144.130.111.71|/Denarii:3.3.9.8/|33933|1221|144.130.0.0/15|AU|apnic|1990-12-10|ASN-TELSTRA Telstra Corporation Ltd, AU
144.91.98.139|/Denarii:3.3.9.11/|33933|51167|144.91.98.0/23|DE|ripencc|1990-11-20|CONTABO, DE
146.185.219.87|/Denarii:3.3.9.11/|33933|199524|146.185.219.0/24|LU|ripencc|2011-07-13|GCORE, LU
148.59.149.52|/Denarii:3.3.9.9/|33933|396477|148.59.149.0/24|CA|arin|2017-08-01|DNSNETWORKS, CA
156.57.157.110|/Denarii:3.3.9.8/|33933|855|156.57.156.0/22|CA|arin|2014-09-18|CANET-ASN-4, CA
158.58.129.4|/Denarii:3.3.9.8/|33933|47586|158.58.128.0/21|RU|ripencc|2011-11-09|BUSINESS-SVYAZ, RU
161.97.116.177|/Denarii:3.3.9.10/|33933|51167|161.97.116.0/23|DE|ripencc|1992-06-23|CONTABO, DE
161.97.72.221|/Denarii:3.3.9.11/|33933|51167|161.97.72.0/23|DE|ripencc|1992-06-23|CONTABO, DE
161.97.72.253|/Denarii:3.3.9.11/|33933|51167|161.97.72.0/23|DE|ripencc|1992-06-23|CONTABO, DE
161.97.91.249|/Denarii:3.3.9.11/|33933|51167|161.97.90.0/23|DE|ripencc|1992-06-23|CONTABO, DE
