# https://chainz.cryptoid.info/ and whois results
# Dash
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
107.151.190.13|/Dash Core:0.15.0(dashcore)/|70216|21859|107.151.128.0/18|US|arin|2013-12-02|ZNET, US
107.180.79.29|/Dash Core:0.14.0.1/|70215|26496|107.180.64.0/19|US|arin|2014-02-11|AS-26496-GO-DADDY-COM-LLC, US
108.61.196.47|/Dash Core:0.16.0.1/|70218|20473|108.61.196.0/23|US|arin|2010-12-08|AS-CHOOPA, US
108.61.206.134|/Dash Core:0.16.1.1/|70218|20473|108.61.206.0/23|US|arin|2010-12-08|AS-CHOOPA, US
113.246.126.97|/Dash Core:0.16.1/|70218|4134|113.240.0.0/13|CN|apnic|2008-12-16|CHINANET-BACKBONE No.31,Jin-rong Street, CN
115.197.128.254|/Dash Core:0.16.1.1/|70218|4134|115.192.0.0/11|CN|apnic|2008-09-03|CHINANET-BACKBONE No.31,Jin-rong Street, CN
125.120.194.163|/Dash Core:0.16.1.1/|70218|4134|125.112.0.0/12|CN|apnic|2005-08-26|CHINANET-BACKBONE No.31,Jin-rong Street, CN
125.120.196.129|/Dash Core:0.16.1.1/|70218|4134|125.112.0.0/12|CN|apnic|2005-08-26|CHINANET-BACKBONE No.31,Jin-rong Street, CN
128.199.92.55|/Dash Core:0.16.1.1/|70218|14061|128.199.64.0/18|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US
128.199.98.5|/Dash Core:0.16.1.1/|70218|14061|128.199.64.0/18|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US
129.13.189.211|/dsn.tm.kit.edu/dash:0.14.0.2/|70215|34878|129.13.0.0/16|DE|ripencc|1987-06-29|KIT Karlsruhe Institute of Technology, DE
135.181.130.14|/Dash Core:0.16.1.1/|70218|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE
145.239.0.130|/Dash Core:0.16.0.1/|70218|16276|145.239.0.0/16|FR|ripencc|1993-08-03|OVH, FR
151.80.230.39|/Dash Core:0.14.0.3/|70215|16276|151.80.0.0/16|IT|ripencc|1991-05-13|OVH, FR
157.230.118.132|/Dash Core:0.16.1.1/|70218|14061|157.230.112.0/20|US|arin|2018-08-22|DIGITALOCEAN-ASN, US
157.230.19.81|/Dash Core:0.16.0.1/|70218|14061|157.230.16.0/20|US|arin|2018-08-22|DIGITALOCEAN-ASN, US
158.69.174.165|/Dash Core:0.16.1.1/|70218|16276|158.69.0.0/16|CA|arin|2015-06-15|OVH, FR
158.75.203.2|/Dash Core:0.16.0.1/|70218|35686|158.75.128.0/17|PL|ripencc|1992-02-26|TORMAN-COM Torun Regional Computer Network, PL
159.89.5.181|/Dash Core:0.16.1.1/|70218|14061|159.89.0.0/20|US|arin|2017-07-07|DIGITALOCEAN-ASN, US
167.71.233.179|/Dash Core:0.15.0/|70216|14061|167.71.224.0/20|US|arin|2019-04-24|DIGITALOCEAN-ASN, US
173.67.248.195|/Dash Core:0.16.1.1/|70218|701|173.67.224.0/19|US|arin|2008-08-11|UUNET, US
176.31.145.16|/Dash Core:0.16.1.1/|70218|16276|176.31.0.0/16|FR|ripencc|2011-05-20|OVH, FR
176.9.104.149|/Dash Core:0.16.1.1/|70218|24940|176.9.0.0/16|DE|ripencc|2011-05-17|HETZNER-AS, DE
176.9.210.23|/Dash Core:0.16.1.1/|70218|24940|176.9.0.0/16|DE|ripencc|2011-05-17|HETZNER-AS, DE
176.94.17.220|/Dash Core:0.16.0.1/|70218|3209|176.94.0.0/17|DE|ripencc|2011-07-11|VODANET International IP-Backbone of Vodafone, DE
178.128.173.178|/Dash Core:0.16.1.1/|70218|14061|178.128.160.0/20|US|ripencc|2010-03-03|DIGITALOCEAN-ASN, US
178.62.193.7|/Dash Core:0.16.1.1/|70218|14061|178.62.192.0/18|US|ripencc|2010-02-26|DIGITALOCEAN-ASN, US
178.62.251.10|/bitnodes.earn.com:0.1/|70214|14061|178.62.192.0/18|US|ripencc|2010-02-26|DIGITALOCEAN-ASN, US
178.63.236.102|/Dash Core:0.16.1.1/|70218|24940|178.63.0.0/16|DE|ripencc|2010-03-02|HETZNER-AS, DE
18.191.181.75|/Dash Core:0.16.1.1/|70218|16509|18.191.0.0/16|US|arin|2018-06-29|AMAZON-02, US
18.191.6.106|/Dash Core:0.16.1.1/|70218|16509|18.191.0.0/16|US|arin|2018-06-29|AMAZON-02, US
18.237.2.73|/dash-seeder:0.14.0.1/|70215|16509|18.236.0.0/15|US|arin|2018-06-29|AMAZON-02, US
184.164.128.66|/Dash Core:0.14.0.3/|70215|20454|184.164.128.0/19|US|arin|2011-05-13|SSASN2, US
185.186.244.160|/Dash Core:0.15.0/|70216|35415|185.186.244.0/24|CY|ripencc|2017-01-23|WEBZILLA, NL
185.50.24.18|/Dash Core:0.15.0/|70216|198610|185.50.24.0/24|RU|ripencc|2014-03-12|BEGET-AS, RU
186.185.64.190|/DashJ:0.17.3/Dash Wallet:7.0.9/|70214|6306|186.185.64.0/20|VE|lacnic|2010-09-24|TELEFONICA VENEZOLANA, C.A., VE
187.8.167.122|/Dash Core:0.15.0/|70216|10429|187.8.0.0/16|BR|lacnic|2008-08-12|TELEFONICA BRASIL S.A, BR
