# https://chainz.cryptoid.info/ and whois results
# Deutsche eMark
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
109.166.139.194|/eMark:1.4.0/|60010|8953|109.166.128.0/17|RO|ripencc|2009-10-22|ASN-ORANGE-ROMANIA, RO
109.19.151.209|/eMark:1.5.1/|60011|15557|109.0.0.0/11|FR|ripencc|2009-08-13|LDCOMNET, FR
109.206.37.149|/eMark:1.5.0/|60011|3326|109.206.32.0/19|UA|ripencc|2010-01-04|DATAGROUP _Datagroup_ PJSC, UA
109.252.68.255|/eMark:1.5.0/|60011|25513|109.252.0.0/16|RU|ripencc|2009-12-07|ASN-MGTS-USPD, RU
117.20.64.116|/eMark:1.5.1/|60011|4764|117.20.64.0/22|AU|apnic|2007-06-18|WIDEBAND-AS-AP Aussie Broadband, AU
121.211.116.190|/eMark:1.5.1/|60011|1221|121.208.0.0/12|AU|apnic|2006-06-20|ASN-TELSTRA Telstra Corporation Ltd, AU
122.59.171.214|/eMark:1.5.0/|60011|4771|122.59.168.0/21|NZ|apnic|2008-09-16|SPARKNZ Spark New Zealand Trading Ltd., NZ
144.91.77.184|/eMark:1.6.0/|60011|51167|144.91.76.0/23|DE|ripencc|1990-11-20|CONTABO, DE
147.135.97.55|/eMark:1.6.0/|60011|16276|147.135.0.0/17|US|arin|2017-03-22|OVH, FR
153.165.89.219|/eMark:1.5.0/|60011|4713|153.160.0.0/12|JP|apnic|2011-02-28|OCN NTT Communications Corporation, JP
153.205.73.131|/eMark:1.5.0/|60011|4713|153.192.0.0/11|JP|apnic|2011-02-28|OCN NTT Communications Corporation, JP
154.127.125.173|/eMark:1.5.1/|60011|37358|154.127.112.0/20|ZA|afrinic|2014-02-28|BITCO, ZA
162.251.150.125|/eMark:1.6.0/|60011|6461|162.251.148.0/22|US|arin|2015-10-13|ZAYO-6461, US
167.86.106.11|/eMark:1.6.1/|60012|51167|167.86.106.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.116.187|/eMark:1.6.1/|60012|51167|167.86.116.0/23|DE|ripencc|1993-05-14|CONTABO, DE
174.58.42.47|/eMark:1.5.1/|60011|7922|174.48.0.0/12|US|arin|2008-11-18|COMCAST-7922, US
176.198.243.38|/eMark:1.6.1/|60012|6830|176.198.0.0/16|DE|ripencc|2011-07-18|LIBERTYGLOBAL Liberty Global (formerly UPC Broadband Holding, aka AORTA), AT
176.9.5.42|/eMark:1.4.1/|60010|24940|176.9.0.0/16|DE|ripencc|2011-05-17|HETZNER-AS, DE
178.10.191.109|/eMark:1.5.0/|60011|3209|178.0.0.0/12|DE|ripencc|2010-01-12|VODANET International IP-Backbone of Vodafone, DE
185.210.218.220|/eMark:1.5.1/|60011|9009|185.210.218.0/24|RO|ripencc|2017-06-29|M247, GB
186.56.1.66|/eMark:1.5.1/|60011|22927|186.56.0.0/18|AR|lacnic|2008-08-04|Telefonica de Argentina, AR
188.98.231.135|/eMark:1.5.1/|60011|3209|188.96.0.0/12|DE|ripencc|2009-01-20|VODANET International IP-Backbone of Vodafone, DE
194.13.81.132|/eMark:1.6.1/|60012|197540|194.13.80.0/22|DE|ripencc|2018-07-23|NETCUP-AS netcup GmbH, DE
195.201.252.20|/eMark:1.5.1/|60011|24940|195.201.0.0/16|DE|ripencc|1997-09-22|HETZNER-AS, DE
201.250.103.112|/eMark:1.5.1/|60011|22927|201.250.0.0/17|AR|lacnic|2005-07-04|Telefonica de Argentina, AR
201.250.32.56|/eMark:1.5.1/|60011|22927|201.250.0.0/17|AR|lacnic|2005-07-04|Telefonica de Argentina, AR
212.90.60.69|/eMark:1.5.1/|60011|48239|212.90.32.0/19|UA|ripencc|2010-11-09|ITTV-AS Kiev, Ukraine, UA
213.136.80.217|/eMark:1.5.1/|60011|51167|213.136.80.0/23|DE|ripencc|2000-02-28|CONTABO, DE
217.230.182.117|/eMark:1.5.1/|60011|3320|217.224.0.0/11|DE|ripencc|2001-04-04|DTAG Internet service provider operations, DE
217.234.65.152|/eMark:1.5.1/|60011|3320|217.224.0.0/11|DE|ripencc|2001-04-04|DTAG Internet service provider operations, DE
217.81.125.149|/eMark:1.6.1/|60012|3320|217.80.0.0/12|DE|ripencc|2000-10-26|DTAG Internet service provider operations, DE
31.54.128.232|/eMark:1.5.1/|60011|2856|31.48.0.0/13|GB|ripencc|2010-12-31|BT-UK-AS BTnet UK Regional network, GB
37.201.195.45|/eMark:1.5.1/|60011|6830|37.201.128.0/17|DE|ripencc|2012-03-22|LIBERTYGLOBAL Liberty Global (formerly UPC Broadband Holding, aka AORTA), AT
37.30.25.248|/eMark:1.5.1/|60011|12912|37.30.0.0/15|PL|ripencc|2011-12-30|TM, PL
45.138.110.92|/eMark:1.6.1/|60012|205388|45.138.110.0/24|GB|ripencc|2019-08-07|SERVERDISCOUNTER serverdiscounter.com, DE
46.101.235.143|/eMark:1.5.1/|60011|14061|46.101.128.0/17|NL|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
46.223.193.153|/eMark:1.5.1/|60011|6830|46.223.128.0/17|DE|ripencc|2011-01-26|LIBERTYGLOBAL Liberty Global (formerly UPC Broadband Holding, aka AORTA), AT
46.232.249.107|/eMark:1.6.1/|60012|197540|46.232.248.0/22|DE|ripencc|2018-06-15|NETCUP-AS netcup GmbH, DE
46.238.0.140|/eMark:1.5.1/|60011|29580|46.238.0.0/24|BG|ripencc|2011-01-31|HOMELAN-AS, BG
5.112.175.240|/eMark:1.5.1/|60011|44244|5.112.160.0/20|IR|ripencc|2012-06-29|IRANCELL-AS, IR
5.146.164.118|/eMark:1.5.1/|60011|6830|5.146.0.0/16|DE|ripencc|2012-07-13|LIBERTYGLOBAL Liberty Global (formerly UPC Broadband Holding, aka AORTA), AT
5.146.77.207|/eMark:1.5.1/|60011|6830|5.146.0.0/16|DE|ripencc|2012-07-13|LIBERTYGLOBAL Liberty Global (formerly UPC Broadband Holding, aka AORTA), AT
5.45.106.180|/eMark:1.6.0/|60011|197540|5.45.96.0/20|DE|ripencc|2012-05-24|NETCUP-AS netcup GmbH, DE
5.63.47.200|/eMark:1.5.1/|60011|62336|5.63.32.0/20|DE|ripencc|2012-06-11|PURTEL-AS # Upstream, DE
5.9.141.86|/eMark:1.5.0/|60011|24940|5.9.0.0/16|DE|ripencc|2012-04-25|HETZNER-AS, DE
51.68.204.201|/eMark:1.6.1/|60012|16276|51.68.0.0/16|FR|ripencc|1993-09-01|OVH, FR
