# https://chainz.cryptoid.info/ and whois results
# DigiByte
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
1.132.104.41|/digiwallet:1.0.0/|70017|1221|1.128.0.0/11|AU|apnic|2010-05-18|ASN-TELSTRA Telstra Corporation Ltd, AU
101.95.101.62|/DigiByte:7.17.2/|70017|4812|101.88.0.0/13|CN|apnic|2011-01-03|CHINANET-SH-AP China Telecom (Group), CN
102.249.1.66|/digiwallet:1.0.0/|70017|5713|102.248.0.0/13|ZA|afrinic|2017-04-21|SAIX-NET, ZA
103.206.178.150|/digiwallet:1.0.0/|70017|134936|103.206.178.0/24|IN|apnic|2016-01-15|PLEXBROADBAND-AS Plex Broadband Pvt Ltd, IN
104.13.169.85|/digiwallet:1.0.0/|70017|7018|104.0.0.0/12|US|arin|2014-01-16|ATT-INTERNET4, US
104.199.220.222|/DigiByte:7.17.2/|70017|15169|104.199.192.0/19|US|arin|2014-08-27|GOOGLE, US
104.246.168.151|/DigiByte:7.17.2/|70017|5645|104.246.168.0/23|CA|arin|2014-12-24|TEKSAVVY, CA
106.172.199.19|/DigiByte:7.17.2/|70017|2516|106.172.0.0/16|JP|apnic|2011-03-15|KDDI KDDI CORPORATION, JP
107.133.96.125|/digiwallet:1.0.0/|70017|7018|107.128.0.0/12|US|arin|2013-10-23|ATT-INTERNET4, US
107.172.97.106|/DigiByte:7.17.2/|70017|36352|107.172.96.0/21|US|arin|2013-12-27|AS-COLOCROSSING, US
107.172.97.98|/DigiByte:7.17.2/|70017|36352|107.172.96.0/21|US|arin|2013-12-27|AS-COLOCROSSING, US
107.174.131.198|/DigiByte:7.17.2/|70017|36352|107.174.131.0/24|US|arin|2013-12-27|AS-COLOCROSSING, US
107.174.131.215|/DigiByte:7.17.2/|70017|36352|107.174.131.0/24|US|arin|2013-12-27|AS-COLOCROSSING, US
107.181.189.77|/DigiByte:7.17.2/|70017|46562|107.181.189.0/24|US|arin|2014-02-14|TOTAL-SERVER-SOLUTIONS, US
107.183.213.35|/DigiByte:7.17.2/|70017|18978|107.183.192.0/19|US|arin|2014-02-18|ENZUINC-, US
107.199.28.245|/digiwallet:1.0.0/|70017|7018|107.192.0.0/12|US|arin|2012-04-25|ATT-INTERNET4, US
107.217.172.217|/DigiByte:7.17.2/|70017|7018|107.208.0.0/12|US|arin|2012-04-25|ATT-INTERNET4, US
107.242.124.65|/digiwallet:1.0.0/|70017|20057|107.242.124.0/24|US|arin|2010-10-01|ATT-MOBILITY-LLC-AS20057, US
107.77.244.41|/digiwallet:1.0.0/|70017|20057|107.77.244.0/24|US|arin|2011-02-04|ATT-MOBILITY-LLC-AS20057, US
108.234.113.198|/DigiByte:7.17.2/|70017|7018|108.192.0.0/10|US|arin|2011-01-12|ATT-INTERNET4, US
108.61.178.96|/DigiByte:7.17.2/|70017|20473|108.61.178.0/23|US|arin|2010-12-08|AS-CHOOPA, US
108.68.144.16|/DigiByte:7.17.2/|70017|7018|108.64.0.0/11|US|arin|2009-10-29|ATT-INTERNET4, US
109.119.138.30|/DigiByte:7.17.2/|70017|30722|109.119.0.0/16|IT|ripencc|2009-06-12|VODAFONE-IT-ASN, IT
109.123.144.146|/DigiByte:7.17.2/|70017|5567|109.123.128.0/18|RU|ripencc|2009-10-12|AS5567, RU
109.123.144.147|/DigiByte:7.17.2/|70017|5567|109.123.128.0/18|RU|ripencc|2009-10-12|AS5567, RU
110.32.170.180|/digiwallet:1.0.0/|70017|4804|110.32.128.0/17|AU|apnic|2009-02-24|MPX-AS Microplex PTY LTD, AU
111.92.75.62|/digiwallet:1.0.0/|70017|17465|111.92.72.0/22|IN|apnic|2009-06-23|ASIANET Cable ISP in India, IN
112.74.79.134|/DigiByte:7.17.2/|70017|37963|112.74.0.0/17|CN|apnic|2008-12-24|CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co.,Ltd., CN
113.103.22.255|/DigiByte:7.17.2/|70017|4134|113.96.0.0/12|CN|apnic|2008-11-03|CHINANET-BACKBONE No.31,Jin-rong Street, CN
116.202.251.195|/DigiByte:7.17.2/|70017|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.203.88.245|/DigiByte:7.17.2/|70017|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.21.3.13|/DigiByte:7.17.2/|70017|4134|116.16.0.0/12|CN|apnic|2007-03-07|CHINANET-BACKBONE No.31,Jin-rong Street, CN
119.18.3.186|/digiwallet:1.0.0/|70017|4764|119.18.2.0/23|AU|apnic|2007-12-06|WIDEBAND-AS-AP Aussie Broadband, AU
120.27.192.135|/DigiByte:7.17.2/|70017|37963|120.27.192.0/18|CN|apnic|2008-03-12|CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co.,Ltd., CN
121.201.66.128|/DigiByte:7.17.2/|70017|58543|121.201.64.0/18|CN|apnic|2006-07-07|CHINATELECOM-GUANGDONG-IDC Guangdong, CN
121.44.77.180|/DigiByte:7.17.2/|70017|7545|121.44.64.0/19|AU|apnic|2006-06-01|TPG-INTERNET-AP TPG Telecom Limited, AU
124.169.221.151|/DigiByte:7.17.2/|70017|7545|124.169.208.0/20|AU|apnic|2007-06-27|TPG-INTERNET-AP TPG Telecom Limited, AU
13.229.92.73|/DigiByte:7.17.2/|70017|16509|13.228.0.0/15|US|arin|2016-08-09|AMAZON-02, US
134.209.76.157|/DigiByte:7.17.2/|70017|14061|134.209.64.0/20|US|arin|2018-10-18|DIGITALOCEAN-ASN, US
135.181.0.35|/DigiByte:7.17.2/|70017|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE
136.24.44.100|/DigiByte:7.17.2/|70017|19165|136.24.0.0/16|US|arin|2016-10-31|WEBPASS, US
136.244.116.200|/DigiByte:7.17.2/|70017|20473|136.244.112.0/20|US|arin|2019-04-08|AS-CHOOPA, US
136.49.142.76|/digiwallet:1.0.0/|70017|16591|136.49.128.0/20|US|arin|2015-10-06|GOOGLE-FIBER, US
137.74.4.152|/DigiByte:7.17.2/|70017|16276|137.74.0.0/16|FR|ripencc|1988-11-23|OVH, FR
139.162.42.155|/DigiByte:7.17.2/|70017|63949|139.162.32.0/19|NL|ripencc|1990-03-24|LINODE-AP Linode, LLC, US
145.239.0.161|/DigiByte:7.17.2/|70017|16276|145.239.0.0/16|FR|ripencc|1993-08-03|OVH, FR
147.135.68.60|/DigiByte:7.17.2/|70017|16276|147.135.0.0/17|US|arin|2017-03-22|OVH, FR
152.89.163.22|/DigiByte:7.17.2/|70017|9009|152.89.163.0/24|RO|ripencc|2019-01-25|M247, GB
157.230.173.205|/digibyte-seeder:0.01/|70017|14061|157.230.160.0/20|US|arin|2018-08-22|DIGITALOCEAN-ASN, US
157.32.245.118|/digiwallet:1.0.0/|70017|55836|157.32.128.0/17|IN|apnic|1992-01-29|RELIANCEJIO-IN Reliance Jio Infocomm Limited, IN
159.65.77.142|/DigiByte:7.17.2/|70017|14061|159.65.64.0/20|US|arin|2017-10-24|DIGITALOCEAN-ASN, US
159.69.212.209|/DigiByte:7.17.2/|70017|24940|159.69.0.0/16|DE|ripencc|1992-03-13|HETZNER-AS, DE
159.89.126.193|/DigiByte:7.17.2/|70017|14061|159.89.112.0/20|US|arin|2017-07-07|DIGITALOCEAN-ASN, US
160.120.142.155|/DigiByte:7.17.2/|70017|29571|160.120.142.0/24|CI|afrinic|2017-12-29|ORANGE-COTE-IVOIRE, CI
163.40.254.64|/digiwallet:1.0.0/|70017|226|163.40.0.0/16|US|arin|1992-07-07|LOS-NETTOS-AS, US
164.115.43.140|/DigiByte:7.17.2/|70017|9835|164.115.43.0/24|TH|apnic|1993-03-01|GITS-TH-AS-AP Government Information Technology Services, TH
164.68.172.59|/DigiByte:7.17.2/|70017|23089|164.68.160.0/19|US|arin|2019-02-27|HOTWIRE-COMMUNICATIONS, US
165.22.92.6|/DigiByte:7.17.2/|70017|14061|165.22.80.0/20|US|arin|2018-10-16|DIGITALOCEAN-ASN, US
172.104.191.130|/DigiByte:7.17.2/|70017|63949|172.104.160.0/19|US|arin|2015-06-19|LINODE-AP Linode, LLC, US
172.105.36.91|/DigiByte:7.17.2/|70017|63949|172.105.32.0/19|US|arin|2015-06-19|LINODE-AP Linode, LLC, US
172.56.10.115|/digiwallet:1.0.0/|70017|21928|172.56.10.0/23|US|arin|2012-09-18|T-MOBILE-AS21928, US
172.58.187.245|/digiwallet:1.0.0/|70017|21928|172.58.184.0/21|US|arin|2012-09-18|T-MOBILE-AS21928, US
172.58.187.42|/digiwallet:1.0.0/|70017|21928|172.58.184.0/21|US|arin|2012-09-18|T-MOBILE-AS21928, US
172.58.227.144|/digiwallet:1.0.0/|70017|21928|172.58.224.0/21|US|arin|2012-09-18|T-MOBILE-AS21928, US
172.72.130.146|/DigiByte:7.17.2/|70017|11426|172.72.0.0/14|US|arin|2015-04-06|TWC-11426-CAROLINAS, US
173.0.77.83|/DigiByte:7.17.2/|70017|46562|173.0.77.0/24|US|arin|2010-06-22|TOTAL-SERVER-SOLUTIONS, US
173.212.202.33|/DigiByte:7.17.2/|70017|51167|173.212.192.0/19|DE|ripencc|2009-10-26|CONTABO, DE
174.198.206.169|/digiwallet:1.0.0/|70017|22394|174.198.192.0/18|US|arin|2008-12-16|CELLCO, US
174.233.3.167|/digiwallet:1.0.0/|70017|22394|174.233.0.0/17|US|arin|2008-12-16|CELLCO, US
174.236.12.78|/DigiByte:7.17.2/|70017|22394|174.236.0.0/17|US|arin|2008-12-16|CELLCO, US
174.253.161.68|/digiwallet:1.0.0/|70017|22394|174.253.160.0/19|US|arin|2008-12-16|CELLCO, US
174.49.35.233|/DigiByte:7.17.2/|70017|7922|174.48.0.0/12|US|arin|2008-11-18|COMCAST-7922, US
174.5.140.190|/DigiByte:7.17.2/|70017|6327|174.5.140.0/22|CA|arin|2008-11-19|SHAW, CA
174.74.205.134|/digiwallet:1.0.0/|70017|22773|174.74.128.0/17|US|arin|2009-02-19|ASN-CXA-ALL-CCI-22773-RDC, US
174.90.223.8|/digiwallet:1.0.0/|70017|577|174.90.223.0/24|CA|arin|2009-02-27|BACOM, CA
175.107.211.26|/digiwallet:1.0.0/|70017|9541|175.107.211.0/24|PK|apnic|2011-02-07|CYBERNET-AP Cyber Internet Services (Pvt) Ltd., PK
176.111.58.211|/DigiByte:7.17.2/|70017|24703|176.111.58.0/24|UA|ripencc|2012-03-05|UN-UKRAINE-AS Kiev, Ukraine, UA
176.117.195.164|/DigiByte:7.17.2/|70017|44484|176.117.192.0/19|RU|ripencc|2012-05-18|XTRIM-AS, RU
176.217.239.205|/DigiByte:7.17.2/|70017|8386|176.217.236.0/22|TR|ripencc|2011-11-17|KOCNET, TR
178.237.227.2|/digiwallet:1.0.0/|70017|15704|178.237.224.0/21|ES|ripencc|2010-06-30|AS15704, ES
180.212.91.14|/DigiByte:7.17.2/|70017|17638|180.212.88.0/22|CN|apnic|2009-10-01|CHINATELECOM-TJ-AS-AP ASN for TIANJIN Provincial Net of CT, CN
181.129.130.235|/DigiByte:7.17.2/|70017|13489|181.128.0.0/12|CO|lacnic|2011-09-29|EPM Telecomunicaciones S.A. E.S.P., CO
183.110.220.210|/DigiByte:7.17.2/|70017|4766|183.104.0.0/13|KR|apnic|2009-11-04|KIXS-AS-KR Korea Telecom, KR
184.75.213.186|/DigiByte:7.17.2/|70017|32489|184.75.213.0/24|CA|arin|2011-03-09|AMANAHA-NEW, CA
185.113.128.13|/DigiByte:7.17.2/|70017|42831|185.113.128.0/23|GB|ripencc|2015-08-14|UKSERVERS-AS UK Dedicated Servers, Hosting and Co-Location, GB
185.138.191.28|/DigiByte:7.17.2/|70017|49013|185.138.188.0/22|CZ|ripencc|2016-02-15|FUSION_MEDIA, CZ
185.180.222.48|/digiwallet:1.0.0/|70017|49981|185.180.220.0/22|NL|ripencc|2016-12-07|WORLDSTREAM, NL
185.221.172.127|/DigiByte:7.17.2/|70017|202675|185.221.172.0/24|IT|ripencc|2017-09-20|KELIWEB, IT
185.244.130.10|/digiwallet:1.0.0/|70017|204641|185.244.130.0/24|RO|ripencc|2018-02-01|GWHOST, RO
185.42.254.88|/DigiByte:7.17.2/|70017|202208|185.42.254.0/24|DE|ripencc|2013-12-13|TEUTEL, DE
185.50.24.15|/DigiByte:7.17.2/|70017|198610|185.50.24.0/24|RU|ripencc|2014-03-12|BEGET-AS, RU
185.50.24.92|/DigiByte:7.17.2/|70017|198610|185.50.24.0/24|RU|ripencc|2014-03-12|BEGET-AS, RU
187.54.172.34|/DigiByte:7.17.2/|70017|8167|187.54.128.0/18|BR|lacnic|2009-03-13|Brasil Telecom S/A - Filial Distrito Federal, BR
188.162.80.52|/digiwallet:1.0.0/|70017|31205|188.162.80.0/24|RU|ripencc|2009-05-20|MF-SIB-AS, RU
188.40.78.31|/DigiByte:7.17.2/|70017|24940|188.40.0.0/16|DE|ripencc|2009-04-23|HETZNER-AS, DE
189.62.81.19|/digiwallet:1.0.0/|70017|28573|189.62.0.0/16|BR|lacnic|2007-09-06|CLARO S.A., BR
190.96.1.19|/DigiByte:7.17.2/|70017|18822|190.96.1.0/24|CL|lacnic|2007-07-19|Manquehuenet, CL
191.39.47.87|/digiwallet:1.0.0/|70017|53037|191.39.0.0/18|BR|lacnic|2014-03-27|NEXTEL TELECOMUNICACOES LTDA, BR
197.229.0.217|/digiwallet:1.0.0/|70017|37457|197.228.0.0/15|ZA|afrinic|2013-02-12|Telkom-Internet, ZA
198.58.124.101|/DigiByte:7.17.2/|70017|63949|198.58.96.0/19|US|arin|2012-08-10|LINODE-AP Linode, LLC, US
203.198.146.232|/DigiByte:7.17.2/|70017|4760|203.198.144.0/20|HK|apnic|2000-07-12|HKTIMS-AP HKT Limited, HK
207.126.92.155|/DigiByte:7.17.2/|70017|6939|207.126.64.0/19|US|arin|1996-05-17|HURRICANE, US
207.126.92.97|/DigiByte:7.17.2/|70017|6939|207.126.64.0/19|US|arin|1996-05-17|HURRICANE, US
208.111.90.34|/DigiByte:7.17.2/|70017|19515|208.111.64.0/19|CA|arin|2006-03-27|ORICOM-QUEBEC1, CA
208.190.146.110|/DigiByte:7.17.2/|70017|7018|208.188.0.0/14|US|arin|1999-08-26|ATT-INTERNET4, US
209.126.4.241|/DigiByte:7.17.2/|70017|40021|209.126.0.0/20|US|arin|2020-03-02|CONTABO, US
212.238.137.105|/DigiByte:7.17.2/|70017|3265|212.238.0.0/16|NL|ripencc|1998-04-28|XS4ALL-NL Amsterdam, NL
212.92.101.189|/DigiByte:7.17.2/|70017|49505|212.92.101.0/24|RU|ripencc|1999-11-03|SELECTEL, RU
213.194.206.7|/DigiByte:7.17.2/|70017|207198|213.194.192.0/20|CZ|ripencc|2003-02-20|KTK, CZ
213.3.18.143|/DigiByte:7.17.2/|70017|3303|213.3.0.0/17|CH|ripencc|2000-01-13|SWISSCOM Swisscom (Switzerland) Ltd, CH
213.32.6.132|/DigiByte:7.17.2/|70017|16276|213.32.0.0/17|FR|ripencc|1999-06-28|OVH, FR
216.47.194.190|/DigiByte:7.17.2/|70017|12083|216.47.194.0/24|US|arin|1998-09-24|WOW-INTERNET, US
