# https://chainz.cryptoid.info/ and whois results
# Dimecoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
103.137.12.74|/dimecoin:1.10.0.1/|70004|137409|103.137.12.0/24|AU|apnic|2019-03-19|GSLNETWORKS-AS-AP GSL Networks Pty LTD, AU
104.248.244.51|/dimecoin:1.10.0.1/|70004|14061|104.248.240.0/20|US|arin|2018-08-06|DIGITALOCEAN-ASN, US
104.248.30.52|/dimecoin:1.10.0.1/|70004|14061|104.248.16.0/20|US|arin|2018-08-06|DIGITALOCEAN-ASN, US
105.112.208.115|/DimecoinJ:0.12.7/Dimecoin Wallet:1.1.1/|70004|36873|105.112.208.0/20|NG|afrinic|2013-09-20|VNL1-AS, NG
105.112.32.179|/DimecoinJ:0.12.7/Dimecoin Wallet:1.1.1/|70004|36873|105.112.32.0/24|NG|afrinic|2013-09-20|VNL1-AS, NG
109.213.84.12|/dimecoin:1.10.0.1/|70004|3215|109.213.0.0/16|FR|ripencc|2009-10-07|France Telecom - Orange, FR
114.125.109.20|/DimecoinJ:0.12.7/Dimecoin Wallet:1.1.1/|70004|23693|114.125.96.0/19|ID|apnic|2008-05-22|TELKOMSEL-ASN-ID PT. Telekomunikasi Selular, ID
115.98.233.0|/DimecoinJ:0.12.7/Dimecoin Wallet:1.1.1/|70004|17488|115.98.232.0/22|IN|apnic|2008-07-25|HATHWAY-NET-AP Hathway IP Over Cable Internet, IN
123.21.152.8|/dimecoin:1.10.0.1/|70004|45899|123.21.144.0/20|VN|apnic|2007-01-11|VNPT-AS-VN VNPT Corp, VN
124.148.21.35|/dimecoin:1.10.0.1/|70004|4739|124.148.20.0/22|AU|apnic|2006-03-02|INTERNODE-AS Internode Pty Ltd, AU
124.157.91.222|/dimecoin:1.10.0.1/|70004|24324|124.157.64.0/19|NZ|apnic|2006-04-04|KORDIA-TRANSIT-AS-AP Kordia Limited, NZ
129.205.112.189|/DimecoinJ:0.12.7/Dimecoin Wallet:1.1.1/|70004|37148|129.205.112.0/24|NG|afrinic|2015-09-14|globacom-as, NG
129.205.113.209|/dimecoin:1.10.0.1/|70004|37148|129.205.113.0/24|NG|afrinic|2015-09-14|globacom-as, NG
131.191.61.37|/dimecoin:1.10.0.1/|70004|14677|131.191.0.0/18|US|arin|1989-01-04|CLICK-NETWORK, US
135.181.32.44|/dimecoin:1.10.0.1/|70004|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE
136.158.28.37|/DimecoinJ:0.12.7/Dimecoin Wallet:1.1.1/|70004|17639|136.158.28.0/22|PH|apnic|2004-04-14|CONVERGE-AS Converge ICT Solutions Inc., PH
136.158.28.59|/DimecoinJ:0.12.7/Dimecoin Wallet:1.1.1/|70004|17639|136.158.28.0/22|PH|apnic|2004-04-14|CONVERGE-AS Converge ICT Solutions Inc., PH
140.82.56.25|/dimecoin:1.10.0.1/|70004|20473|140.82.56.0/22|US|arin|2018-03-15|AS-CHOOPA, US
159.203.109.208|/dimecoin:1.10.0.1/|70004|14061|159.203.96.0/20|US|arin|2015-08-10|DIGITALOCEAN-ASN, US
160.179.121.81|/dimecoin:1.10.0.1/|70004|36903|160.179.120.0/21|MA|afrinic|2014-11-10|MT-MPLS, MA
166.137.96.187|/dimecoin:1.10.0.1/|70004|20057|166.137.96.0/22|US|arin|1993-07-09|ATT-MOBILITY-LLC-AS20057, US
167.99.6.185|/dimecoin:1.10.0.1/|70004|14061|167.99.0.0/20|US|arin|2017-11-10|DIGITALOCEAN-ASN, US
168.119.79.102|/dimecoin:1.10.0.1/|70004|24940|168.119.0.0/16|DE|ripencc|1994-04-05|HETZNER-AS, DE
172.112.35.108|/dimecoin:1.10.0.1/|70004|20001|172.112.0.0/13|US|arin|2015-06-19|TWC-20001-PACWEST, US
173.171.56.87|/dimecoin:1.10.0.1/|70004|33363|173.168.0.0/14|US|arin|2009-04-14|BHN-33363, US
173.21.118.75|/DimecoinJ:0.12.7/Dimecoin Wallet:1.1.1/|70004|30036|173.21.112.0/21|US|arin|2008-05-19|MEDIACOM-ENTERPRISE-BUSINESS, US
173.28.238.176|/dimecoin:1.10.0.1/|70004|30036|173.28.224.0/20|US|arin|2008-05-19|MEDIACOM-ENTERPRISE-BUSINESS, US
173.47.137.60|/dimecoin:1.10.0.1/|70004|11492|173.47.137.0/24|US|arin|2008-10-22|CABLEONE, US
176.160.219.104|/dimecoin:1.10.0/|70004|5410|176.128.0.0/10|FR|ripencc|2011-07-06|BOUYGTEL-ISP, FR
177.185.113.129|/dimecoin:1.10.0.1/|70004|52932|177.185.112.0/21|BR|lacnic|2012-08-14|Tecnowireless Telecom Ltda, BR
177.65.0.11|/dimecoin:1.10.0.1/|70004|28573|177.65.0.0/18|BR|lacnic|2011-06-03|CLARO S.A., BR
178.63.11.230|/dimecoin:1.10.0.1/|70004|24940|178.63.0.0/16|DE|ripencc|2010-03-02|HETZNER-AS, DE
180.116.137.187|/dimecoin:1.10.0.1/|70004|4134|180.96.0.0/11|CN|apnic|2009-07-23|CHINANET-BACKBONE No.31,Jin-rong Street, CN
180.196.55.118|/DimecoinJ:0.12.7/Dimecoin Wallet:1.1.1/|70004|18126|180.196.0.0/16|JP|apnic|2009-09-18|CTCX Chubu Telecommunications Company, Inc., JP
188.161.17.94|/dimecoin:1.10.0.1/|70004|12975|188.161.0.0/17|PS|ripencc|2009-05-20|PALTEL-AS PALTEL Autonomous System, PS
188.227.45.37|/dimecoin:1.10.0.1/|70004|50258|188.227.44.0/22|RU|ripencc|2009-07-22|TEYLA, RU
189.6.241.182|/DimecoinJ:0.12.7/Dimecoin Wallet:1.1.1/|70004|28573|189.6.128.0/17|BR|lacnic|2006-09-06|CLARO S.A., BR
193.153.152.238|/dimecoin:1.10.0.1/|70004|3352|193.153.0.0/16|ES|ripencc|1997-11-20|TELEFONICA_DE_ESPANA, ES
193.70.35.154|/dimecoin:1.10.0.1/|70004|16276|193.70.0.0/17|FR|ripencc|1993-09-01|OVH, FR
193.86.27.147|/dimecoin:1.10.0.1/|70004|5588|193.86.0.0/16|CZ|ripencc|1994-06-20|GTSCE GTS Central Europe / Antel Germany, CZ
194.160.80.214|/dimecoin:1.10.0.1/|70004|2607|194.160.0.0/16|SK|ripencc|1995-05-03|SANET Slovak Academic Network, SK
196.64.117.30|/dimecoin:1.10.0.1/|70004|36903|196.64.112.0/21|MA|afrinic|2016-01-08|MT-MPLS, MA
