# https://chainz.cryptoid.info/ and whois results
# Divicoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.131.113.14|DIVI Core: 1.1.2.0|70915|14061|104.131.64.0/18|US|arin|2014-06-02|DIGITALOCEAN-ASN, US
104.131.114.247|DIVI Core: 1.1.2.0|70915|14061|104.131.64.0/18|US|arin|2014-06-02|DIGITALOCEAN-ASN, US
104.131.114.71|DIVI Core: 1.1.2.0|70915|14061|104.131.64.0/18|US|arin|2014-06-02|DIGITALOCEAN-ASN, US
104.131.116.103|DIVI Core: 1.1.2.0|70915|14061|104.131.64.0/18|US|arin|2014-06-02|DIGITALOCEAN-ASN, US
104.131.162.222|DIVI Core: 1.1.2.0|70915|14061|104.131.160.0/20|US|arin|2014-06-02|DIGITALOCEAN-ASN, US
104.131.163.78|DIVI Core: 1.1.2.0|70915|14061|104.131.160.0/20|US|arin|2014-06-02|DIGITALOCEAN-ASN, US
104.131.191.90|DIVI Core: 1.1.2.0|70915|14061|104.131.176.0/20|US|arin|2014-06-02|DIGITALOCEAN-ASN, US
104.131.25.37|DIVI Core: 1.1.2.0|70915|14061|104.131.0.0/18|US|arin|2014-06-02|DIGITALOCEAN-ASN, US
104.131.40.118|DIVI Core: 1.1.2.0|70915|14061|104.131.0.0/18|US|arin|2014-06-02|DIGITALOCEAN-ASN, US
104.131.46.85|DIVI Core: 1.1.2.0|70915|14061|104.131.0.0/18|US|arin|2014-06-02|DIGITALOCEAN-ASN, US
104.131.61.191|DIVI Core: 1.1.2.0|70915|14061|104.131.0.0/18|US|arin|2014-06-02|DIGITALOCEAN-ASN, US
104.131.75.121|DIVI Core: 1.1.2.0|70915|14061|104.131.64.0/18|US|arin|2014-06-02|DIGITALOCEAN-ASN, US
104.131.80.110|DIVI Core: 1.1.2.0|70915|14061|104.131.64.0/18|US|arin|2014-06-02|DIGITALOCEAN-ASN, US
104.131.83.150|DIVI Core: 1.1.2.0|70915|14061|104.131.64.0/18|US|arin|2014-06-02|DIGITALOCEAN-ASN, US
104.131.93.163|DIVI Core: 1.1.2.0|70915|14061|104.131.64.0/18|US|arin|2014-06-02|DIGITALOCEAN-ASN, US
104.248.10.93|DIVI Core: 1.1.2.0|70915|14061|104.248.0.0/20|US|arin|2018-08-06|DIGITALOCEAN-ASN, US
104.248.156.253|DIVI Core: 1.1.2.0|70915|14061|104.248.144.0/20|US|arin|2018-08-06|DIGITALOCEAN-ASN, US
108.61.222.94|DIVI Core: 1.1.2.0|70915|20473|108.61.222.0/24|US|arin|2010-12-08|AS-CHOOPA, US
121.223.166.183|DIVI Core: 1.1.2.0|70915|1221|121.208.0.0/12|AU|apnic|2007-02-09|ASN-TELSTRA Telstra Corporation Ltd, AU
128.199.107.146|DIVI Core: 1.1.2.0|70915|14061|128.199.64.0/18|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US
128.199.133.28|DIVI Core: 1.1.2.0|70915|14061|128.199.128.0/18|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US
128.199.136.20|DIVI Core: 1.1.2.0|70915|14061|128.199.128.0/18|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US
128.199.155.129|DIVI Core: 1.1.2.0|70915|14061|128.199.128.0/18|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US
128.199.185.243|DIVI Core: 1.1.2.0|70915|14061|128.199.128.0/18|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US
128.199.217.114|DIVI Core: 1.1.2.0|70915|14061|128.199.192.0/18|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US
128.199.220.245|DIVI Core: 1.1.2.0|70915|14061|128.199.192.0/18|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US
134.122.111.117|DIVI Core: 1.1.2.0|70915|14061|134.122.96.0/20|US|arin|2019-09-06|DIGITALOCEAN-ASN, US
134.209.175.49|DIVI Core: 1.1.2.0|70915|14061|134.209.160.0/20|US|arin|2018-10-18|DIGITALOCEAN-ASN, US
134.209.21.130|DIVI Core: 1.1.2.0|70915|14061|134.209.16.0/20|US|arin|2018-10-18|DIGITALOCEAN-ASN, US
134.209.92.56|DIVI Core: 1.1.2.0|70915|14061|134.209.80.0/20|US|arin|2018-10-18|DIGITALOCEAN-ASN, US
138.197.186.68|DIVI Core: 1.1.2.0|70915|14061|138.197.176.0/20|US|arin|2016-01-26|DIGITALOCEAN-ASN, US
138.68.107.232|DIVI Core: 1.1.2.0|70915|14061|138.68.96.0/20|US|arin|2016-01-26|DIGITALOCEAN-ASN, US
139.59.2.100|DIVI Core: 1.1.2.0|70915|14061|139.59.0.0/20|SG|apnic|1990-06-27|DIGITALOCEAN-ASN, US
139.59.254.105|DIVI Core: 1.1.2.0|70915|14061|139.59.240.0/20|SG|apnic|1990-06-27|DIGITALOCEAN-ASN, US
139.59.33.235|DIVI Core: 1.1.2.0|70915|14061|139.59.32.0/20|SG|apnic|1990-06-27|DIGITALOCEAN-ASN, US
139.59.94.99|DIVI Core: 1.1.2.0|70915|14061|139.59.80.0/20|SG|apnic|1990-06-27|DIGITALOCEAN-ASN, US
139.99.102.213|DIVI Core: 1.1.2.0|70915|16276|139.99.0.0/17|CA|arin|2016-09-09|OVH, FR
142.93.236.59|DIVI Core: 1.1.2.0|70915|14061|142.93.224.0/20|US|arin|2018-07-12|DIGITALOCEAN-ASN, US
143.110.164.127|DIVI Core: 1.1.2.0|70915|14061|143.110.160.0/20|US|arin|2020-01-17|DIGITALOCEAN-ASN, US
143.110.181.134|DIVI Core: 1.1.2.0|70915|14061|143.110.176.0/20|US|arin|2020-01-17|DIGITALOCEAN-ASN, US
143.110.185.236|DIVI Core: 1.1.2.0|70915|14061|143.110.176.0/20|US|arin|2020-01-17|DIGITALOCEAN-ASN, US
157.230.17.53|DIVI Core: 1.1.2.0|70915|14061|157.230.16.0/20|US|arin|2018-08-22|DIGITALOCEAN-ASN, US
157.230.54.221|DIVI Core: 1.1.2.0|70915|14061|157.230.48.0/20|US|arin|2018-08-22|DIGITALOCEAN-ASN, US
157.245.104.49|DIVI Core: 1.1.2.0|70915|14061|157.245.96.0/20|US|arin|2019-05-09|DIGITALOCEAN-ASN, US
157.245.105.251|DIVI Core: 1.1.2.0|70915|14061|157.245.96.0/20|US|arin|2019-05-09|DIGITALOCEAN-ASN, US
157.245.214.109|DIVI Core: 1.1.2.0|70915|14061|157.245.208.0/20|US|arin|2019-05-09|DIGITALOCEAN-ASN, US
157.245.40.93|DIVI Core: 1.1.2.0|70915|14061|157.245.32.0/20|US|arin|2019-05-09|DIGITALOCEAN-ASN, US
157.245.93.248|DIVI Core: 1.1.2.0|70915|14061|157.245.80.0/20|US|arin|2019-05-09|DIGITALOCEAN-ASN, US
159.203.122.159|DIVI Core: 1.1.2.0|70915|14061|159.203.112.0/20|US|arin|2015-08-10|DIGITALOCEAN-ASN, US
159.203.69.158|DIVI Core: 1.1.2.0|70915|14061|159.203.64.0/20|US|arin|2015-08-10|DIGITALOCEAN-ASN, US
159.89.172.68|DIVI Core: 1.1.2.0|70915|14061|159.89.160.0/20|US|arin|2017-07-07|DIGITALOCEAN-ASN, US
159.89.23.27|DIVI Core: 1.1.2.0|70915|14061|159.89.16.0/20|US|arin|2017-07-07|DIGITALOCEAN-ASN, US
159.89.28.229|DIVI Core: 1.1.2.0|70915|14061|159.89.16.0/20|US|arin|2017-07-07|DIGITALOCEAN-ASN, US
159.89.4.233|DIVI Core: 1.1.2.0|70915|14061|159.89.0.0/20|US|arin|2017-07-07|DIGITALOCEAN-ASN, US
159.89.8.157|DIVI Core: 1.1.2.0|70915|14061|159.89.0.0/20|US|arin|2017-07-07|DIGITALOCEAN-ASN, US
161.35.106.18|DIVI Core: 1.1.2.0|70915|14061|161.35.96.0/20|US|arin|2019-07-30|DIGITALOCEAN-ASN, US
161.35.36.115|DIVI Core: 1.1.2.0|70915|14061|161.35.32.0/20|US|arin|2019-07-30|DIGITALOCEAN-ASN, US
161.35.57.207|DIVI Core: 1.1.2.0|70915|14061|161.35.48.0/20|US|arin|2019-07-30|DIGITALOCEAN-ASN, US
165.22.4.216|DIVI Core: 1.1.2.0|70915|14061|165.22.0.0/20|US|arin|2018-10-16|DIGITALOCEAN-ASN, US
165.227.133.207|DIVI Core: 1.1.2.0|70915|14061|165.227.128.0/20|US|arin|2016-10-06|DIGITALOCEAN-ASN, US
165.227.150.159|DIVI Core: 1.1.2.0|70915|14061|165.227.144.0/20|US|arin|2016-10-06|DIGITALOCEAN-ASN, US
165.227.151.228|DIVI Core: 1.1.2.0|70915|14061|165.227.144.0/20|US|arin|2016-10-06|DIGITALOCEAN-ASN, US
165.227.151.247|DIVI Core: 1.1.2.0|70915|14061|165.227.144.0/20|US|arin|2016-10-06|DIGITALOCEAN-ASN, US
165.227.154.125|DIVI Core: 1.1.2.0|70915|14061|165.227.144.0/20|US|arin|2016-10-06|DIGITALOCEAN-ASN, US
165.232.32.168|DIVI Core: 1.1.2.0|70915|14061|165.232.32.0/20|US|arin|2019-12-27|DIGITALOCEAN-ASN, US
167.172.143.221|DIVI Core: 1.1.2.0|70915|14061|167.172.128.0/20|US|ripencc|1993-08-30|DIGITALOCEAN-ASN, US
167.172.236.37|DIVI Core: 1.1.2.0|70915|14061|167.172.224.0/20|US|ripencc|1993-08-30|DIGITALOCEAN-ASN, US
167.172.37.79|DIVI Core: 1.1.2.0|70915|14061|167.172.32.0/20|US|ripencc|1993-08-30|DIGITALOCEAN-ASN, US
