# https://chainz.cryptoid.info/ and whois results
# Digitalmoneybits
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
103.119.141.218|/Digitalmoneybits:1.0.0/|60025|136119|103.119.141.0/24|ID|apnic|2018-07-23|BALIFIBERNET-AS-ID PT Bali Towerindo Sentra, Tbk, ID
110.136.106.67|/Digitalmoneybits:1.0.0/|60025|7713|110.136.104.0/22|ID|apnic|2009-04-20|TELKOMNET-AS-AP PT Telekomunikasi Indonesia, ID
128.199.32.240|/Digitalmoneybits:2.0.0.1/|60025|14061|128.199.32.0/19|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US
136.144.175.147|/Digitalmoneybits:1.0.0/|60025|20857|136.144.128.0/17|NL|ripencc|1989-08-29|TRANSIP-AS Amsterdam, the Netherlands, NL
157.230.29.206|/Digitalmoneybits:2.0.0.1/|60025|14061|157.230.16.0/20|US|arin|2018-08-22|DIGITALOCEAN-ASN, US
157.245.240.159|/Digitalmoneybits:2.0.0.1/|60025|14061|157.245.240.0/20|US|arin|2019-05-09|DIGITALOCEAN-ASN, US
167.86.87.57|/Digitalmoneybits:2.0.0.1/|60025|51167|167.86.86.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.91.129|/Digitalmoneybits:2.0.0.1/|60025|51167|167.86.90.0/23|DE|ripencc|1993-05-14|CONTABO, DE
179.155.222.174|/Digitalmoneybits:1.0.0/|60025|28573|179.155.192.0/19|BR|lacnic|2013-08-14|CLARO S.A., BR
180.253.221.227|/Digitalmoneybits:1.0.0/|60025|7713|180.253.216.0/21|ID|apnic|2009-10-20|TELKOMNET-AS-AP PT Telekomunikasi Indonesia, ID
182.30.119.195|/Digitalmoneybits:1.0.0/|60025|4795|182.30.112.0/20|ID|apnic|2010-02-10|INDOSATM2-ID INDOSATM2 ASN, ID
185.189.13.80|/Digitalmoneybits:1.0.0/|60025|50113|185.189.13.0/24|RU|ripencc|2017-02-08|SUPERSERVERSDATACENTER, RU
185.82.203.241|/Digitalmoneybits:1.0.0/|60025|60117|185.82.203.0/24|NL|ripencc|2014-12-31|HS, AE
185.95.176.125|/Digitalmoneybits:1.0.0/|60025|5524|185.95.176.0/22|NL|ripencc|2015-04-13|BREEDBANDNEDERLAND, NL
188.42.33.124|/Digitalmoneybits:1.0.0/|60025|7979|188.42.32.0/21|LU|ripencc|2009-04-27|SERVERS-COM, US
188.68.46.184|/Digitalmoneybits:1.0.0/|60025|197540|188.68.32.0/20|DE|ripencc|2009-08-25|NETCUP-AS netcup GmbH, DE
212.90.60.69|/Digitalmoneybits:1.0.0/|60025|48239|212.90.32.0/19|UA|ripencc|2010-11-09|ITTV-AS Kiev, Ukraine, UA
213.133.98.197|/Digitalmoneybits:1.0.0/|60025|24940|213.133.96.0/19|DE|ripencc|2002-05-23|HETZNER-AS, DE
36.81.77.37|/Digitalmoneybits:1.0.0/|60025|7713|36.81.64.0/20|ID|apnic|2011-01-14|TELKOMNET-AS-AP PT Telekomunikasi Indonesia, ID
36.81.93.231|/Digitalmoneybits:1.0.0/|60025|7713|36.81.80.0/20|ID|apnic|2011-01-14|TELKOMNET-AS-AP PT Telekomunikasi Indonesia, ID
