# https://chainz.cryptoid.info/ and whois results
# DopeCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
101.185.164.140|/Dopecoin:4.0.0.5/|40001|1221|101.160.0.0/11|AU|apnic|2010-12-23|ASN-TELSTRA Telstra Corporation Ltd, AU
104.207.199.138|/Dopecoin:4.0.0.6/|40001|46887|104.207.192.0/19|US|arin|2014-10-06|LIGHTOWER, US
108.253.35.249|/Dopecoin:4.0.0.4/|40001|7018|108.192.0.0/10|US|arin|2011-01-12|ATT-INTERNET4, US
109.192.123.7|/Dopecoin Core:4.1.0/|40002|6830|109.192.0.0/15|DE|ripencc|2009-10-06|LIBERTYGLOBAL Liberty Global (formerly UPC Broadband Holding, aka AORTA), NL
114.36.84.170|/Dopecoin Core:4.1.0/|40002|3462|114.36.0.0/16|TW|apnic|2008-04-18|HINET Data Communication Business Group, TW
121.121.78.196|/Dopecoin Core:4.1.0/|40002|9534|121.121.0.0/16|MY|apnic|2006-08-18|MAXIS-AS1-AP Binariang Berhad, MY
135.23.228.90|/DigiGreen Core:4.2.0/|40003|5645|135.23.0.0/16|CA|arin|2013-05-09|TEKSAVVY, CA
138.197.187.54|/Dopecoin:4.0.0.4/|40001|14061|138.197.176.0/20|US|arin|2016-01-26|DIGITALOCEAN-ASN, US
14.161.195.11|/Dopecoin Core:4.1.0/|40002|45899|14.161.192.0/21|VN|apnic|2010-08-16|VNPT-AS-VN VNPT Corp, VN
14.246.11.194|/Dopecoin Core:4.1.0/|40002|45899|14.246.0.0/20|VN|apnic|2010-08-16|VNPT-AS-VN VNPT Corp, VN
149.28.36.189|/Dopecoin:4.0.0.6/|40001|20473|149.28.32.0/19|US|arin|2018-05-04|AS-CHOOPA, US
154.21.212.205|/DigiGreen Core:4.2.0/|40003|174|154.21.0.0/16|US|arin|1992-02-05|COGENT-174, US
154.21.212.248|/DigiGreen Core:4.2.0/|40003|174|154.21.0.0/16|US|arin|1992-02-05|COGENT-174, US
154.21.216.168|/DigiGreen Core:4.2.0/|40003|174|154.21.0.0/16|US|arin|1992-02-05|COGENT-174, US
171.235.133.227|/Dopecoin Core:4.1.0/|40002|7552|171.235.128.0/21|VN|apnic|2011-03-04|VIETEL-AS-AP Viettel Group, VN
172.220.120.26|/Dopecoin Core:4.1.0/|40002|20115|172.220.0.0/17|US|arin|2012-06-22|CHARTER-20115, US
180.183.3.250|/Dopecoin:4.0.0.5/|40001|45758|180.183.0.0/16|TH|apnic|2009-09-16|TRIPLETNET-AS-AP Triple T Internet/Triple T Broadband, TH
185.107.95.227|/DigiGreen Core:4.2.0/|40003|43350|185.107.92.0/22|NL|ripencc|2015-07-03|NFORCE, NL
185.206.145.25|???|0|44901|185.206.145.0/24|CY|ripencc|2017-06-01|BELCLOUD, BG
188.166.89.189|/Dopecoin:4.0.0.6/|40001|14061|188.166.64.0/18|US|ripencc|2009-06-05|DIGITALOCEAN-ASN, US
2.24.93.152|/Dopecoin Core:4.1.0/|40002|12576|2.24.0.0/16|GB|ripencc|2010-09-21|EE Ltd, GB
202.150.111.72|/Dopecoin:4.0.0.5/|40001|9790|202.150.96.0/19|NZ|apnic|2004-06-23|VOCUSGROUPNZ VocusGroup, NZ
