# https://chainz.cryptoid.info/ and whois results
# Einsteinium
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.163.130.150|/EinsteiniumCore:0.13.5/|70015|1403|104.163.128.0/17|CA|arin|2014-08-14|EBOX, CA
109.81.209.87|/EinsteiniumCore:0.13.48/|70015|5610|109.81.209.0/24|CZ|ripencc|2009-07-10|O2-CZECH-REPUBLIC, CZ
116.202.129.35|/EinsteiniumCore:0.13.6/|70015|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.202.171.210|/EinsteiniumCore:0.13.6/|70015|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
124.65.151.98|/EinsteiniumCore:0.13.5/|70015|4808|124.65.128.0/18|CN|apnic|2006-01-09|CHINA169-BJ China Unicom Beijing Province Network, CN
13.209.60.161|/EinsteiniumCore:0.13.6/|70015|16509|13.209.0.0/16|US|arin|2016-08-09|AMAZON-02, US
135.181.6.252|/EinsteiniumCore:0.13.7/|70015|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE
138.201.207.24|/EinsteiniumCore:0.13.7/|70015|24940|138.201.0.0/16|DE|ripencc|1990-05-23|HETZNER-AS, DE
139.99.133.164|/EinsteiniumCore:0.13.7/|70015|16276|139.99.128.0/17|CA|arin|2016-09-09|OVH, FR
139.99.148.34|/EinsteiniumCore:0.13.7/|70015|16276|139.99.128.0/17|CA|arin|2016-09-09|OVH, FR
139.99.189.228|/EinsteiniumCore:0.13.7/|70015|16276|139.99.128.0/17|CA|arin|2016-09-09|OVH, FR
139.99.210.34|/EinsteiniumCore:0.13.7/|70015|16276|139.99.128.0/17|CA|arin|2016-09-09|OVH, FR
139.99.8.93|/EinsteiniumCore:0.13.7/|70015|16276|139.99.0.0/17|CA|arin|2016-09-09|OVH, FR
142.112.52.184|/EinsteiniumCore:0.13.7/|70015|577|142.112.0.0/16|CA|arin|1993-04-05|BACOM, CA
142.44.212.178|/EinsteiniumCore:0.13.5/|70015|16276|142.44.128.0/17|CA|arin|2017-06-21|OVH, FR
144.48.38.33|/EinsteiniumCore:0.13.6/|70015|136557|144.48.38.0/24|IN|apnic|2016-04-07|HOST-AS-AP Host Universal Pty Ltd, AU
145.239.0.106|/EinsteiniumCore:0.13.7/|70015|16276|145.239.0.0/16|FR|ripencc|1993-08-03|OVH, FR
146.0.74.175|/EinsteiniumCore:0.13.7/|70015|57043|146.0.74.0/24|NL|ripencc|2011-07-07|HOSTKEY-AS, NL
167.71.83.185|/EinsteiniumCore:0.13.6/|70015|14061|167.71.80.0/20|US|arin|2019-04-24|DIGITALOCEAN-ASN, US
172.221.29.180|/EinsteiniumCore:0.13.5/|70015|20115|172.221.0.0/18|US|arin|2012-06-22|CHARTER-20115, US
174.94.134.49|/EinsteiniumCore:0.13.6/|70015|577|174.94.0.0/16|CA|arin|2009-02-27|BACOM, CA
176.212.36.127|/EinsteiniumCore:0.13.48/|70015|57378|176.212.36.0/22|RU|ripencc|2011-09-28|ROSTOV-AS, RU
176.95.194.90|/EinsteiniumCore:0.13.7/|70015|3209|176.95.0.0/16|DE|ripencc|2011-07-11|VODANET International IP-Backbone of Vodafone, DE
176.98.43.229|/EinsteiniumCore:0.13.7/|70015|202505|176.98.43.0/24|TR|ripencc|2018-09-03|ONLINENET, TR
178.148.172.209|/EinsteiniumCore:0.13.7/|70015|31042|178.148.0.0/16|RS|ripencc|2010-03-19|SERBIA-BROADBAND-AS Serbia BroadBand-Srpske Kablovske mreze d.o.o., RS
