# https://chainz.cryptoid.info/ and whois results
# ExclusiveCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
103.193.129.5|/EXCL Core - Boutique:3.1.0/|70917|4785|103.193.129.0/24|HK|apnic|2015-07-28|XTOM-AS-JP xTom, JP
104.238.186.60|/EXCL Core - Boutique:3.1.0/|70917|20473|104.238.184.0/22|US|arin|2014-11-13|AS-CHOOPA, US
136.243.105.43|/EXCL Core - Boutique:3.1.0/|70917|24940|136.243.0.0/16|DE|ripencc|2004-04-14|HETZNER-AS, DE
136.244.79.137|/EXCL Core - Boutique:3.1.0/|70917|20473|136.244.64.0/20|US|arin|2019-04-08|AS-CHOOPA, US
138.201.103.71|/EXCL Core - Boutique:3.1.0/|70917|24940|138.201.0.0/16|DE|ripencc|1990-05-23|HETZNER-AS, DE
138.68.16.162|/EXCL Core - Boutique:3.1.0/|70917|14061|138.68.16.0/20|US|arin|2016-01-26|DIGITALOCEAN-ASN, US
167.86.124.238|/EXCL Core - Boutique:3.1.0/|70917|51167|167.86.124.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.71.165|/EXCL Core - Boutique:3.1.0/|70917|51167|167.86.70.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.89.6|/EXCL Core - Boutique:3.1.0/|70917|51167|167.86.88.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.91.55|/EXCL Core - Boutique:3.1.0/|70917|51167|167.86.90.0/23|DE|ripencc|1993-05-14|CONTABO, DE
172.98.67.28|/EXCL Core - Boutique:3.1.0/|70917|46562|172.98.67.0/24|US|arin|2015-06-15|TOTAL-SERVER-SOLUTIONS, US
172.98.67.99|/EXCL Core - Boutique:3.1.0/|70917|46562|172.98.67.0/24|US|arin|2015-06-15|TOTAL-SERVER-SOLUTIONS, US
173.249.17.76|/EXCL Core - Boutique:3.1.0/|70917|51167|173.249.16.0/23|DE|ripencc|2010-05-26|CONTABO, DE
173.249.20.101|/EXCL Core - Boutique:3.1.0/|70917|51167|173.249.20.0/23|DE|ripencc|2010-05-26|CONTABO, DE
176.10.132.33|/EXCL Core - Boutique:3.1.0/|70917|8473|176.10.128.0/17|SE|ripencc|2011-05-18|BAHNHOF http://www.bahnhof.net/, SE
176.116.137.125|/EXCL Core - Boutique:3.1.0/|70917|50716|176.116.136.0/21|RU|ripencc|2012-05-09|TELECOMRUNET, RU
176.116.138.124|/EXCL Core - Boutique:3.1.0/|70917|50716|176.116.136.0/21|RU|ripencc|2012-05-09|TELECOMRUNET, RU
176.116.139.71|/EXCL Core - Boutique:3.1.0/|70917|50716|176.116.136.0/21|RU|ripencc|2012-05-09|TELECOMRUNET, RU
176.116.143.108|/EXCL Core - Boutique:3.1.0/|70917|50716|176.116.136.0/21|RU|ripencc|2012-05-09|TELECOMRUNET, RU
178.165.128.239|/EXCL Core - Boutique:3.1.0/|70917|25255|178.165.128.0/20|AT|ripencc|2010-02-23|H3G-AUSTRIA-AS ==) TELE2 AUSTRIA (==, AT
188.119.66.2|/EXCL Core - Boutique:3.1.0/|70917|209499|188.119.66.0/24|RU|ripencc|2018-11-23|FLYNET, RU
190.96.1.19|/EXCL Core - Boutique:3.1.0/|70917|18822|190.96.1.0/24|CL|lacnic|2007-07-19|Manquehuenet, CL
195.154.58.154|/EXCL Core - Boutique:3.1.0/|70917|12876|195.154.0.0/16|FR|ripencc|1996-08-27|Online SAS, FR
199.247.6.84|/EXCL Core - Boutique:3.1.0/|70917|20473|199.247.0.0/21|EU|ripencc|1996-04-09|AS-CHOOPA, US
207.180.193.10|/EXCL Core - Boutique:3.1.0/|70917|51167|207.180.192.0/23|DE|ripencc|1996-08-21|CONTABO, DE
207.180.200.239|/EXCL Core - Boutique:3.1.0/|70917|51167|207.180.200.0/23|DE|ripencc|1996-08-21|CONTABO, DE
207.180.208.104|/EXCL Core - Boutique:3.1.0/|70917|51167|207.180.208.0/23|DE|ripencc|1996-08-21|CONTABO, DE
207.246.92.237|/EXCL Core - Boutique:3.1.0/|70917|20473|207.246.80.0/20|US|arin|2017-10-13|AS-CHOOPA, US
212.83.157.14|/EXCL Core - Boutique:3.1.0/|70917|12876|212.83.128.0/19|FR|ripencc|1998-12-14|Online SAS, FR
221.234.236.88|/EXCL Core - Boutique:3.1.0/|70917|4134|221.232.0.0/14|CN|apnic|2003-07-15|CHINANET-BACKBONE No.31,Jin-rong Street, CN
27.72.100.195|/EXCL Core - Boutique:3.1.0/|70917|7552|27.72.96.0/20|VN|apnic|2010-04-27|VIETEL-AS-AP Viettel Group, VN
35.222.153.136|/EXCL Core - Boutique:3.1.0/|70917|15169|35.220.0.0/14|US|arin|2017-09-29|GOOGLE, US
45.76.95.39|/EXCL Core - Boutique:3.1.0/|70917|20473|45.76.80.0/20|US|arin|2015-04-24|AS-CHOOPA, US
62.210.10.253|/EXCL Core - Boutique:3.1.0/|70917|12876|62.210.0.0/16|FR|ripencc|2000-10-26|Online SAS, FR
62.210.90.81|/EXCL Core - Boutique:3.1.0/|70917|12876|62.210.0.0/16|FR|ripencc|2000-10-26|Online SAS, FR
