# https://chainz.cryptoid.info/ and whois results
# Feathercoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
105.244.32.143|/Feathercoin:0.19.1/|70016|36994|105.244.0.0/16|ZA|afrinic|2012-06-06|Vodacom-VB, ZA
107.170.17.56|/litecoin-seeder:0.01/|70002|14061|107.170.0.0/17|US|arin|2013-12-30|DIGITALOCEAN-ASN, US
108.4.3.75|/Feathercoin:0.19.1/|70016|701|108.4.0.0/17|US|arin|2009-06-05|UUNET, US
108.56.254.160|/Feathercoin:0.18.1/|70016|701|108.56.0.0/16|US|arin|2009-06-05|UUNET, US
109.129.14.17|/Feathercoin:0.18.3(Omni:0.9.0)/|70016|5432|109.128.0.0/14|BE|ripencc|2009-07-27|PROXIMUS-ISP-AS, BE
122.59.15.39|/Feathercoin:0.16.0/|70015|4771|122.59.8.0/21|NZ|apnic|2008-09-16|SPARKNZ Spark New Zealand Trading Ltd., NZ
13.209.243.246|/Feathercoin:0.19.1/|70016|16509|13.209.0.0/16|US|arin|2016-08-09|AMAZON-02, US
13.66.199.164|/Feathercoin:0.16.3/|70015|8075|13.64.0.0/11|US|arin|2015-03-26|MICROSOFT-CORP-MSN-AS-BLOCK, US
136.32.141.74|/Feathercoin:0.18.2/|70016|16591|136.32.128.0/20|US|arin|2015-10-06|GOOGLE-FIBER, US
139.162.216.67|/Feathercoin:0.18.3/|70016|63949|139.162.192.0/19|NL|ripencc|1990-03-24|LINODE-AP Linode, LLC, US
139.59.154.236|/Feathercoin:0.17.1/|70016|14061|139.59.128.0/19|SG|apnic|1990-06-27|DIGITALOCEAN-ASN, US
142.93.229.149|/litetroll.net:1.0/|70015|14061|142.93.224.0/20|US|arin|2018-07-12|DIGITALOCEAN-ASN, US
147.135.97.55|/Feathercoin:0.18.3/|70016|16276|147.135.0.0/17|US|arin|2017-03-22|OVH, FR
149.202.78.163|/Feathercoin:0.19.1/|70016|16276|149.202.0.0/16|FR|ripencc|1999-04-26|OVH, FR
149.56.155.28|/Feathercoin:0.19.1/|70016|16276|149.56.0.0/16|CA|arin|2016-02-09|OVH, FR
167.172.21.128|/Potcoin-Seeder:0.01/|70420|14061|167.172.16.0/20|US|ripencc|1993-08-30|DIGITALOCEAN-ASN, US
167.99.204.155|/Feathercoin:0.19.1/|70016|14061|167.99.192.0/20|US|arin|2017-11-10|DIGITALOCEAN-ASN, US
172.81.181.11|/Feathercoin:0.16.3/|70015|174|172.81.176.0/21|CA|arin|2015-05-14|COGENT-174, US
174.7.171.10|/Feathercoin:0.19.1/|70016|6327|174.7.168.0/22|CA|arin|2008-11-19|SHAW, CA
175.38.7.70|/Feathercoin:0.16.0/|70015|4804|175.38.0.0/17|AU|apnic|2009-12-08|MPX-AS Microplex PTY LTD, AU
176.9.50.227|/Feathercoin:0.17.0/|70016|24940|176.9.0.0/16|DE|ripencc|2011-05-17|HETZNER-AS, DE
182.254.137.231|/Feathercoin:0.19.1/|70016|45090|182.254.136.0/23|CN|apnic|2010-05-11|CNNIC-TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
185.97.16.23|/Feathercoin:0.18.2/|70016|60782|185.97.16.0/22|PL|ripencc|2015-04-21|INTERPLUS, PL
188.166.227.187|/Feathercoin:0.19.1/|70016|14061|188.166.224.0/20|NL|ripencc|2009-06-05|DIGITALOCEAN-ASN, US
188.166.72.211|/Feathercoin:0.19.1/|70016|14061|188.166.64.0/18|NL|ripencc|2009-06-05|DIGITALOCEAN-ASN, US
188.42.46.2|/Feathercoin:0.16.0/|70015|7979|188.42.40.0/21|LU|ripencc|2009-04-27|SERVERS-COM, US
190.96.1.19|/Feathercoin:0.18.2/|70016|18822|190.96.1.0/24|CL|lacnic|2007-07-19|Manquehuenet, CL
195.201.160.242|/Feathercoin:0.19.1/|70016|24940|195.201.0.0/16|DE|ripencc|1997-09-22|HETZNER-AS, DE
195.201.164.117|/Feathercoin:0.19.1/|70016|24940|195.201.0.0/16|DE|ripencc|1997-09-22|HETZNER-AS, DE
198.48.165.23|/Feathercoin:0.19.1/|70016|5645|198.48.164.0/22|CA|arin|2013-03-04|TEKSAVVY, CA
2.219.63.3|/Feathercoin:0.16.1/|70015|5607|2.216.0.0/13|GB|ripencc|2010-12-03|BSKYB-BROADBAND-AS, GB
203.198.146.232|/Feathercoin:0.19.1/|70016|4760|203.198.144.0/20|HK|apnic|2000-07-12|HKTIMS-AP HKT Limited, HK
206.189.158.128|/Feathercoin:0.16.3/|70015|14061|206.189.144.0/20|US|arin|1995-11-15|DIGITALOCEAN-ASN, US
209.94.191.213|/litecoin-seeder:0.01/|70002|396426|209.94.191.0/24|US|arin|1997-07-14|CYBERONEDATA, US
213.219.149.83|/Feathercoin:0.16.0/|70015|9031|213.219.128.0/18|BE|ripencc|2000-08-30|EDPNET, BE
217.155.198.217|/Feathercoin:0.13.0/|70015|13037|217.155.0.0/16|GB|ripencc|2002-07-03|ZEN-AS Zen Internet - UK, GB
221.122.37.74|/Feathercoin:0.18.2/|70016|23724|221.122.32.0/20|CN|apnic|2003-07-07|CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation, CN
24.48.231.220|/Feathercoin:0.19.1/|70016|14638|24.48.231.0/24|PR|arin|2010-01-22|LCPRL, US
3.121.247.139|/Feathercoin:0.19.1/|70016|16509|3.120.0.0/14|US|arin|2017-12-20|AMAZON-02, US
3.219.224.73|/Feathercoin:0.19.1/|70016|14618|3.208.0.0/12|US|arin|2018-06-25|AMAZON-AES, US
31.40.218.121|/Feathercoin:0.19.1/|70016|56630|31.40.216.0/22|NL|ripencc|2018-11-09|MELBICOM-EU-AS Melbikomas UAB, NL
34.231.68.33|/Feathercoin:0.19.1/|70016|14618|34.224.0.0/12|US|arin|2016-09-12|AMAZON-AES, US
42.118.140.76|/Feathercoin:0.19.1/|70016|18403|42.118.128.0/18|VN|apnic|2011-02-10|FPT-AS-AP The Corporation for Financing & Promoting Technology, VN
46.0.180.20|/Feathercoin:0.19.1/|70016|34533|46.0.0.0/16|RU|ripencc|2010-08-10|ESAMARA-AS, RU
46.101.143.71|/Feathercoin:0.13.3(feathercore)/|70015|14061|46.101.128.0/17|NL|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
46.101.240.126|/Feathercoin:0.19.1/|70016|14061|46.101.128.0/17|NL|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
47.16.180.200|/Feathercoin:0.19.1/|70016|6128|47.16.0.0/15|US|arin|2012-02-29|CABLE-NET-1, US
47.254.41.60|/Feathercoin:0.19.1/|70016|45102|47.254.40.0/21|US|arin|2016-04-15|CNNIC-ALIBABA-US-NET-AP Alibaba (US) Technology Co., Ltd., CN
47.90.4.203|/Satoshi:0.13.0/|70014|45102|47.90.0.0/18|US|arin|2015-05-18|CNNIC-ALIBABA-US-NET-AP Alibaba (US) Technology Co., Ltd., CN
49.74.80.58|/Feathercoin:0.18.2/|70016|4134|49.64.0.0/11|CN|apnic|2010-11-15|CHINANET-BACKBONE No.31,Jin-rong Street, CN
50.220.121.211|/Feathercoin:0.19.1/|70016|7922|50.128.0.0/9|US|arin|2010-10-21|COMCAST-7922, US
51.75.93.64|/Feathercoin:0.19.1/|70016|16276|51.75.0.0/16|FR|ripencc|1993-09-01|OVH, FR
60.108.235.88|/Feathercoin:0.18.2/|70016|17676|60.108.0.0/16|JP|apnic|2004-05-20|GIGAINFRA Softbank BB Corp., JP
62.12.153.168|/Feathercoin:0.19.1/|70016|15623|62.12.128.0/17|CH|ripencc|2000-04-10|CYBERLINK Cyberlink AG, CH
