# https://chainz.cryptoid.info/ and whois results
# GapCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.236.168.125|/Satoshi:0.9.2/|70002|14061|104.236.128.0/18|US|arin|2014-10-28|DIGITALOCEAN-ASN, US
138.197.159.202|/Satoshi:0.9.2/|70002|14061|138.197.144.0/20|US|arin|2016-01-26|DIGITALOCEAN-ASN, US
138.68.172.174|/Satoshi:0.9.2/|70002|14061|138.68.160.0/20|US|arin|2016-01-26|DIGITALOCEAN-ASN, US
139.59.57.170|/Satoshi:0.9.2/|70002|14061|139.59.56.0/21|SG|apnic|1990-06-27|DIGITALOCEAN-ASN, US
140.82.39.234|/Satoshi:0.9.4/|70002|20473|140.82.32.0/21|US|arin|2018-03-15|AS-CHOOPA, US
172.104.85.43|/Satoshi:0.9.2/|70002|63949|172.104.64.0/19|US|arin|2015-06-19|LINODE-AP Linode, LLC, US
172.104.88.43|/Satoshi:0.9.2/|70002|63949|172.104.64.0/19|US|arin|2015-06-19|LINODE-AP Linode, LLC, US
184.148.176.168|/Satoshi:0.9.2/|70002|577|184.148.0.0/16|CA|arin|2010-04-12|BACOM, CA
209.250.239.39|/Satoshi:0.9.4/|70002|20473|209.250.232.0/21|EU|ripencc|2006-06-08|AS-CHOOPA, US
213.174.0.251|/Satoshi:0.9.2/|70002|56797|213.174.0.0/24|UA|ripencc|2010-04-28|ALBION, UA
37.139.15.251|/Satoshi:0.9.2/|70002|14061|37.139.0.0/19|NL|ripencc|2012-02-24|DIGITALOCEAN-ASN, US
45.32.159.195|/Satoshi:0.9.4/|70002|20473|45.32.152.0/21|US|arin|2015-02-17|AS-CHOOPA, US
45.76.140.157|/Satoshi:0.9.2/|70002|20473|45.76.128.0/20|US|arin|2015-04-24|AS-CHOOPA, US
5.9.193.21|/Satoshi:0.9.4/|70002|24940|5.9.0.0/16|DE|ripencc|2012-04-25|HETZNER-AS, DE
76.19.177.136|/Satoshi:0.9.2/|70002|7922|76.16.0.0/12|US|arin|2006-06-28|COMCAST-7922, US
80.240.22.97|/Satoshi:0.9.4/|70002|20473|80.240.16.0/20|DE|ripencc|2005-08-12|AS-CHOOPA, US
