# https://chainz.cryptoid.info/ and whois results
# GoldCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
103.10.67.146|/goldcoinj:0.14.8/Goldcoin Wallet:6.33.2/|70000|45727|103.10.67.0/24|ID|apnic|2011-06-08|THREE-AS-ID Hutchison CP Telecommunications, PT, ID
103.105.33.105|/goldcoinj:0.14.8/Goldcoin Wallet:6.33.2/|70000|45727|103.105.33.0/24|ID|apnic|2017-12-04|THREE-AS-ID Hutchison CP Telecommunications, PT, ID
103.105.33.126|/goldcoinj:0.14.8/Goldcoin Wallet:6.33.2/|70000|45727|103.105.33.0/24|ID|apnic|2017-12-04|THREE-AS-ID Hutchison CP Telecommunications, PT, ID
103.105.34.95|/goldcoinj:0.14.8/Goldcoin Wallet:6.33.2/|70000|45727|103.105.34.0/24|ID|apnic|2017-12-04|THREE-AS-ID Hutchison CP Telecommunications, PT, ID
103.105.34.97|/goldcoinj:0.14.8/Goldcoin Wallet:6.33.2/|70000|45727|103.105.34.0/24|ID|apnic|2017-12-04|THREE-AS-ID Hutchison CP Telecommunications, PT, ID
103.121.18.36|/goldcoinj:0.14.8/Goldcoin Wallet:6.33.2/|70000|63859|103.121.18.0/24|ID|apnic|2018-08-13|MYREPUBLIC-AS-ID PT. Eka Mas Republik, ID
103.143.98.44|/goldcoinj:0.14.8/Goldcoin Wallet:6.33.2/|70000|133798|103.143.98.0/24|ID|apnic|2019-09-20|SMARTFREN-AS-ID PT. Smartfren Telecom, Tbk, ID
103.247.196.44|/goldcoinj:0.14.8/Goldcoin Wallet:6.33.2/|70000|55699|103.247.196.0/23|ID|apnic|2012-02-03|STARNET-AS-ID PT. Cemerlang Multimedia, ID
103.76.151.9|/goldcoinj:0.14.8/Goldcoin Wallet:6.33.2/|70000|135477|103.76.151.0/24|ID|apnic|2016-10-04|JAVADIGITAL-AS-ID PT. Java Digital Nusantara, ID
103.78.115.1|/goldcoinj:0.14.8/Goldcoin Wallet:6.33.2/|70000|131111|103.78.115.0/24|ID|apnic|2016-11-02|CEPATNET-AS-ID PT Mora Telematika Indonesia, ID
103.78.115.14|/goldcoinj:0.14.8/Goldcoin Wallet:6.33.2/|70000|131111|103.78.115.0/24|ID|apnic|2016-11-02|CEPATNET-AS-ID PT Mora Telematika Indonesia, ID
104.172.217.60|/GoldcoinCore:0.14.4/|70015|20001|104.172.0.0/14|US|arin|2014-08-13|TWC-20001-PACWEST, US
107.152.42.126|/GoldcoinCore:0.14.6/|70015|11878|107.152.42.0/24|US|arin|2013-12-03|TZULO, US
109.74.52.25|/GoldcoinCore:0.14.5/|70015|50261|109.74.48.0/20|HU|ripencc|2009-10-26|ACENET, HU
110.138.148.3|/goldcoinj:0.14.8/Goldcoin Wallet:6.33.2/|70000|7713|110.138.148.0/24|ID|apnic|2009-04-20|TELKOMNET-AS-AP PT Telekomunikasi Indonesia, ID
110.138.148.99|/goldcoinj:0.14.8/Goldcoin Wallet:6.33.2/|70000|7713|110.138.148.0/24|ID|apnic|2009-04-20|TELKOMNET-AS-AP PT Telekomunikasi Indonesia, ID
110.138.149.190|/goldcoinj:0.14.8/Goldcoin Wallet:6.33.2/|70000|7713|110.138.149.0/24|ID|apnic|2009-04-20|TELKOMNET-AS-AP PT Telekomunikasi Indonesia, ID
110.138.149.54|/goldcoinj:0.14.8/Goldcoin Wallet:6.33.2/|70000|7713|110.138.149.0/24|ID|apnic|2009-04-20|TELKOMNET-AS-AP PT Telekomunikasi Indonesia, ID
110.138.150.161|/goldcoinj:0.14.8/Goldcoin Wallet:6.33.2/|70000|7713|110.138.150.0/24|ID|apnic|2009-04-20|TELKOMNET-AS-AP PT Telekomunikasi Indonesia, ID
110.138.151.131|/goldcoinj:0.14.8/Goldcoin Wallet:6.33.2/|70000|7713|110.138.151.0/24|ID|apnic|2009-04-20|TELKOMNET-AS-AP PT Telekomunikasi Indonesia, ID
110.138.151.250|/goldcoinj:0.14.8/Goldcoin Wallet:6.33.2/|70000|7713|110.138.151.0/24|ID|apnic|2009-04-20|TELKOMNET-AS-AP PT Telekomunikasi Indonesia, ID
110.138.151.77|/goldcoinj:0.14.8/Goldcoin Wallet:6.33.2/|70000|7713|110.138.151.0/24|ID|apnic|2009-04-20|TELKOMNET-AS-AP PT Telekomunikasi Indonesia, ID
110.138.151.97|/goldcoinj:0.14.8/Goldcoin Wallet:6.33.2/|70000|7713|110.138.151.0/24|ID|apnic|2009-04-20|TELKOMNET-AS-AP PT Telekomunikasi Indonesia, ID
110.54.131.145|/goldcoinj:0.14.8/Goldcoin Wallet:6.33.2/|70000|132199|110.54.131.0/24|PH|apnic|2009-03-25|GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc., PH
110.54.135.108|/goldcoinj:0.14.8/Goldcoin Wallet:6.33.2/|70000|4775|110.54.135.0/24|PH|apnic|2009-03-25|GLOBE-TELECOM-AS Globe Telecoms, PH
111.95.87.45|/goldcoinj:0.14.8/Goldcoin Wallet:6.33.2/|70000|23700|111.95.64.0/19|ID|apnic|2009-06-24|FASTNET-AS-ID Linknet-Fastnet ASN, ID
112.215.151.106|/goldcoinj:0.14.8/Goldcoin Wallet:6.33.2/|70000|24203|112.215.151.0/24|ID|apnic|2009-02-19|NAPXLNET-AS-ID PT XL Axiata, ID
112.215.151.209|/goldcoinj:0.14.8/Goldcoin Wallet:6.33.2/|70000|24203|112.215.151.0/24|ID|apnic|2009-02-19|NAPXLNET-AS-ID PT XL Axiata, ID
112.215.151.3|/goldcoinj:0.14.8/Goldcoin Wallet:6.33.2/|70000|24203|112.215.151.0/24|ID|apnic|2009-02-19|NAPXLNET-AS-ID PT XL Axiata, ID
112.215.170.5|/goldcoinj:0.14.8/Goldcoin Wallet:6.33.2/|70000|24203|112.215.170.0/24|ID|apnic|2009-02-19|NAPXLNET-AS-ID PT XL Axiata, ID
112.215.171.136|/goldcoinj:0.14.8/Goldcoin Wallet:6.33.2/|70000|24203|112.215.171.0/24|ID|apnic|2009-02-19|NAPXLNET-AS-ID PT XL Axiata, ID
112.215.208.173|/goldcoinj:0.14.8/Goldcoin Wallet:6.33.2/|70000|24203|112.215.208.0/24|ID|apnic|2009-02-19|NAPXLNET-AS-ID PT XL Axiata, ID
112.215.209.65|/goldcoinj:0.14.8/Goldcoin Wallet:6.33.2/|70000|24203|112.215.209.0/24|ID|apnic|2009-02-19|NAPXLNET-AS-ID PT XL Axiata, ID
112.215.219.231|/goldcoinj:0.14.8/Goldcoin Wallet:6.33.2/|70000|24203|112.215.219.0/24|ID|apnic|2009-02-19|NAPXLNET-AS-ID PT XL Axiata, ID
