# https://chainz.cryptoid.info/ and whois results
# GlobalToken
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
102.39.218.87|/GlobalToken:3.2.1/|80002|11845|102.39.0.0/16|ZA|afrinic|2019-06-07|Vox-Telecom, ZA
103.230.239.146|???|0|133775|103.230.236.0/22|CN|apnic|2014-05-07|CHINATELECOM-FUJIAN-XIAMEN-IDC1 Xiamen, CN
109.94.110.152|???|0|44901|109.94.110.0/24|BG|ripencc|2009-11-06|BELCLOUD, BG
113.87.160.76|/GlobalToken:3.2.1/|80002|4134|113.64.0.0/11|CN|apnic|2008-11-03|CHINANET-BACKBONE No.31,Jin-rong Street, CN
113.87.162.219|/GlobalToken:3.2.1/|80002|4134|113.64.0.0/11|CN|apnic|2008-11-03|CHINANET-BACKBONE No.31,Jin-rong Street, CN
114.67.113.237|/GlobalToken:3.2.0/|80002|4812|114.67.64.0/18|CN|apnic|2008-05-07|CHINANET-SH-AP China Telecom (Group), CN
116.203.52.231|/GlobalToken:3.2.1/|80002|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
121.37.171.62|/GlobalToken:3.2.1/|80002|55990|121.37.160.0/19|CN|apnic|2006-07-26|HWCSNET Huawei Cloud Service data center, CN
122.112.184.149|/GlobalToken:3.2.0/|80002|55990|122.112.160.0/19|CN|apnic|2007-09-18|HWCSNET Huawei Cloud Service data center, CN
134.255.254.180|/GlobalToken:3.2.1/|80002|197071|134.255.254.0/24|DE|ripencc|2011-11-08|ACTIVE-SERVERS active-servers.com, DE
135.181.133.49|/GlobalToken:3.2.1/|80002|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE
136.24.44.100|/GlobalToken:3.2.1/|80002|19165|136.24.0.0/16|US|arin|2016-10-31|WEBPASS, US
142.93.115.23|/GlobalToken:3.2.1/|80002|14061|142.93.112.0/20|US|arin|2018-07-12|DIGITALOCEAN-ASN, US
144.76.172.181|/GlobalToken:3.2.1/|80002|24940|144.76.0.0/16|DE|ripencc|1990-11-16|HETZNER-AS, DE
147.135.97.183|/GlobalToken:3.2.1/|80002|16276|147.135.0.0/17|US|arin|2017-03-22|OVH, FR
149.28.197.173|/GlobalToken:3.2.1/|80002|20473|149.28.192.0/19|US|arin|2018-05-04|AS-CHOOPA, US
162.212.154.236|/GlobalToken:3.2.0/|80002|11878|162.212.152.0/21|US|arin|2013-05-22|TZULO, US
165.22.194.179|/GlobalToken:3.2.0/|80002|14061|165.22.192.0/20|US|arin|2018-10-16|DIGITALOCEAN-ASN, US
167.86.96.198|/GlobalToken:3.2.1/|80002|51167|167.86.96.0/23|DE|ripencc|1993-05-14|CONTABO, DE
173.212.197.15|/GlobalToken:3.0.2/|80000|51167|173.212.192.0/19|DE|ripencc|2009-10-26|CONTABO, DE
173.212.213.80|/GlobalToken:3.2.1/|80002|51167|173.212.192.0/19|DE|ripencc|2009-10-26|CONTABO, DE
173.212.214.166|/GlobalToken:3.2.1/|80002|51167|173.212.192.0/19|DE|ripencc|2009-10-26|CONTABO, DE
173.212.217.181|/GlobalToken:3.2.1/|80002|51167|173.212.192.0/19|DE|ripencc|2009-10-26|CONTABO, DE
173.212.223.33|/GlobalToken:3.2.1/|80002|51167|173.212.192.0/19|DE|ripencc|2009-10-26|CONTABO, DE
173.212.226.175|/GlobalToken:3.2.1/|80002|51167|173.212.224.0/20|DE|ripencc|2009-10-26|CONTABO, DE
173.212.226.199|/GlobalToken:3.2.1/|80002|51167|173.212.224.0/20|DE|ripencc|2009-10-26|CONTABO, DE
173.249.33.133|/GlobalToken:3.2.1/|80002|51167|173.249.32.0/23|DE|ripencc|2010-05-26|CONTABO, DE
173.249.6.95|/GlobalToken:3.2.0/|80002|51167|173.249.6.0/23|DE|ripencc|2010-05-26|CONTABO, DE
176.185.206.25|/GlobalToken:3.2.1/|80002|5410|176.128.0.0/10|FR|ripencc|2011-07-06|BOUYGTEL-ISP, FR
178.238.226.213|/GlobalToken:3.2.1/|80002|51167|178.238.226.0/23|DE|ripencc|2010-07-28|CONTABO, DE
178.63.11.230|/GlobalToken:3.2.1/|80002|24940|178.63.0.0/16|DE|ripencc|2010-03-02|HETZNER-AS, DE
185.158.182.57|/GlobalToken:3.2.1/|80002|20810|185.158.180.0/22|DE|ripencc|2016-07-07|NETCOM-KASSEL Netcom Kassel, DE
185.162.248.82|/GlobalToken:3.2.1/|80002|197540|185.162.248.0/22|DE|ripencc|2016-08-11|NETCUP-AS netcup GmbH, DE
185.162.251.7|/GlobalToken:3.2.0/|80002|197540|185.162.248.0/22|DE|ripencc|2016-08-11|NETCUP-AS netcup GmbH, DE
185.170.112.229|/GlobalToken:3.2.0/|80002|197540|185.170.112.0/22|DE|ripencc|2016-09-29|NETCUP-AS netcup GmbH, DE
185.177.59.106|???|0|44901|185.177.59.0/24|BG|ripencc|2016-11-10|BELCLOUD, BG
185.183.157.247|/GlobalToken:3.2.0/|80002|197540|185.183.156.0/22|DE|ripencc|2016-12-28|NETCUP-AS netcup GmbH, DE
185.203.116.198|???|0|44901|185.203.116.0/24|CY|ripencc|2017-05-12|BELCLOUD, BG
185.206.144.132|???|0|44901|185.206.144.0/24|CY|ripencc|2017-06-01|BELCLOUD, BG
185.206.145.133|???|0|44901|185.206.145.0/24|CY|ripencc|2017-06-01|BELCLOUD, BG
185.206.147.111|???|0|44901|185.206.147.0/24|CY|ripencc|2017-06-01|BELCLOUD, BG
185.206.147.126|???|0|44901|185.206.147.0/24|CY|ripencc|2017-06-01|BELCLOUD, BG
185.206.147.132|???|0|44901|185.206.147.0/24|CY|ripencc|2017-06-01|BELCLOUD, BG
185.233.104.171|/GlobalToken:3.2.0/|80002|197540|185.233.104.0/22|DE|ripencc|2017-11-23|NETCUP-AS netcup GmbH, DE
185.233.104.21|/GlobalToken:3.2.0/|80002|197540|185.233.104.0/22|DE|ripencc|2017-11-23|NETCUP-AS netcup GmbH, DE
185.233.105.49|/GlobalToken:3.2.0/|80002|197540|185.233.104.0/22|DE|ripencc|2017-11-23|NETCUP-AS netcup GmbH, DE
185.233.107.154|/GlobalToken:3.2.1/|80002|197540|185.233.104.0/22|DE|ripencc|2017-11-23|NETCUP-AS netcup GmbH, DE
185.243.8.155|/GlobalToken:3.2.0/|80002|197540|185.243.8.0/22|DE|ripencc|2018-01-24|NETCUP-AS netcup GmbH, DE
185.82.203.241|/GlobalToken:3.2.0/|80002|60117|185.82.203.0/24|AE|ripencc|2014-12-31|HS, AE
188.40.78.31|/GlobalToken:3.2.1/|80002|24940|188.40.0.0/16|DE|ripencc|2009-04-23|HETZNER-AS, DE
188.68.35.190|/GlobalToken:3.2.0/|80002|197540|188.68.32.0/20|DE|ripencc|2009-08-25|NETCUP-AS netcup GmbH, DE
188.68.39.152|/GlobalToken:3.2.0/|80002|197540|188.68.32.0/20|DE|ripencc|2009-08-25|NETCUP-AS netcup GmbH, DE
188.68.46.209|/GlobalToken:3.2.0/|80002|197540|188.68.32.0/20|DE|ripencc|2009-08-25|NETCUP-AS netcup GmbH, DE
188.68.58.198|/GlobalToken:3.2.0/|80002|197540|188.68.56.0/22|DE|ripencc|2009-08-25|NETCUP-AS netcup GmbH, DE
192.210.218.51|/GlobalToken:3.2.1/|80002|36352|192.210.216.0/22|US|arin|2012-12-11|AS-COLOCROSSING, US
193.37.212.66|???|0|44901|193.37.212.0/24|CY|ripencc|2018-10-22|BELCLOUD, BG
193.37.213.67|???|0|44901|193.37.213.0/24|CY|ripencc|2018-10-22|BELCLOUD, BG
194.37.1.96|/GlobalToken:3.2.1/|80002|39087|194.37.1.0/24|RU|ripencc|2019-11-21|PAKT-AS, RU
195.201.138.164|/GlobalToken:3.2.1/|80002|24940|195.201.0.0/16|DE|ripencc|1997-09-22|HETZNER-AS, DE
