# https://chainz.cryptoid.info/ and whois results
# Groestlcoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.236.14.225|/Groestlcoin:2.20.1/|70015|14061|104.236.0.0/18|US|arin|2014-10-28|DIGITALOCEAN-ASN, US
104.236.15.120|/Groestlcoin:2.20.1/|70015|14061|104.236.0.0/18|US|arin|2014-10-28|DIGITALOCEAN-ASN, US
104.244.76.13|???|0|53667|104.244.76.0/24|US|arin|2014-11-10|PONYNET, US
104.248.165.62|/Groestlcoin:2.17.2/|70015|14061|104.248.160.0/20|US|arin|2018-08-06|DIGITALOCEAN-ASN, US
108.61.190.34|/Groestlcoin:2.20.1/|70015|20473|108.61.190.0/24|US|arin|2010-12-08|AS-CHOOPA, US
110.10.124.38|/Groestlcoin:2.17.2/|70015|9318|110.10.0.0/16|KR|apnic|2009-02-18|SKB-AS SK Broadband Co Ltd, KR
127.0.0.1|/GroestlcoinJ:0.13.3/Cartographer:1.2(groestlcoin.org)/|70002|NA|NA||other||NA
128.199.186.111|/Groestlcoin:2.20.1/|70015|14061|128.199.128.0/18|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US
128.199.255.51|/Groestlcoin:2.20.1/|70015|14061|128.199.192.0/18|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US
136.144.215.219|/Groestlcoin:2.17.2/|70015|20857|136.144.192.0/18|NL|ripencc|1989-08-29|TRANSIP-AS Amsterdam, the Netherlands, NL
138.68.131.104|/Groestlcoin:2.20.1/|70015|14061|138.68.128.0/20|US|arin|2016-01-26|DIGITALOCEAN-ASN, US
139.59.16.104|/Groestlcoin:2.20.1/|70015|14061|139.59.16.0/20|SG|apnic|1990-06-27|DIGITALOCEAN-ASN, US
145.239.0.106|/Groestlcoin:2.20.1/|70015|16276|145.239.0.0/16|FR|ripencc|1993-08-03|OVH, FR
146.185.142.41|/Groestlcoin:2.20.1/|70015|14061|146.185.128.0/19|NL|ripencc|2011-07-13|DIGITALOCEAN-ASN, US
146.185.142.49|/Groestlcoin:2.20.1/|70015|14061|146.185.128.0/19|NL|ripencc|2011-07-13|DIGITALOCEAN-ASN, US
146.185.148.62|/Groestlcoin:2.13.3/|70015|14061|146.185.128.0/19|NL|ripencc|2011-07-13|DIGITALOCEAN-ASN, US
173.212.202.33|/Groestlcoin:2.19.1/|70015|51167|173.212.192.0/19|DE|ripencc|2009-10-26|CONTABO, DE
176.123.7.145|???|0|200019|176.123.0.0/21|MD|ripencc|2012-07-26|ALEXHOST, MD
178.175.142.195|/Groestlcoin:2.18.2/|70015|43289|178.175.128.0/19|MD|ripencc|2010-05-04|TRABIA, MD
178.175.148.224|???|0|43289|178.175.128.0/19|MD|ripencc|2010-05-04|TRABIA, MD
18.202.217.142|/Groestlcoin:2.20.1/|70015|16509|18.202.0.0/15|US|arin|2018-06-29|AMAZON-02, US
18.27.197.252|???|0|3|18.27.0.0/16|US|arin|1994-01-01|MIT-GATEWAYS, US
