# https://chainz.cryptoid.info/ and whois results
# HoboNickels
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
107.218.22.183|/HoboNickels:2.0.1/|70010|7018|107.208.0.0/12|US|arin|2012-04-25|ATT-INTERNET4, US
108.218.245.125|/HoboNickels:2.0.1/|70010|7018|108.192.0.0/10|US|arin|2011-01-12|ATT-INTERNET4, US
109.252.60.199|/HoboNickels:2.0.1/|70010|25513|109.252.0.0/16|RU|ripencc|2009-12-07|ASN-MGTS-USPD, RU
123.218.29.133|/HoboNickels:2.0.1/|70010|4713|123.216.0.0/13|JP|apnic|2007-02-12|OCN NTT Communications Corporation, JP
124.189.7.37|/HoboNickels:2.0.1/|70010|1221|124.176.0.0/12|AU|apnic|2006-06-20|ASN-TELSTRA Telstra Corporation Ltd, AU
136.26.81.78|/HoboNickels:2.0.1/|70010|19165|136.26.0.0/17|US|arin|2016-10-31|WEBPASS, US
141.98.254.131|/HoboNickels:2.0.0/|70010|39351|141.98.254.0/24|SE|ripencc|2019-01-16|ESAB-AS, SE
142.93.169.191|/HoboNickels:2.0.1/|70010|14061|142.93.160.0/20|US|arin|2018-07-12|DIGITALOCEAN-ASN, US
158.174.206.251|/HoboNickels:2.0.0/|70010|8473|158.174.0.0/16|GB|ripencc|1992-03-24|BAHNHOF http://www.bahnhof.net/, SE
172.3.174.162|/HoboNickels:2.0.1/|70010|7018|172.0.0.0/12|US|arin|2012-08-20|ATT-INTERNET4, US
172.4.177.229|/HoboNickels:2.0.1/|70010|7018|172.0.0.0/12|US|arin|2012-08-20|ATT-INTERNET4, US
173.68.194.18|/HoboNickels:2.0.0/|70010|701|173.68.0.0/16|US|arin|2008-08-11|UUNET, US
174.108.246.142|/HoboNickels:2.0.0/|70010|11426|174.108.0.0/14|US|arin|2009-02-26|TWC-11426-CAROLINAS, US
185.100.86.174|/HoboNickels:2.0.0/|70010|200651|185.100.86.0/24|RO|ripencc|2015-05-15|FLOKINET, SC
185.117.74.45|/HoboNickels:2.0.0/|70010|60117|185.117.74.0/24|NL|ripencc|2015-09-14|HS, AE
185.220.101.205|/HoboNickels:2.0.1/|70010|208294|185.220.101.0/24|DE|ripencc|2017-09-12|ASMK, NL
188.79.102.118|/HoboNickels:2.0.1/|70010|12479|188.79.100.0/22|ES|ripencc|2011-01-04|UNI2-AS, ES
188.98.250.30|/HoboNickels:2.0.1/|70010|3209|188.96.0.0/12|DE|ripencc|2009-01-20|VODANET International IP-Backbone of Vodafone, DE
201.229.35.40|/HoboNickels:2.0.1/|70010|11816|201.229.32.0/21|AW|lacnic|2005-06-20|SetarNet, AW
212.8.146.34|/HoboNickels:2.0.1/|70010|8422|212.8.144.0/21|DE|ripencc|2005-04-07|NETCOLOGNE, DE
213.174.0.219|/HoboNickels:2.0.1/|70010|56797|213.174.0.0/24|UA|ripencc|2010-04-28|ALBION, UA
213.230.81.116|/HoboNickels:2.0.1/|70010|8193|213.230.80.0/22|UZ|ripencc|2008-01-31|BRM-AS, UZ
216.108.209.135|/HoboNickels:2.0.1/|70010|30036|216.108.208.0/23|US|arin|2015-10-19|MEDIACOM-ENTERPRISE-BUSINESS, US
217.80.143.33|/HoboNickels:2.0.1/|70010|3320|217.80.0.0/12|DE|ripencc|2000-10-26|DTAG Internet service provider operations, DE
23.16.148.2|/HoboNickels:2.0.1/|70010|852|23.16.0.0/16|CA|arin|2011-09-29|ASN852, CA
23.233.55.92|/HoboNickelsdnp:2.0.1/|70010|5645|23.233.0.0/17|CA|arin|2013-09-24|TEKSAVVY, CA
46.101.235.143|/HoboNickels:2.0.1/|70010|14061|46.101.128.0/17|NL|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
5.189.152.114|/HoboNickels:2.0.1/|70010|51167|5.189.144.0/20|DE|ripencc|2012-08-09|CONTABO, DE
50.245.85.73|/HoboNickels:2.0.1/|70010|7922|50.128.0.0/9|US|arin|2010-10-21|COMCAST-7922, US
68.231.128.37|/HoboNickels:2.0.1/|70010|22773|68.231.128.0/18|US|arin|2003-03-19|ASN-CXA-ALL-CCI-22773-RDC, US
72.241.118.222|/HoboNickels:2.0.1/|70010|13490|72.241.118.0/24|US|arin|2005-04-21|BUCKEYECABLEVISION, US
73.254.118.233|/HoboNickels:2.0.1/|70010|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
73.35.205.20|/HoboNickels:2.0.1/|70010|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
76.102.238.139|/HoboNickels:2.0.1/|70010|7922|76.96.0.0/11|US|arin|2007-01-02|COMCAST-7922, US
78.85.49.232|/HoboNickels:2.0.1/|70010|12389|78.85.48.0/23|RU|ripencc|2007-04-19|ROSTELECOM-AS, RU
80.208.166.130|/HoboNickels:2.0.1/|70010|15600|80.208.128.0/18|CH|ripencc|2001-12-12|FINECOM Quickline AG, CH
82.217.127.4|/HoboNickels:2.0.1/|70010|33915|82.217.0.0/17|NL|ripencc|2003-10-27|TNF-AS, NL
85.19.25.38|/HoboNickels:2.0.1/|70010|3292|85.19.0.0/16|NO|ripencc|2005-03-16|TDC TDC A/S, DK
85.3.2.18|/HoboNickels:2.0.1/|70010|3303|85.2.0.0/15|CH|ripencc|2005-01-25|SWISSCOM Swisscom (Switzerland) Ltd, CH
86.172.140.53|/HoboNickels:2.0.1/|70010|2856|86.128.0.0/10|GB|ripencc|2005-02-07|BT-UK-AS BTnet UK Regional network, GB
88.110.38.105|/HoboNickels:2.0.1/|70010|9105|88.110.0.0/15|GB|ripencc|2005-08-05|TISCALI-UK TalkTalk Communications Limited, GB
91.202.133.75|/HoboNickels:2.0.1/|70010|44686|91.202.132.0/23|UA|ripencc|2008-02-19|SETI-KR-AS, UA
93.75.244.49|/HoboNickels:2.0.1/|70010|25229|93.75.224.0/19|UA|ripencc|2008-04-04|VOLIA-AS, UA
94.217.29.73|/HoboNickels:2.0.1/|70010|3209|94.216.0.0/13|DE|ripencc|2008-07-28|VODANET International IP-Backbone of Vodafone, DE
95.21.52.214|/HoboNickels:2.0.1/|70010|12479|95.21.0.0/16|ES|ripencc|2008-11-10|UNI2-AS, ES
95.217.78.170|/HoboNickels:2.0.1/|70010|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
96.19.56.94|/HoboNickels:2.0.0/|70010|11492|96.19.56.0/24|US|arin|2007-12-10|CABLEONE, US
