# https://chainz.cryptoid.info/ and whois results
# HTH
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
140.82.54.177|/HelpTheHomeless:0.14.0.8/|70216|20473|140.82.52.0/22|US|arin|2018-03-15|AS-CHOOPA, US
144.91.112.10|/HelpTheHomeless:0.14.0.8/|70216|51167|144.91.112.0/23|DE|ripencc|1990-11-20|CONTABO, DE
161.97.74.64|/HelpTheHomeless:0.14.0.8/|70216|51167|161.97.74.0/23|DE|ripencc|1992-06-23|CONTABO, DE
173.212.221.11|/HelpTheHomeless:0.14.0.8/|70216|51167|173.212.192.0/19|DE|ripencc|2009-10-26|CONTABO, DE
178.124.172.48|/HelpTheHomeless:0.14.0.8/|70216|6697|178.120.0.0/13|BY|ripencc|2009-12-10|BELPAK-AS BELPAK, BY
190.196.203.4|/HelpTheHomeless:0.14.0.8/|70216|27759|190.196.192.0/20|HT|lacnic|2010-08-24|ACCESS HAITI S.A., HT
192.227.136.155|/HelpTheHomeless:0.14.0.8/|70216|36352|192.227.136.0/22|US|arin|2013-01-29|AS-COLOCROSSING, US
207.180.216.178|/HelpTheHomeless:0.14.0.8/|70216|51167|207.180.216.0/23|DE|ripencc|1996-08-21|CONTABO, DE
207.180.224.30|/HelpTheHomeless:0.14.0.8/|70216|51167|207.180.224.0/23|DE|ripencc|1996-08-21|CONTABO, DE
213.136.83.223|/HelpTheHomeless:0.14.0.7/|70216|51167|213.136.82.0/23|DE|ripencc|2000-02-28|CONTABO, DE
217.227.142.88|/HelpTheHomeless:0.14.0.8/|70216|3320|217.224.0.0/11|DE|ripencc|2001-04-04|DTAG Internet service provider operations, DE
24.21.248.70|/HelpTheHomeless:0.14.0.7/|70216|7922|24.16.0.0/13|US|arin|2003-12-08|COMCAST-7922, US
37.187.152.220|/HelpTheHomeless:0.14.0.8/|70216|16276|37.187.0.0/16|FR|ripencc|2012-03-20|OVH, FR
37.26.136.250|/HelpTheHomeless:0.14.0.8/|70216|1547|37.26.128.0/20|MD|ripencc|2011-12-27|IDK-NETWORK, MD
41.177.149.35|/HelpTheHomeless:0.14.0.8/|70216|36874|41.177.128.0/17|ZA|afrinic|2007-09-20|Cybersmart, ZA
45.32.200.43|/HelpTheHomeless:0.14.0.8/|70216|20473|45.32.192.0/20|US|arin|2015-02-17|AS-CHOOPA, US
45.76.130.76|/HelpTheHomeless:0.14.0.8/|70216|20473|45.76.128.0/20|US|arin|2015-04-24|AS-CHOOPA, US
47.151.31.204|/HelpTheHomeless:0.14.0.8/|70216|5650|47.144.0.0/13|US|arin|2015-08-28|FRONTIER-FRTR, US
5.9.147.29|/HelpTheHomeless:0.14.0.7/|70216|24940|5.9.0.0/16|DE|ripencc|2012-04-25|HETZNER-AS, DE
62.171.165.160|/HelpTheHomeless:0.14.0.8/|70216|51167|62.171.164.0/23|DE|ripencc|2000-08-18|CONTABO, DE
62.195.22.83|/HelpTheHomeless:0.14.0.7/|70216|6830|62.195.0.0/16|NL|ripencc|2000-10-10|LIBERTYGLOBAL Liberty Global (formerly UPC Broadband Holding, aka AORTA), AT
67.166.253.246|/HelpTheHomeless:0.14.0.8/|70216|7922|67.160.0.0/11|US|arin|2002-12-16|COMCAST-7922, US
71.95.182.6|/HelpTheHomeless:0.14.0.8/|70216|20115|71.95.160.0/19|US|arin|2005-05-19|CHARTER-20115, US
