# https://chainz.cryptoid.info/ and whois results
# HTMLCOIN
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
103.121.72.227|/HTMLCOIN:2.5.1/|70017|134886|103.121.72.0/24|IN|apnic|2018-08-17|SUPERSON-AS Super Sonic Broadband Pvt Ltd, IN
103.121.73.174|/HTMLCOIN:2.5.1/|70017|134886|103.121.73.0/24|IN|apnic|2018-08-17|SUPERSON-AS Super Sonic Broadband Pvt Ltd, IN
103.121.73.226|/HTMLCOIN:2.5.1/|70017|134886|103.121.73.0/24|IN|apnic|2018-08-17|SUPERSON-AS Super Sonic Broadband Pvt Ltd, IN
103.121.75.122|/HTMLCOIN:2.5.1/|70017|134886|103.121.75.0/24|IN|apnic|2018-08-17|SUPERSON-AS Super Sonic Broadband Pvt Ltd, IN
103.18.108.105|/HTMLCOIN:2.5.0/|70017|132680|103.18.108.0/24|AU|apnic|2013-03-15|NET1-AS-AP Net Virtue Pty Ltd, AU
104.200.131.30|/HTMLCOIN:2.5.1/|70017|46562|104.200.131.0/24|US|arin|2014-09-16|PERFORMIVE, US
104.236.105.31|/HTMLCOIN:2.5.0(bitcore)/|70017|14061|104.236.64.0/18|US|arin|2014-10-28|DIGITALOCEAN-ASN, US
104.236.224.181|/HTMLCOIN:2.5.1/|70017|14061|104.236.192.0/18|US|arin|2014-10-28|DIGITALOCEAN-ASN, US
105.112.36.39|/HTMLCOIN:2.5.1/|70017|36873|105.112.36.0/24|NG|afrinic|2013-09-20|VNL1-AS, NG
106.246.54.75|/HTMLCOIN:2.5.1/|70017|3786|106.240.0.0/12|KR|apnic|2011-03-28|LGDACOM LG DACOM Corporation, KR
109.66.198.48|/HTMLCOIN:2.5.0/|70017|8551|109.66.198.0/24|IL|ripencc|2009-08-10|BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL
110.14.62.254|/HTMLCOIN:2.5.0/|70017|9318|110.14.0.0/16|KR|apnic|2009-02-18|SKB-AS SK Broadband Co Ltd, KR
111.239.190.200|/HTMLCOIN:2.5.1/|70017|2516|111.236.0.0/14|JP|apnic|2009-08-07|KDDI KDDI CORPORATION, JP
