# https://chainz.cryptoid.info/ and whois results
# InfiniteCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
106.54.169.204|/Satoshi:1.9.1.9/|69004|45090|106.54.128.0/18|CN|apnic|2011-04-06|CNNIC-TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
108.31.232.45|/Satoshi:1.8.8/|69003|701|108.31.0.0/16|US|arin|2009-06-05|UUNET, US
111.231.54.183|/Satoshi:1.8.8/|69003|45090|111.231.52.0/22|CN|apnic|2009-07-28|CNNIC-TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
113.116.106.197|/Satoshi:0.8.7.5/|70002|4134|113.112.0.0/13|CN|apnic|2008-11-03|CHINANET-BACKBONE No.31,Jin-rong Street, CN
118.24.129.200|/Satoshi:0.8.7.5/|70002|45090|118.24.128.0/23|CN|apnic|2007-08-03|CNNIC-TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
124.156.132.21|/Satoshi:1.9.8.1/|69005|132203|124.156.132.0/22|SG|apnic|2006-03-17|TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN
129.211.58.27|/Satoshi:0.8.7.5/|70002|45090|129.211.0.0/18|CN|apnic|1997-04-04|CNNIC-TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
144.2.116.175|/Satoshi:1.8.8/|69003|57370|144.2.112.0/20|CH|ripencc|1993-09-01|WINGO, CH
218.81.149.51|/Satoshi:0.8.7.5/|70002|4812|218.81.0.0/16|CN|apnic|2001-06-28|CHINANET-SH-AP China Telecom (Group), CN
220.179.77.92|/Satoshi:0.8.7.5/|70002|4134|220.178.0.0/15|CN|apnic|2002-10-30|CHINANET-BACKBONE No.31,Jin-rong Street, CN
47.252.81.22|/Satoshi:1.9.8.1/|69005|45102|47.252.64.0/18|US|arin|2016-04-15|CNNIC-ALIBABA-US-NET-AP Alibaba (US) Technology Co., Ltd., CN
49.233.131.153|/Satoshi:0.8.7.5/|70002|45090|49.233.128.0/20|CN|apnic|2010-11-26|CNNIC-TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
8.209.112.218|/Satoshi:0.8.7.5/|70002|45102|8.209.96.0/19|SG|apnic|1992-12-01|CNNIC-ALIBABA-US-NET-AP Alibaba (US) Technology Co., Ltd., CN
92.31.237.178|/Satoshi:0.8.7.5/|70002|13285|92.30.0.0/15|GB|ripencc|2007-06-28|OPALTELECOM-AS TalkTalk Communications Limited, GB
95.217.78.80|/Satoshi:1.9.1.9/|69004|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
