# https://chainz.cryptoid.info/ and whois results
# InflationCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.171.122.109|/InflationCoin:1.0.0/|60013|31863|104.171.112.0/20|US|arin|2014-09-10|DACEN-2, US
105.158.163.126|/InflationCoin:1.0.0/|60013|36903|105.158.160.0/21|MA|afrinic|2011-06-02|MT-MPLS, MA
110.144.71.253|/InflationCoin:1.0.0/|60013|1221|110.144.0.0/13|AU|apnic|2009-04-20|ASN-TELSTRA Telstra Corporation Ltd, AU
116.3.116.31|/InflationCoin:1.0.0/|60013|4837|116.2.0.0/15|CN|apnic|2007-03-05|CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
13.82.209.252|/InflationCoin:1.0.0/|60013|8075|13.64.0.0/11|US|arin|2015-03-26|MICROSOFT-CORP-MSN-AS-BLOCK, US
131.196.81.131|/InflationCoin:1.0.0/|60013|266806|131.196.81.0/24|AR|lacnic|2017-07-13|DIAZ MARCELA ALEJANDRA(PATAGONIA DIGITAL), AR
176.59.139.204|/InflationCoin:1.0.0/|60013|41330|176.59.128.0/19|RU|ripencc|2011-06-06|T2-NOVOSIBIRSK-AS Tele2 Russia Network, RU
176.63.30.121|/InflationCoin:1.0.0/|60013|6830|176.63.0.0/17|HU|ripencc|2011-06-08|LIBERTYGLOBAL Liberty Global (formerly UPC Broadband Holding, aka AORTA), AT
178.233.230.93|/InflationCoin:1.0.0/|60013|47524|178.233.224.0/20|TR|ripencc|2010-05-06|TURKSAT-AS, TR
179.234.253.240|/InflationCoin:1.0.0/|60013|28573|179.234.224.0/19|BR|lacnic|2012-11-14|CLARO S.A., BR
184.15.235.24|/InflationCoin:1.0.0/|60013|5650|184.8.0.0/13|US|arin|2009-10-01|FRONTIER-FRTR, US
184.166.191.62|/InflationCoin:1.0.0/|60013|33588|184.166.0.0/15|US|arin|2010-07-28|BRESNAN-33588, US
184.22.163.53|/InflationCoin:1.0.0/|60013|133481|184.22.160.0/22|TH|apnic|2001-11-01|AIS-FIBRE-AS-AP AIS Fibre, TH
185.18.4.55|/InflationCoin:1.0.0/|60013|61121|185.18.4.0/23|RU|ripencc|2013-02-04|ODINTSOVO-AS, RU
185.244.195.240|/InflationCoin:1.0.0/|60013|197540|185.244.192.0/22|DE|ripencc|2018-02-02|NETCUP-AS netcup GmbH, DE
188.232.3.154|/InflationCoin:1.0.0/|60013|50543|188.232.0.0/22|RU|ripencc|2011-01-26|SARATOV-AS, RU
188.32.136.195|/InflationCoin:1.0.0/|60013|42610|188.32.0.0/16|RU|ripencc|2011-09-30|NCNET-AS, RU
190.18.141.248|/InflationCoin:1.0.0/|60013|10318|190.18.128.0/19|AR|lacnic|2007-08-03|Telecom Argentina S.A., AR
190.80.50.15|/InflationCoin:1.0.0/|60013|19863|190.80.50.0/23|GY|lacnic|2006-07-28|Guyana Telephone & Telegraph Co., GY
212.3.142.69|/InflationCoin:1.0.0/|60013|12389|212.3.142.0/24|RU|ripencc|2005-06-07|ROSTELECOM-AS, RU
213.234.251.69|/InflationCoin:1.0.0/|60013|16345|213.234.251.0/24|RU|ripencc|2003-05-23|BEE-AS Russia, RU
24.50.234.56|/InflationCoin:1.0.0/|60013|14638|24.50.232.0/21|US|arin|2010-05-10|LCPRL, US
31.201.86.52|/InflationCoin:1.0.0/|60013|50266|31.201.0.0/16|NL|ripencc|2011-04-28|TMOBILE-THUIS, NL
41.143.230.102|/InflationCoin:1.0.0/|60013|36903|41.143.224.0/21|MA|afrinic|2009-01-06|MT-MPLS, MA
46.101.235.143|/InflationCoin:1.0.0/|60013|14061|46.101.128.0/17|NL|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
5.167.158.169|/InflationCoin:1.0.0/|60013|50543|5.167.156.0/22|RU|ripencc|2012-07-25|SARATOV-AS, RU
50.99.151.85|/InflationCoin:1.0.0/|60013|852|50.99.0.0/16|CA|arin|2011-03-31|ASN852, CA
70.20.61.63|/InflationCoin:1.0.0/|60013|13977|70.20.60.0/22|US|arin|2004-03-30|CTELCO, US
72.39.6.6|/InflationCoin:1.0.0/|60013|7992|72.38.0.0/15|CA|arin|2005-07-22|COGECOWAVE, CA
73.140.76.248|/InflationCoin:1.0.0/|60013|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
73.205.157.48|/InflationCoin:1.0.0/|60013|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
73.254.118.233|/InflationCoin:1.0.0/|60013|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
83.135.68.204|/InflationCoin:1.0.0/|60013|8881|83.135.64.0/20|DE|ripencc|2004-01-28|VERSATEL, DE
87.171.190.232|/InflationCoin:1.0.0/|60013|3320|87.128.0.0/10|DE|ripencc|2006-03-30|DTAG Internet service provider operations, DE
88.130.6.46|/InflationCoin:1.0.0/|60013|8881|88.130.0.0/20|DE|ripencc|2005-10-17|VERSATEL, DE
89.113.141.194|/InflationCoin:1.0.0/|60013|16345|89.113.136.0/21|RU|ripencc|2006-04-10|BEE-AS Russia, RU
92.185.58.159|/InflationCoin:1.0.0/|60013|12479|92.185.56.0/22|FR|ripencc|2007-07-12|UNI2-AS, ES
97.99.174.214|/InflationCoin:1.0.0/|60013|11427|97.98.0.0/15|US|arin|2007-04-09|TWC-11427-TEXAS, US
