# https://chainz.cryptoid.info/ and whois results
# ImageCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
185.162.248.212|/ImageCoin Core:0.13.1.2/|70222|197540|185.162.248.0/22|DE|ripencc|2016-08-11|NETCUP-AS netcup GmbH, DE
185.162.248.212|/ImageCoin Core:0.13.1.2/|70221|197540|185.162.248.0/22|DE|ripencc|2016-08-11|NETCUP-AS netcup GmbH, DE
222.186.48.63|/ImageCoin Core:0.13.1.2/|70222|23650|222.186.48.0/24|CN|apnic|2004-02-23|CHINANET-JIANGSU-PROVINCE-IDC AS Number for CHINANET jiangsu province backbone, CN
222.186.48.63|/ImageCoin Core:0.13.1.2/|70221|23650|222.186.48.0/24|CN|apnic|2004-02-23|CHINANET-JIANGSU-PROVINCE-IDC AS Number for CHINANET jiangsu province backbone, CN
37.187.127.238|/ImageCoin Core:0.13.1.2/|70222|16276|37.187.0.0/16|FR|ripencc|2012-03-20|OVH, FR
37.187.127.238|/ImageCoin Core:0.13.1.2/|70221|16276|37.187.0.0/16|FR|ripencc|2012-03-20|OVH, FR
47.92.43.57|/ImageCoin Core:0.13.1.2/|70222|37963|47.92.0.0/15|CN|apnic|1989-01-06|CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co.,Ltd., CN
47.92.43.57|/ImageCoin Core:0.13.1.2/|70221|37963|47.92.0.0/15|CN|apnic|1989-01-06|CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co.,Ltd., CN
81.169.173.16|/ImageCoin Core:0.13.1.2/|70222|6724|81.169.128.0/17|DE|ripencc|2003-04-17|STRATO STRATO AG, DE
81.169.173.16|/ImageCoin Core:0.13.1.2/|70221|6724|81.169.128.0/17|DE|ripencc|2003-04-17|STRATO STRATO AG, DE
85.214.107.105|/ImageCoin Core:0.13.1.2/|70222|6724|85.214.0.0/15|DE|ripencc|2005-02-24|STRATO STRATO AG, DE
85.214.107.105|/ImageCoin Core:0.13.1.2/|70221|6724|85.214.0.0/15|DE|ripencc|2005-02-24|STRATO STRATO AG, DE
85.214.198.43|/ImageCoin Core:0.13.1.2/|70222|6724|85.214.0.0/15|DE|ripencc|2005-02-24|STRATO STRATO AG, DE
85.214.198.43|/ImageCoin Core:0.13.1.2/|70221|6724|85.214.0.0/15|DE|ripencc|2005-02-24|STRATO STRATO AG, DE
90.187.250.25|/ImageCoin Core:0.13.1.2/|70222|3209|90.187.0.0/16|DE|ripencc|2006-11-09|VODANET International IP-Backbone of Vodafone, DE
90.187.250.25|/ImageCoin Core:0.13.1.2/|70221|3209|90.187.0.0/16|DE|ripencc|2006-11-09|VODANET International IP-Backbone of Vodafone, DE
