# https://chainz.cryptoid.info/ and whois results
# KnoxFS
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
1.20.194.14|/KFX Core:1.0.0/|70001|23969|1.20.194.0/24|TH|apnic|2011-04-04|TOT-NET TOT Public Company Limited, TH
109.252.60.177|/KFX Core:1.0.0/|70001|25513|109.252.0.0/16|RU|ripencc|2009-12-07|ASN-MGTS-USPD, RU
116.202.172.79|???|0|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
128.0.129.72|/KFX Core:1.0.0/|70001|25513|128.0.128.0/20|RU|ripencc|2012-09-14|ASN-MGTS-USPD, RU
135.181.165.109|/KFX Core:1.0.0/|70001|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE
144.91.89.174|/KFX Core:1.0.0/|70001|51167|144.91.88.0/23|DE|ripencc|1990-11-20|CONTABO, DE
161.97.112.31|/KFX Core:1.0.0/|70001|51167|161.97.112.0/23|DE|ripencc|1992-06-23|CONTABO, DE
162.157.175.186|/KFX Core:1.0.0/|70001|852|162.157.0.0/16|CA|arin|2013-03-07|ASN852, CA
167.86.86.111|/KFX Core:1.0.0/|70001|51167|167.86.86.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.89.204|/KFX Core:1.0.0/|70001|51167|167.86.88.0/23|DE|ripencc|1993-05-14|CONTABO, DE
178.170.68.92|/KFX Core:1.0.0/|70001|21409|178.170.0.0/17|FR|ripencc|2010-03-30|IKOULA, FR
185.147.75.100|/KFX Core:1.0.0/|70001|59701|185.147.72.0/22|DK|ripencc|2016-04-13|LYTZENIT, DK
185.147.75.101|/KFX Core:1.0.0/|70001|59701|185.147.72.0/22|DK|ripencc|2016-04-13|LYTZENIT, DK
185.147.75.102|/KFX Core:1.0.0/|70001|59701|185.147.72.0/22|DK|ripencc|2016-04-13|LYTZENIT, DK
185.147.75.103|/KFX Core:1.0.0/|70001|59701|185.147.72.0/22|DK|ripencc|2016-04-13|LYTZENIT, DK
185.147.75.104|/KFX Core:1.0.0/|70001|59701|185.147.72.0/22|DK|ripencc|2016-04-13|LYTZENIT, DK
185.147.75.105|/KFX Core:1.0.0/|70001|59701|185.147.72.0/22|DK|ripencc|2016-04-13|LYTZENIT, DK
185.147.75.106|/KFX Core:1.0.0/|70001|59701|185.147.72.0/22|DK|ripencc|2016-04-13|LYTZENIT, DK
185.147.75.107|/KFX Core:1.0.0/|70001|59701|185.147.72.0/22|DK|ripencc|2016-04-13|LYTZENIT, DK
185.147.75.108|/KFX Core:1.0.0/|70001|59701|185.147.72.0/22|DK|ripencc|2016-04-13|LYTZENIT, DK
185.147.75.109|/KFX Core:1.0.0/|70001|59701|185.147.72.0/22|DK|ripencc|2016-04-13|LYTZENIT, DK
190.199.86.127|/KFX Core:1.0.0/|70001|8048|190.199.64.0/19|VE|lacnic|2007-06-13|CANTV Servicios, Venezuela, VE
194.110.115.78|/KFX Core:1.0.0/|70001|9009|194.110.115.0/24|RO|ripencc|2018-05-24|M247, GB
31.40.218.121|/KFX Core:1.0.0/|70001|56630|31.40.216.0/22|LT|ripencc|2018-11-09|MELBICOM-EU-AS Melbikomas UAB, LT
37.120.171.201|/KFX Core:1.0.0/|70001|197540|37.120.160.0/19|DE|ripencc|2012-02-13|NETCUP-AS netcup GmbH, DE
45.222.25.118|/KFX Core:1.0.0/|70001|327849|45.222.24.0/21|ZA|afrinic|2016-07-01|ROCKETNET, ZA
45.222.27.206|/KFX Core:1.0.0/|70001|327849|45.222.24.0/21|ZA|afrinic|2016-07-01|ROCKETNET, ZA
45.32.237.192|/KFX Core:1.0.0/|70001|20473|45.32.232.0/21|US|arin|2015-02-17|AS-CHOOPA, US
5.189.141.146|/KFX Core:1.0.0/|70001|51167|5.189.128.0/20|DE|ripencc|2012-08-09|CONTABO, DE
51.91.74.223|/KFX Core:1.0.0/|70001|16276|51.91.0.0/16|FR|ripencc|1993-09-01|OVH, FR
79.171.145.4|/KFX Core:1.0.0/|70001|59701|79.171.144.0/21|DK|ripencc|2007-10-12|LYTZENIT, DK
82.16.253.58|/KFX Core:1.0.0/|70001|5089|82.16.0.0/14|GB|ripencc|2003-02-28|NTL, GB
84.86.56.171|/KFX Core:1.0.0/|70001|1136|84.80.0.0/13|NL|ripencc|2004-03-17|KPN KPN National, NL
87.160.28.57|/KFX Core:1.0.0/|70001|3320|87.128.0.0/10|DE|ripencc|2006-03-30|DTAG Internet service provider operations, DE
94.228.205.23|/KFX Core:1.0.0/|70001|48293|94.228.192.0/20|RU|ripencc|2008-11-05|UNIONTEL-RU-AS, RU
95.111.237.31|/KFX Core:1.0.0/|70001|51167|95.111.236.0/23|DE|ripencc|2008-12-30|CONTABO, DE
95.216.112.67|???|0|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.216.226.48|/KFX Core:1.0.0/|70001|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.216.32.169|/KFX Core:1.0.0/|70001|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
