# https://chainz.cryptoid.info/ and whois results
# Kalkulus
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.207.143.168|/Kalkulus Client:2.8.0/|80013|20473|104.207.136.0/21|US|arin|2014-10-01|AS-CHOOPA, US
107.174.229.126|/Kalkulus Client:2.8.0/|80013|36352|107.174.224.0/20|US|arin|2013-12-27|AS-COLOCROSSING, US
108.61.171.164|/Kalkulus Client:2.8.0/|80013|20473|108.61.170.0/23|US|arin|2010-12-08|AS-CHOOPA, US
116.203.95.225|/Kalkulus Client:2.8.0/|80013|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
137.74.94.192|/Kalkulus Client:2.8.0/|80013|16276|137.74.0.0/16|FR|ripencc|1988-11-23|OVH, FR
159.203.6.6|/Kalkulus Client:2.8.0/|80013|14061|159.203.0.0/20|US|arin|2015-08-10|DIGITALOCEAN-ASN, US
159.69.9.197|/Kalkulus Client:2.8.0/|80013|24940|159.69.0.0/16|DE|ripencc|1992-03-13|HETZNER-AS, DE
162.243.173.45|/Kalkulus Client:2.8.0/|80013|14061|162.243.160.0/20|US|arin|2013-09-06|DIGITALOCEAN-ASN, US
173.0.77.91|/Kalkulus Client:2.8.0/|80013|46562|173.0.77.0/24|US|arin|2010-06-22|PERFORMIVE, US
178.128.160.87|/Kalkulus Client:2.8.0/|80013|14061|178.128.160.0/20|NL|ripencc|2010-03-03|DIGITALOCEAN-ASN, US
188.166.84.194|/Kalkulus Client:2.8.0/|80013|14061|188.166.64.0/18|NL|ripencc|2009-06-05|DIGITALOCEAN-ASN, US
192.111.134.79|/Kalkulus Client:2.8.0/|80013|46562|192.111.134.0/24|US|arin|2013-03-06|PERFORMIVE, US
195.181.246.74|/Kalkulus Client:2.8.0/|80013|62282|195.181.240.0/21|LT|ripencc|1997-03-20|RACKRAY UAB Rakrejus, LT
195.201.137.57|/Kalkulus Client:2.8.0/|80013|24940|195.201.0.0/16|DE|ripencc|1997-09-22|HETZNER-AS, DE
199.247.20.201|/Kalkulus Client:2.8.0/|80013|20473|199.247.16.0/21|EU|ripencc|1996-04-09|AS-CHOOPA, US
202.32.14.177|/Kalkulus Client:2.8.0/|80013|2497|202.32.0.0/16|JP|apnic|1993-11-16|IIJ Internet Initiative Japan Inc., JP
45.76.233.105|/Kalkulus Client:2.8.0/|80013|20473|45.76.232.0/21|US|arin|2015-04-24|AS-CHOOPA, US
45.76.31.184|/Kalkulus Client:2.8.0/|80013|20473|45.76.16.0/20|US|arin|2015-04-24|AS-CHOOPA, US
45.76.57.201|/Kalkulus Client:2.8.0/|80013|20473|45.76.56.0/22|US|arin|2015-04-24|AS-CHOOPA, US
45.87.3.47|/Kalkulus Client:2.8.0/|80013|204601|45.87.0.0/22|NL|ripencc|2019-06-13|ON-LINE-DATA Server location - Netherlands, Dronten, NL
54.36.172.184|/Kalkulus Client:2.8.0/|80013|16276|54.36.0.0/16|FR|ripencc|1992-03-17|OVH, FR
62.99.205.199|/Kalkulus Client:2.8.0/|80013|6830|62.99.192.0/18|AT|ripencc|2001-07-30|LIBERTYGLOBAL Liberty Global (formerly UPC Broadband Holding, aka AORTA), AT
67.219.146.75|/Kalkulus Client:2.8.0/|80013|54455|67.219.146.0/23|US|arin|2014-06-09|MADEIT, US
67.219.146.77|/Kalkulus Client:2.8.0/|80013|54455|67.219.146.0/23|US|arin|2014-06-09|MADEIT, US
68.183.229.233|/Kalkulus Client:2.8.0/|80013|14061|68.183.224.0/20|US|arin|2018-09-18|DIGITALOCEAN-ASN, US
69.137.7.84|/Kalkulus Client:2.8.0/|80013|7922|69.136.0.0/13|US|arin|2003-04-24|COMCAST-7922, US
70.172.39.117|/Kalkulus Client:2.8.0/|80013|22773|70.172.0.0/17|US|arin|2004-07-21|ASN-CXA-ALL-CCI-22773-RDC, US
77.66.176.196|/Kalkulus Client:2.8.0/|80013|29497|77.66.176.0/21|RU|ripencc|2007-01-25|KUBANGSM, RU
80.211.143.48|/Kalkulus Client:2.8.0/|80013|31034|80.211.128.0/18|IT|ripencc|2001-12-12|ARUBA-ASN, IT
80.211.62.106|/Kalkulus Client:2.8.0/|80013|31034|80.211.0.0/17|IT|ripencc|2001-12-12|ARUBA-ASN, IT
80.211.71.144|/Kalkulus Client:2.8.0/|80013|31034|80.211.0.0/17|IT|ripencc|2001-12-12|ARUBA-ASN, IT
80.79.194.69|/Kalkulus Client:2.8.0/|80013|20953|80.79.192.0/20|NL|ripencc|2001-07-11|INFONL-AS info.nl/hf Amsterdam, The Netherlands, NL
85.127.44.145|/Kalkulus Client:2.8.0/|80013|6830|85.126.0.0/15|AT|ripencc|2005-02-23|LIBERTYGLOBAL Liberty Global (formerly UPC Broadband Holding, aka AORTA), AT
87.117.58.101|/Kalkulus Client:2.8.0/|80013|12389|87.117.56.0/22|RU|ripencc|2005-09-20|ROSTELECOM-AS, RU
87.244.181.24|/Kalkulus Client:2.8.0/|80013|21310|87.244.128.0/18|UA|ripencc|2009-03-09|ASN-SATELLITE ISP Satellite, UA
89.102.9.252|/Kalkulus Client:2.8.0/|80013|6830|89.102.0.0/16|CZ|ripencc|2006-02-24|LIBERTYGLOBAL Liberty Global (formerly UPC Broadband Holding, aka AORTA), AT
95.164.8.207|/Kalkulus Client:2.8.0/|80013|29632|95.164.0.0/16|GI|ripencc|2008-12-31|NASSIST-AS, GI
95.217.148.38|/Kalkulus Client:2.8.0/|80013|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
96.77.181.27|/Kalkulus Client:2.8.0/|80013|7922|96.64.0.0/11|US|arin|2008-02-21|COMCAST-7922, US
98.203.82.233|/Kalkulus Client:2.8.0/|80013|7922|98.192.0.0/10|US|arin|2007-04-20|COMCAST-7922, US
