# https://chainz.cryptoid.info/ and whois results
# Litecoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
102.141.67.182|/LitecoinCore:0.17.1/|70015|328638|102.141.64.0/19|ZA|afrinic|2018-05-18|LETABANETWORKS, ZA
107.191.119.170|/DefcoinCore:1.0.0/|70015|3842|107.191.116.0/22|US|arin|2014-05-08|RAMNODE, US
108.168.116.141|/bitcore:1.1.0-exodus2/|70003|40788|108.168.0.0/17|CA|arin|2011-12-29|START-, CA
114.44.50.47|/LitecoinCore:0.17.1/|70015|3462|114.44.0.0/16|TW|apnic|2008-04-18|HINET Data Communication Business Group, TW
115.73.214.113|/LitecoinCore:0.17.1/|70015|7552|115.73.208.0/21|VN|apnic|2008-07-17|VIETEL-AS-AP Viettel Group, VN
116.202.84.176|/EasticoinCore:0.14.2/|70015|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.203.31.45|/litecoinj:0.15.2-SNAPSHOT/|70002|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
118.163.120.175|/btcwire:0.5.0/bitmarkd-payment-lightclient:0.1.0/|70013|3462|118.163.0.0/16|TW|apnic|2007-10-04|HINET Data Communication Business Group, TW
118.163.120.179|/btcwire:0.5.0/bitmarkd-payment-lightclient:0.1.0/|70013|3462|118.163.0.0/16|TW|apnic|2007-10-04|HINET Data Communication Business Group, TW
120.77.249.96|/LitecoinCore:0.17.1/|70015|37963|120.77.128.0/17|CN|apnic|2008-03-27|CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co.,Ltd., CN
128.199.120.176|/btcwire:0.5.0/bitmarkd-payment-lightclient:0.1.0/|70013|14061|128.199.64.0/18|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US
128.199.91.96|/btcwire:0.5.0/bitmarkd-payment-lightclient:0.1.0/|70013|14061|128.199.64.0/18|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US
128.73.23.183|/bitcore:1.1.0-exodus2/|70003|8402|128.73.23.0/24|RU|ripencc|2011-11-22|CORBINA-AS OJSC _Vimpelcom_, RU
135.0.76.131|/LitecoinCore:0.17.1/|70015|54614|135.0.76.0/24|CA|arin|2012-03-19|CIKTELECOM-CABLE, CA
139.59.111.217|/btcwire:0.5.0/bitmarkd-payment-lightclient:0.1.0/|70013|14061|139.59.96.0/20|SG|apnic|1990-06-27|DIGITALOCEAN-ASN, US
139.59.111.218|/btcwire:0.5.0/bitmarkd-payment-lightclient:0.1.0/|70013|14061|139.59.96.0/20|SG|apnic|1990-06-27|DIGITALOCEAN-ASN, US
142.93.229.149|/litetroll.net:1.0/|70015|14061|142.93.224.0/20|US|arin|2018-07-12|DIGITALOCEAN-ASN, US
