# https://chainz.cryptoid.info/ and whois results
# LeadERTVCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
109.201.38.18|/LeadERTVCoin Core:1.0.0/|70916|21299|109.201.38.0/24|KZ|ripencc|2010-02-11|KAR-TEL-AS Almaty, Republic of Kazakhstan, KZ
109.226.101.113|/LeadERTVCoin Core:1.0.0/|70916|8439|109.226.64.0/18|RU|ripencc|2010-01-26|AIST Togliatti, Russia, RU
109.226.83.248|/LeadERTVCoin Core:1.0.0/|70916|8439|109.226.64.0/18|RU|ripencc|2010-01-26|AIST Togliatti, Russia, RU
109.254.192.130|/LeadERTVCoin Core:1.0.0/|70916|20590|109.254.192.0/19|UA|ripencc|2009-12-10|DEC-AS, UA
109.40.240.210|/LeadERTVCoin Core:1.0.0/|70916|3209|109.40.0.0/13|DE|ripencc|2009-11-04|VODANET International IP-Backbone of Vodafone, DE
113.221.46.220|/LeadERTVCoin Core:1.0.0/|70916|4134|113.220.0.0/14|CN|apnic|2008-12-16|CHINANET-BACKBONE No.31,Jin-rong Street, CN
113.221.47.25|/LeadERTVCoin Core:1.0.0/|70916|4134|113.220.0.0/14|CN|apnic|2008-12-16|CHINANET-BACKBONE No.31,Jin-rong Street, CN
114.113.226.88|/LeadERTVCoin Core:1.0.0/|70916|4808|114.113.224.0/20|CN|apnic|2008-05-20|CHINA169-BJ China Unicom Beijing Province Network, CN
114.96.166.136|/LeadERTVCoin Core:1.0.0/|70916|4134|114.96.0.0/13|CN|apnic|2008-05-16|CHINANET-BACKBONE No.31,Jin-rong Street, CN
114.96.166.153|/LeadERTVCoin Core:1.0.0/|70916|4134|114.96.0.0/13|CN|apnic|2008-05-16|CHINANET-BACKBONE No.31,Jin-rong Street, CN
114.96.166.46|/LeadERTVCoin Core:1.0.0/|70916|4134|114.96.0.0/13|CN|apnic|2008-05-16|CHINANET-BACKBONE No.31,Jin-rong Street, CN
114.96.166.55|/LeadERTVCoin Core:1.0.0/|70916|4134|114.96.0.0/13|CN|apnic|2008-05-16|CHINANET-BACKBONE No.31,Jin-rong Street, CN
114.96.166.69|/LeadERTVCoin Core:1.0.0/|70916|4134|114.96.0.0/13|CN|apnic|2008-05-16|CHINANET-BACKBONE No.31,Jin-rong Street, CN
114.96.166.90|/LeadERTVCoin Core:1.0.0/|70916|4134|114.96.0.0/13|CN|apnic|2008-05-16|CHINANET-BACKBONE No.31,Jin-rong Street, CN
114.96.167.14|/LeadERTVCoin Core:1.0.0/|70916|4134|114.96.0.0/13|CN|apnic|2008-05-16|CHINANET-BACKBONE No.31,Jin-rong Street, CN
114.96.167.179|/LeadERTVCoin Core:1.0.0/|70916|4134|114.96.0.0/13|CN|apnic|2008-05-16|CHINANET-BACKBONE No.31,Jin-rong Street, CN
114.96.167.22|/LeadERTVCoin Core:1.0.0/|70916|4134|114.96.0.0/13|CN|apnic|2008-05-16|CHINANET-BACKBONE No.31,Jin-rong Street, CN
114.96.167.229|/LeadERTVCoin Core:1.0.0/|70916|4134|114.96.0.0/13|CN|apnic|2008-05-16|CHINANET-BACKBONE No.31,Jin-rong Street, CN
114.96.167.34|/LeadERTVCoin Core:1.0.0/|70916|4134|114.96.0.0/13|CN|apnic|2008-05-16|CHINANET-BACKBONE No.31,Jin-rong Street, CN
114.96.167.66|/LeadERTVCoin Core:1.0.0/|70916|4134|114.96.0.0/13|CN|apnic|2008-05-16|CHINANET-BACKBONE No.31,Jin-rong Street, CN
114.96.167.74|/LeadERTVCoin Core:1.0.0/|70916|4134|114.96.0.0/13|CN|apnic|2008-05-16|CHINANET-BACKBONE No.31,Jin-rong Street, CN
114.96.167.76|/LeadERTVCoin Core:1.0.0/|70916|4134|114.96.0.0/13|CN|apnic|2008-05-16|CHINANET-BACKBONE No.31,Jin-rong Street, CN
117.57.90.136|/LeadERTVCoin Core:1.0.0/|70916|4134|117.57.0.0/16|CN|apnic|2007-07-03|CHINANET-BACKBONE No.31,Jin-rong Street, CN
117.57.90.165|/LeadERTVCoin Core:1.0.0/|70916|4134|117.57.0.0/16|CN|apnic|2007-07-03|CHINANET-BACKBONE No.31,Jin-rong Street, CN
117.57.90.168|/LeadERTVCoin Core:1.0.0/|70916|4134|117.57.0.0/16|CN|apnic|2007-07-03|CHINANET-BACKBONE No.31,Jin-rong Street, CN
117.57.90.24|/LeadERTVCoin Core:1.0.0/|70916|4134|117.57.0.0/16|CN|apnic|2007-07-03|CHINANET-BACKBONE No.31,Jin-rong Street, CN
