# https://chainz.cryptoid.info/ and whois results
# Scrypta
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.248.93.57|/Scrypta Core:1.1.0/|70920|14061|104.248.80.0/20|US|arin|2018-08-06|DIGITALOCEAN-ASN, US
128.199.148.159|/Scrypta Core:1.0.0/|70920|14061|128.199.128.0/18|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US
128.199.164.43|/Scrypta Core:1.0.0/|70920|14061|128.199.128.0/18|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US
128.199.187.76|/Scrypta Core:1.0.0/|70920|14061|128.199.128.0/18|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US
128.199.212.93|/Scrypta Core:1.0.0/|70920|14061|128.199.192.0/18|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US
128.199.70.173|/Scrypta Core:1.0.0/|70920|14061|128.199.64.0/18|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US
128.199.79.98|/Scrypta Core:1.0.0/|70920|14061|128.199.64.0/18|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US
134.209.99.213|/Scrypta Core:1.0.0/|70920|14061|134.209.96.0/20|US|arin|2018-10-18|DIGITALOCEAN-ASN, US
142.93.227.61|/Scrypta Core:1.0.0/|70920|14061|142.93.224.0/20|US|arin|2018-07-12|DIGITALOCEAN-ASN, US
142.93.77.17|/Scrypta Core:1.0.0/|70920|14061|142.93.64.0/20|US|arin|2018-07-12|DIGITALOCEAN-ASN, US
151.22.68.196|/Scrypta Core:1.1.0/|70920|1267|151.22.0.0/16|IT|ripencc|1991-05-13|ASN-WINDTRE IUNET, EU
151.36.171.243|/Scrypta Core:1.1.0/|70920|1267|151.36.0.0/16|IT|ripencc|1991-05-13|ASN-WINDTRE IUNET, EU
151.36.177.150|/Scrypta Core:1.1.0/|70920|1267|151.36.0.0/16|IT|ripencc|1991-05-13|ASN-WINDTRE IUNET, EU
151.46.23.215|/Scrypta Core:1.1.0/|70920|1267|151.46.0.0/16|IT|ripencc|1991-05-13|ASN-WINDTRE IUNET, EU
151.49.52.107|/Scrypta Core:1.1.0/|70920|1267|151.49.0.0/16|IT|ripencc|1991-05-13|ASN-WINDTRE IUNET, EU
155.138.211.115|/Scrypta Core:1.0.0/|70920|20473|155.138.192.0/19|US|arin|2018-12-05|AS-CHOOPA, US
157.245.157.22|/Scrypta Core:1.0.0/|70920|14061|157.245.144.0/20|US|arin|2019-05-09|DIGITALOCEAN-ASN, US
165.22.55.238|/Scrypta Core:1.0.0/|70920|14061|165.22.48.0/20|US|arin|2018-10-16|DIGITALOCEAN-ASN, US
167.179.88.172|/Scrypta Core:1.0.0/|70920|20473|167.179.64.0/18|US|apnic|1993-09-08|AS-CHOOPA, US
167.86.69.54|/Scrypta Core:1.1.0/|70920|51167|167.86.68.0/23|DE|ripencc|1993-05-14|CONTABO, DE
173.212.214.223|/Scrypta Core:1.1.0/|70920|51167|173.212.192.0/19|DE|ripencc|2009-10-26|CONTABO, DE
173.212.246.201|/Scrypta Core:1.1.0/|70920|51167|173.212.240.0/21|DE|ripencc|2009-10-26|CONTABO, DE
178.128.125.122|/Scrypta Core:1.0.0/|70920|14061|178.128.112.0/20|NL|ripencc|2010-03-03|DIGITALOCEAN-ASN, US
206.189.36.105|/Scrypta Core:1.0.0/|70920|14061|206.189.32.0/20|US|arin|1995-11-15|DIGITALOCEAN-ASN, US
209.97.165.116|/Scrypta Core:1.0.0/|70920|14061|209.97.160.0/20|US|arin|1997-07-03|DIGITALOCEAN-ASN, US
217.163.23.198|/Scrypta Core:1.1.0/|70920|20473|217.163.23.0/24|GB|ripencc|2001-04-04|AS-CHOOPA, US
37.119.59.234|/Scrypta Core:1.1.0/|70920|30722|37.119.0.0/17|IT|ripencc|2012-02-10|VODAFONE-IT-ASN, IT
40.71.173.186|/Scrypta Core:1.1.0/|70920|8075|40.68.0.0/14|US|arin|2015-02-23|MICROSOFT-CORP-MSN-AS-BLOCK, US
40.87.96.143|/Scrypta Core:1.1.0/|70920|8075|40.80.0.0/12|US|arin|2015-02-23|MICROSOFT-CORP-MSN-AS-BLOCK, US
45.32.238.171|/Scrypta Core:1.0.0/|70920|20473|45.32.232.0/21|US|arin|2015-02-17|AS-CHOOPA, US
52.183.98.22|/Scrypta Core:1.1.0/|70920|8075|52.160.0.0/11|US|arin|2015-11-24|MICROSOFT-CORP-MSN-AS-BLOCK, US
64.227.122.216|/Scrypta Core:1.0.0/|70920|14061|64.227.112.0/20|US|arin|2019-08-14|DIGITALOCEAN-ASN, US
68.183.205.50|/Scrypta Core:1.0.0/|70920|14061|68.183.192.0/20|US|arin|2018-09-18|DIGITALOCEAN-ASN, US
69.137.7.84|/Scrypta Core:1.1.0/|70920|7922|69.136.0.0/13|US|arin|2003-04-24|COMCAST-7922, US
80.240.28.40|/Scrypta Core:1.1.0/|70920|20473|80.240.16.0/20|DE|ripencc|2005-08-12|AS-CHOOPA, US
82.186.111.146|/Scrypta Core:1.1.0/|70920|3269|82.186.0.0/16|IT|ripencc|2003-09-16|ASN-IBSNAZ, IT
82.84.95.220|/Scrypta Core:1.1.0/|70920|8612|82.84.0.0/15|IT|ripencc|2003-05-22|TISCALI-, IT
93.34.139.1|/Scrypta Core:1.1.0/|70920|12874|93.34.0.0/15|IT|ripencc|2008-02-25|FASTWEB, IT
95.179.248.67|/Scrypta Core:1.1.0/|70920|20473|95.179.240.0/20|NL|ripencc|2009-01-22|AS-CHOOPA, US
95.216.228.253|/Scrypta Core:1.1.0/|70920|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.216.250.92|/Scrypta Core:1.1.0/|70920|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
