# https://chainz.cryptoid.info/ and whois results
# Bitmark
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
119.33.235.156|/Pfennig:0.9.7.2/|70003|17622|119.33.224.0/19|CN|apnic|2007-12-19|CNCGROUP-GZ China Unicom Guangzhou network, CN
157.161.128.56|/Pfennig:0.9.7.2/|70003|6772|157.161.0.0/16|CH|ripencc|2004-04-07|IMPNET-AS, CH
173.255.252.140|/Pfennig:0.9.7.2/|70003|63949|173.255.252.0/24|US|arin|2010-08-27|LINODE-AP Linode, LLC, US
178.238.224.213|/Pfennig:0.9.7.3/|70003|51167|178.238.224.0/23|DE|ripencc|2010-07-28|CONTABO, DE
185.97.36.7|/Pfennig:0.9.7.2/|70003|205346|185.97.36.0/24|EE|ripencc|2015-04-21|EANS, EE
188.165.205.90|/Pfennig:0.9.7.2/|70003|16276|188.165.0.0/16|FR|ripencc|2009-06-05|OVH, FR
195.201.10.19|/Pfennig:0.9.5/|70002|24940|195.201.0.0/16|DE|ripencc|1997-09-22|HETZNER-AS, DE
206.72.198.107|/Pfennig:0.9.7.2/|70003|19318|206.72.192.0/20|US|arin|2011-10-03|IS-AS-1, US
207.246.100.84|/Pfennig:0.9.7.3/|70003|20473|207.246.96.0/20|US|arin|2017-10-13|AS-CHOOPA, US
31.25.241.224|/Pfennig:0.9.7.2/|70003|39741|31.25.241.0/24|RU|ripencc|2011-03-10|DCE-AS, RU
35.188.181.221|/Pfennig:0.9.7/|70002|15169|35.188.160.0/19|US|arin|2016-10-11|GOOGLE, US
35.226.25.112|/Pfennig:0.9.7/|70002|15169|35.224.0.0/14|US|arin|2017-09-29|GOOGLE, US
45.33.65.161|/Pfennig:0.9.7.2/|70003|63949|45.33.64.0/19|US|arin|2015-03-20|LINODE-AP Linode, LLC, US
5.188.104.245|/Pfennig:0.9.7.2/|70003|199860|5.188.104.0/23|RU|ripencc|2012-08-09|SDN-AS, RU
62.210.142.196|/Pfennig:0.9.7.2/|70003|12876|62.210.0.0/16|FR|ripencc|2000-10-26|Online SAS, FR
66.151.242.154|/Pfennig:0.9.7.2/|70003|63018|66.151.242.0/24|US|arin|2001-07-13|DEDICATED, US
67.43.1.184|/Pfennig:0.9.7.2/|70003|32244|67.43.0.0/20|US|arin|2004-03-08|LIQUIDWEB, US
79.135.88.7|/Pfennig:0.9.7.2/|70003|5563|79.135.88.0/21|RU|ripencc|2007-10-30|URAL Ural Regional Net, RU
83.221.211.116|/Pfennig:0.9.7.2/|70003|21479|83.221.192.0/19|RU|ripencc|2004-04-15|ROSTOV-TELEGRAF-AS, RU
84.50.207.66|/Pfennig:0.9.7.2/|70003|3249|84.50.0.0/16|EE|ripencc|2004-10-06|ESTPAK, EE
85.15.179.171|/Pfennig:0.9.7.3/|70003|12389|85.15.128.0/18|RU|ripencc|2005-04-26|ROSTELECOM-AS, RU
85.25.197.148|/Pfennig:0.9.5/|70002|8972|85.25.192.0/20|DE|ripencc|2005-12-05|GD-EMEA-DC-SXB1, DE
89.106.109.96|/Pfennig:0.9.7.2/|70003|13306|89.106.108.0/23|BG|ripencc|2006-03-23|UNICS-AS, BG
91.113.3.16|/Pfennig:0.9.7.2/|70003|8447|91.112.0.0/14|AT|ripencc|2006-09-04|TELEKOM-AT A1 Telekom Austria AG, AT
93.82.72.19|/Pfennig:0.9.7.2/|70003|8447|93.82.0.0/15|AT|ripencc|2008-02-08|TELEKOM-AT A1 Telekom Austria AG, AT
95.78.252.52|/Pfennig:0.9.7.2/|70003|42683|95.78.224.0/19|RU|ripencc|2008-12-10|ERTH-OREN-AS, RU
