# https://chainz.cryptoid.info/ and whois results
# Mincoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
124.148.21.35|/Mincoin:0.14.3/|70015|4739|124.148.20.0/22|AU|apnic|2006-03-02|INTERNODE-AS Internode Pty Ltd, AU
13.235.237.104|/Mincoin:0.14.3/|70015|16509|13.232.0.0/14|US|arin|2019-10-01|AMAZON-02, US
13.54.223.33|/Mincoin:0.14.3/|70015|16509|13.54.0.0/15|US|arin|2020-08-05|AMAZON-02, US
136.24.44.100|/Mincoin:0.14.3/|70015|19165|136.24.0.0/16|US|arin|2016-10-31|WEBPASS, US
144.91.77.184|/Mincoin:0.14.3/|70015|51167|144.91.76.0/23|DE|ripencc|1990-11-20|CONTABO, DE
174.89.73.213|/Mincoin:0.14.3/|70015|577|174.89.0.0/16|CA|arin|2009-02-27|BACOM, CA
18.139.152.165|/Mincoin:0.14.3/|70015|16509|18.138.0.0/15|US|arin|2019-10-07|AMAZON-02, US
192.164.121.197|/Mincoin:0.14.3/|70015|8447|192.164.96.0/19|AT|ripencc|1993-09-01|A1TELEKOM-AT A1 Telekom Austria AG, AT
192.222.229.98|/Mincoin:0.14.3/|70015|1403|192.222.224.0/19|CA|arin|2012-12-20|EBOX, CA
208.103.163.7|/Mincoin:0.14.3/|70015|396231|208.103.163.0/24|US|arin|2017-05-09|ABILITY-BUSINESS, US
213.32.6.132|/Mincoin:0.14.3/|70015|16276|213.32.0.0/17|FR|ripencc|1999-06-28|OVH, FR
3.123.145.169|/Mincoin:0.14.3/|70015|16509|3.120.0.0/14|US|arin|2017-12-20|AMAZON-02, US
45.51.8.176|/Mincoin:0.14.3/|70015|20001|45.48.0.0/14|US|arin|2015-01-06|TWC-20001-PACWEST, US
46.101.235.143|/MincoinCore:0.13.0/|70014|14061|46.101.128.0/17|US|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
46.23.35.70|/Mincoin:0.14.3/|70015|24651|46.23.32.0/20|LV|ripencc|2010-12-02|LVBALTICOM-AS, LV
52.89.18.33|/Mincoin:0.14.3/|70015|16509|52.88.0.0/15|US|arin|1991-12-19|AMAZON-02, US
63.143.92.20|/Mincoin:0.14.3/|70015|33576|63.143.88.0/21|JM|arin|2011-01-20|DIG001, JM
66.244.240.237|/Mincoin:0.14.3/|70015|6327|66.244.240.0/21|CA|arin|2002-03-14|SHAW, CA
71.199.104.9|/Mincoin:0.14.3/|70015|7922|71.192.0.0/12|US|arin|2005-07-27|COMCAST-7922, US
71.200.211.114|/Mincoin:0.14.3/|70015|7922|71.192.0.0/12|US|arin|2005-07-27|COMCAST-7922, US
77.219.1.223|???|0|1257|77.216.0.0/14|SE|ripencc|2007-02-09|TELE2, EU
77.219.1.50|???|0|1257|77.216.0.0/14|SE|ripencc|2007-02-09|TELE2, EU
77.219.10.80|???|0|1257|77.216.0.0/14|SE|ripencc|2007-02-09|TELE2, EU
82.9.50.49|/Mincoin:0.14.3/|70015|5089|82.8.0.0/14|GB|ripencc|2003-02-28|NTL, GB
91.214.81.122|/Mincoin:0.14.3/|70015|39529|91.214.81.0/24|RU|ripencc|2009-05-27|MTRX-ALCHEVSK-AS, RU
