# https://chainz.cryptoid.info/ and whois results
# Mooncoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
103.127.247.156|/MooncoinCore:0.17.1/|70017|138525|103.127.247.0/24|AU|apnic|2018-12-27|MINIPORTPTYLTD-AS-AP Miniport Pty Ltd, AU
104.173.77.5|/Mooncoin:0.10.5/|70002|20001|104.172.0.0/14|US|arin|2014-08-13|TWC-20001-PACWEST, US
104.206.12.199|/MooncoinCore:0.17.1/|70017|62904|104.206.12.0/24|US|arin|2014-10-02|EONIX-COMMUNICATIONS-ASBLOCK-62904, US
106.38.92.46|/Mooncoin:0.13.9/|70016|4847|106.38.0.0/16|CN|apnic|2011-03-18|CNIX-AP China Networks Inter-Exchange, CN
107.185.225.187|/MooncoinCore:0.17.1/|70017|20001|107.184.0.0/15|US|arin|2014-02-12|TWC-20001-PACWEST, US
108.61.151.68|/MooncoinCore:0.17.1/|70017|20473|108.61.128.0/19|US|arin|2010-12-08|AS-CHOOPA, US
108.94.3.24|/MooncoinCore:0.17.1/|70017|7018|108.64.0.0/11|US|arin|2009-10-29|ATT-INTERNET4, US
111.239.163.19|/MooncoinCore:0.17.1/|70017|2516|111.236.0.0/14|JP|apnic|2009-08-07|KDDI KDDI CORPORATION, JP
114.253.225.195|/MooncoinCore:0.17.1/|70017|4808|114.253.192.0/18|CN|apnic|2008-06-24|CHINA169-BJ China Unicom Beijing Province Network, CN
118.189.176.229|/Mooncoin:0.13.9/|70016|4773|118.189.176.0/22|SG|apnic|2007-10-19|MOBILEONELTD-AS-AP MobileOne Ltd. Mobile/Internet Service Provider Singapore, SG
122.57.163.133|/MooncoinCore:0.17.1/|70017|4771|122.57.160.0/21|NZ|apnic|2006-11-01|SPARKNZ Spark New Zealand Trading Ltd., NZ
122.59.15.39|/MooncoinCore:0.17.1/|70017|4771|122.59.8.0/21|NZ|apnic|2008-09-16|SPARKNZ Spark New Zealand Trading Ltd., NZ
124.168.55.69|/MooncoinCore:0.17.1/|70017|7545|124.168.32.0/19|AU|apnic|2006-03-20|TPG-INTERNET-AP TPG Telecom Limited, AU
125.168.102.65|/Mooncoin:0.13.9/|70016|9443|125.168.0.0/16|AU|apnic|2005-09-08|VOCUS-RETAIL-AU Vocus Retail, AU
135.181.165.231|/MooncoinCore:0.17.1/|70017|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE
135.181.90.72|/MooncoinCore:0.17.1/|70017|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE
135.23.228.90|/MooncoinCore:0.17.1/|70017|5645|135.23.0.0/16|CA|arin|2013-05-09|TEKSAVVY, CA
136.24.44.100|/MooncoinCore:0.17.1/|70017|19165|136.24.0.0/16|US|arin|2016-10-31|WEBPASS, US
138.75.230.213|/Mooncoin:0.13.9/|70016|4773|138.75.192.0/18|SG|apnic|1990-03-02|MOBILEONELTD-AS-AP MobileOne Ltd. Mobile/Internet Service Provider Singapore, SG
14.3.112.74|/Mooncoin:0.13.9/|70016|4685|14.3.0.0/16|JP|apnic|2011-01-19|ASAHI-NET Asahi Net, JP
140.82.44.141|/MooncoinCore:0.17.1/|70017|20473|140.82.44.0/22|US|arin|2018-03-15|AS-CHOOPA, US
142.44.212.178|/MooncoinCore:0.17.1/|70017|16276|142.44.128.0/17|CA|arin|2017-06-21|OVH, FR
149.248.55.181|/MooncoinCore:0.17.1/|70017|20473|149.248.48.0/20|US|arin|2018-07-03|AS-CHOOPA, US
149.56.155.28|/Mooncoin:0.13.9/|70016|16276|149.56.0.0/16|CA|arin|2016-02-09|OVH, FR
162.253.71.243|/MooncoinCore:0.17.1/|70017|46562|162.253.71.0/24|US|arin|2014-02-12|PERFORMIVE, US
166.177.185.53|/MooncoinCore:0.17.1/|70017|20057|166.177.184.0/22|US|arin|1993-07-09|ATT-MOBILITY-LLC-AS20057, US
167.86.85.58|/Mooncoin:0.13.9/|70016|51167|167.86.84.0/23|DE|ripencc|1993-05-14|CONTABO, DE
174.4.112.81|/MooncoinCore:0.17.1/|70017|6327|174.4.112.0/22|CA|arin|2008-11-19|SHAW, CA
174.86.164.139|/MooncoinCore:0.17.1/|70017|20115|174.86.0.0/16|US|arin|2009-02-23|CHARTER-20115, US
177.50.205.68|/MooncoinCore:0.17.1/|70017|26615|177.50.192.0/19|BR|lacnic|2011-04-05|TIM S/A, BR
180.227.219.89|/MooncoinCore:0.17.1/|70017|17858|180.224.0.0/14|KR|apnic|2009-10-09|POWERVIS-AS-KR LG POWERCOMM, KR
184.99.163.247|/MooncoinCore:0.17.1/|70017|209|184.96.0.0/13|US|arin|2010-04-06|CENTURYLINK-US-LEGACY-QWEST, US
185.68.165.21|/MooncoinCore:0.17.1/|70017|201625|185.68.164.0/22|CZ|ripencc|2014-08-28|AITEX, CZ
190.167.245.211|/Mooncoin:0.13.9/|70016|6400|190.167.0.0/16|DO|lacnic|2008-12-04|Compania Dominicana de Telefonos S. A., DO
192.222.229.98|/MooncoinCore:0.17.1/|70017|1403|192.222.224.0/19|CA|arin|2012-12-20|EBOX, CA
203.140.250.8|/Mooncoin:0.13.9/|70016|9622|203.140.240.0/20|JP|apnic|1996-05-21|KCT Kurashiki Cable TV, JP
203.221.30.240|/MooncoinCore:0.17.1/|70017|7545|203.221.30.0/23|AU|apnic|2002-01-15|TPG-INTERNET-AP TPG Telecom Limited, AU
208.30.120.148|/loaf-android:17.3.3/|70015|14434|208.30.120.0/23|US|arin|1996-03-13|VIPNAS1, VI
220.120.96.115|/Mooncoin:0.13.9/|70016|4766|220.120.0.0/13|KR|apnic|2002-12-31|KIXS-AS-KR Korea Telecom, KR
220.151.200.91|/Mooncoin:0.13.9/|70016|17506|220.151.0.0/16|JP|apnic|2004-07-22|UCOM ARTERIA Networks Corporation, JP
220.244.119.143|/MooncoinCore:0.17.1/|70017|7545|220.244.119.0/24|AU|apnic|2003-06-18|TPG-INTERNET-AP TPG Telecom Limited, AU
223.206.246.192|/MooncoinCore:0.17.1/|70017|45629|223.206.0.0/16|TH|apnic|2010-07-12|JASTEL-NETWORK-TH-AP JasTel Network International Gateway, TH
24.10.119.36|/MooncoinCore:0.17.1/|70017|7922|24.0.0.0/12|US|arin|2003-10-06|COMCAST-7922, US
24.75.197.65|/MooncoinCore:0.17.1/|70017|4181|24.75.197.0/24|US|arin|2010-06-09|TDS-AS, US
27.137.124.210|/MooncoinCore:0.17.1/|70017|9824|27.137.0.0/16|JP|apnic|2010-04-14|JTCL-JP-AS Jupiter Telecommunication Co. Ltd, JP
27.91.148.245|/Mooncoin:0.13.9/|70016|2516|27.91.0.0/16|JP|apnic|2010-04-28|KDDI KDDI CORPORATION, JP
41.79.217.128|/loaf-android:17.3.3/|70015|37424|41.79.217.0/24|BJ|afrinic|2012-02-23|Spacetel, BJ
43.228.156.153|/Mooncoin:0.13.9/|70016|45671|43.228.156.0/24|PK|apnic|2015-01-05|AS45671-NET-AU Wholesale Services Provider, AU
43.228.156.155|/Mooncoin:0.13.9/|70016|45671|43.228.156.0/24|PK|apnic|2015-01-05|AS45671-NET-AU Wholesale Services Provider, AU
46.101.235.143|/Mooncoin:0.13.9/|70016|14061|46.101.128.0/17|US|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
46.23.35.70|/Mooncoin:0.13.9.1/|70016|24651|46.23.32.0/20|LV|ripencc|2010-12-02|LVBALTICOM-AS, LV
47.54.232.55|/MooncoinCore:0.17.1/|70017|855|47.54.232.0/21|CA|arin|2012-04-09|CANET-ASN-4, CA
49.178.24.46|/MooncoinCore:0.17.1/|70017|4804|49.178.0.0/17|AU|apnic|2010-12-02|MPX-AS Microplex PTY LTD, AU
5.45.105.66|/MooncoinCore:0.17.1/|70017|197540|5.45.96.0/20|DE|ripencc|2012-05-24|NETCUP-AS netcup GmbH, DE
50.125.224.254|/MooncoinCore:0.17.1/|70017|27017|50.125.128.0/17|US|arin|2011-09-06|ZIPLY-FIBER-LEGACY-ASN, US
50.208.151.117|/Mooncoin:0.13.9/|70016|7922|50.128.0.0/9|US|arin|2010-10-21|COMCAST-7922, US
50.220.121.211|/MooncoinCore:0.17.1/|70017|7922|50.128.0.0/9|US|arin|2010-10-21|COMCAST-7922, US
51.38.57.53|/MooncoinCore:0.17.1/|70017|16276|51.38.0.0/16|FR|ripencc|1993-09-01|OVH, FR
54.38.18.241|/MooncoinCore:0.17.1/|70017|16276|54.38.0.0/16|FR|ripencc|1992-03-17|OVH, FR
58.11.3.199|/MooncoinCore:0.17.1/|70017|17552|58.11.0.0/18|TH|apnic|2005-03-17|TRUEONLINE-AS-AP True Online, TH
64.20.63.133|/MooncoinCore:0.17.1/|70017|19318|64.20.32.0/19|US|arin|2005-04-07|IS-AS-1, US
66.45.235.170|/MooncoinCore:0.17.1/|70017|19318|66.45.224.0/19|US|arin|2003-09-23|IS-AS-1, US
66.70.182.1|/MooncoinCore:0.17.1/|70017|16276|66.70.128.0/17|CA|arin|2017-02-13|OVH, FR
67.172.235.0|/MooncoinCore:0.17.1/|70017|7922|67.160.0.0/11|US|arin|2002-12-16|COMCAST-7922, US
67.211.210.20|/MooncoinCore:0.17.1/|70017|19318|67.211.208.0/20|US|arin|2015-11-12|IS-AS-1, US
68.52.2.218|/MooncoinCore:0.17.1/|70017|7922|68.32.0.0/11|US|arin|2001-11-29|COMCAST-7922, US
70.39.108.224|/MooncoinCore:0.17.1/|70017|46844|70.39.108.0/24|US|arin|2010-01-26|ST-BGP, US
70.39.111.214|/MooncoinCore:0.17.1/|70017|46844|70.39.111.0/24|US|arin|2010-01-26|ST-BGP, US
70.39.111.248|/MooncoinCore:0.17.1/|70017|46844|70.39.111.0/24|US|arin|2010-01-26|ST-BGP, US
71.197.118.143|/MooncoinCore:0.17.1/|70017|7922|71.192.0.0/12|US|arin|2005-07-27|COMCAST-7922, US
71.77.231.112|/MooncoinCore:0.17.1/|70017|11426|71.76.0.0/15|US|arin|2005-05-16|TWC-11426-CAROLINAS, US
73.157.84.164|/MooncoinCore:0.17.1/|70017|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
74.194.226.175|/MooncoinCore:0.17.1/|70017|19108|74.194.192.0/18|US|arin|2006-09-27|SUDDENLINK-COMMUNICATIONS, US
75.146.49.210|/Mooncoin:0.13.9/|70016|7922|75.144.0.0/13|US|arin|2006-09-25|COMCAST-7922, US
77.182.154.157|/MooncoinCore:0.17.1/|70017|6805|77.176.0.0/12|DE|ripencc|2006-11-17|TDDE-ASN1, DE
77.38.28.210|/Mooncoin:0.13.9/|70016|3212|77.38.0.0/17|SI|ripencc|2007-03-22|TELEMACH Broadband Access & Carrier Services, SI
78.18.106.47|/MooncoinCore:0.17.1/|70017|2110|78.16.0.0/14|IE|ripencc|2007-04-04|AS-BTIRE BT Ireland was previously known as Esat Net, EUnet Ireland & IEUnet., IE
78.46.18.218|/MooncoinCore:0.17.1/|70017|24940|78.46.0.0/15|DE|ripencc|2007-04-16|HETZNER-AS, DE
78.87.251.0|/Mooncoin:0.13.9/|70016|3329|78.87.240.0/20|GR|ripencc|2007-05-04|HOL-GR Athens, Greece, GR
79.110.170.5|/MooncoinCore:0.17.1/|70017|208590|79.110.170.0/24|SE|ripencc|2018-08-10|AVE-AS Lasagna Ltd, GB
80.240.17.142|/MooncoinCore:0.17.1/|70017|20473|80.240.16.0/20|US|ripencc|2005-08-12|AS-CHOOPA, US
80.242.32.159|/MooncoinCore:0.17.1/|70017|44234|80.242.32.0/22|SK|ripencc|2007-12-10|GAYA-AS P.O.Hviezdoslava 23B, SK
81.169.238.232|/MooncoinCore:0.17.1/|70017|6724|81.169.128.0/17|DE|ripencc|2003-04-17|STRATO STRATO AG, DE
81.214.162.9|/MooncoinCore:0.17.1/|70017|47331|81.214.160.0/21|TR|ripencc|2002-10-15|TTNET, TR
82.43.201.137|/MooncoinCore:0.17.1/|70017|5089|82.43.0.0/16|GB|ripencc|2003-01-31|NTL, GB
82.64.185.60|/MooncoinCore:0.17.1/|70017|12322|82.64.0.0/14|FR|ripencc|2003-04-03|PROXAD, FR
83.139.167.229|/MooncoinCore:0.17.1/|70017|6856|83.139.128.0/18|RU|ripencc|2009-04-23|IC-VORONEZH-AS Informsvyaz - Chernozemye, RU
84.2.34.93|/Mooncoin:0.13.9/|70016|15545|84.2.34.0/23|HU|ripencc|2004-09-17|MT-DC-AS EU. Hungary, HU
84.234.52.190|/MooncoinCore:0.17.1/|70017|49560|84.234.48.0/20|MD|ripencc|2009-07-02|LINKS-MD-AS, MD
85.15.179.171|/Mooncoin:0.13.9/|70016|12389|85.15.128.0/18|RU|ripencc|2005-04-26|ROSTELECOM-AS, RU
87.211.154.182|/MooncoinCore:0.17.1/|70017|13127|87.210.0.0/15|NL|ripencc|2005-06-02|T-MOBILE AS for the Trans-European T-Mobile IP Transport backbone, NL
88.99.68.228|/Mooncoin:0.13.9/|70016|24940|88.99.0.0/16|DE|ripencc|2005-08-03|HETZNER-AS, DE
89.162.16.149|/MooncoinCore:0.17.1/|70017|29695|89.162.0.0/17|NO|ripencc|2006-02-15|ALTIBOX_AS Norway, NO
89.186.3.143|/Mooncoin:0.13.9/|70016|42667|89.186.3.0/24|PL|ripencc|2006-04-13|INTEREVO-PL-AS, PL
90.195.207.197|/MooncoinCore:0.17.1/|70017|5607|90.192.0.0/11|GB|ripencc|2006-05-31|BSKYB-BROADBAND-AS, GB
91.206.16.214|/Mooncoin:0.13.9/|70016|13259|91.206.16.0/23|RU|ripencc|2008-06-09|DELTA-TELESYSTEMS-AS, RU
92.74.187.89|/MooncoinCore:0.17.1/|70017|3209|92.72.0.0/13|DE|ripencc|2007-07-27|VODANET International IP-Backbone of Vodafone, DE
94.23.2.215|/Mooncoin:0.13.9/|70016|16276|94.23.0.0/16|FR|ripencc|2008-07-15|OVH, FR
96.8.253.14|/MooncoinCore:0.17.1/|70017|16527|96.8.128.0/17|US|arin|2008-07-29|GVTCINTERNET, US
98.157.0.165|/MooncoinCore:0.17.1/|70017|11426|98.157.0.0/21|US|arin|2007-12-18|TWC-11426-CAROLINAS, US
99.155.224.126|/Mooncoin:0.13.9/|70016|7018|99.152.0.0/14|US|arin|2007-08-29|ATT-INTERNET4, US
