# https://chainz.cryptoid.info/ and whois results
# MonetaryUnit
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.237.1.76|/MonetaryUnit Core:2.1.5/|70703|29802|104.237.1.0/24|US|arin|2014-11-03|HVC-AS, US
104.237.10.83|/MonetaryUnit Core:2.1.5/|70703|394727|104.237.10.0/24|US|arin|2014-11-03|NODISTO, US
104.237.9.15|/MonetaryUnit Core:2.1.5/|70703|394727|104.237.9.0/24|US|arin|2014-11-03|NODISTO, US
104.238.46.28|/MonetaryUnit Core:2.1.6/|70703|8100|104.238.46.0/23|US|arin|2014-12-03|ASN-QUADRANET-GLOBAL, US
109.111.140.74|/MonetaryUnit Core:2.1.2/|70703|31214|109.111.128.0/19|RU|ripencc|2009-11-26|TIS-DIALOG-AS, RU
109.175.144.35|/MonetaryUnit Core:2.0.2/|70703|42689|109.175.128.0/17|GB|ripencc|2010-05-17|GLIDE, GB
109.230.195.91|/MonetaryUnit Core:2.1.5/|70703|197071|109.230.195.0/24|DE|ripencc|2010-02-24|ACTIVE-SERVERS active-servers.com, DE
116.203.41.145|/MonetaryUnit Core:2.1.4/|70703|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
121.211.116.190|/MonetaryUnit Core:2.1.4/|70703|1221|121.208.0.0/12|AU|apnic|2006-06-20|ASN-TELSTRA Telstra Corporation Ltd, AU
128.199.48.105|/MonetaryUnit Core:2.1.6/|70703|14061|128.199.32.0/19|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US
13.209.243.246|/MonetaryUnit Core:2.1.6/|70703|16509|13.209.0.0/16|US|arin|2016-08-09|AMAZON-02, US
144.217.4.59|/MonetaryUnit Core:2.0.2/|70703|16276|144.217.0.0/16|CA|arin|2016-09-07|OVH, FR
144.91.72.212|/MonetaryUnit Core:2.1.4/|70703|51167|144.91.72.0/23|DE|ripencc|1990-11-20|CONTABO, DE
145.239.8.109|/MonetaryUnit Core:2.1.6/|70703|16276|145.239.0.0/16|FR|ripencc|1993-08-03|OVH, FR
151.80.220.241|/MonetaryUnit Core:2.1.4/|70703|16276|151.80.0.0/16|IT|ripencc|1991-05-13|OVH, FR
164.68.118.38|/MonetaryUnit Core:2.1.4/|70703|51167|164.68.118.0/23|DE|ripencc|1992-12-17|CONTABO, DE
167.114.67.207|/MonetaryUnit Core:2.1.3/|70703|16276|167.114.0.0/17|CA|arin|2014-08-29|OVH, FR
172.104.153.200|/MonetaryUnit Core:2.1.6/|70703|63949|172.104.128.0/19|US|arin|2015-06-19|LINODE-AP Linode, LLC, US
172.104.251.136|/MonetaryUnit Core:2.1.6/|70703|63949|172.104.224.0/19|US|arin|2015-06-19|LINODE-AP Linode, LLC, US
