# https://chainz.cryptoid.info/ and whois results
# NavCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
100.1.202.106|/NavCoin:5.0.1/|70020|701|100.1.0.0/16|US|arin|2010-12-28|UUNET, US
101.181.23.37|/NavCoin:6.0.0/|80020|1221|101.160.0.0/11|AU|apnic|2010-12-23|ASN-TELSTRA Telstra Corporation Ltd, AU
104.143.92.190|/NavCoin:5.0.1/|70020|36351|104.143.92.0/24|US|arin|2014-07-09|SOFTLAYER, US
104.42.106.112|/NavCoin:5.0.1/|70020|8075|104.40.0.0/13|US|arin|2014-05-07|MICROSOFT-CORP-MSN-AS-BLOCK, US
106.156.120.186|/NavCoin:6.0.0/|80020|2516|106.128.0.0/11|JP|apnic|2011-03-15|KDDI KDDI CORPORATION, JP
107.11.164.16|/NavCoin:4.1.0/|70020|10796|107.11.0.0/16|US|arin|2010-09-23|TWC-10796-MIDWEST, US
107.126.60.92|/NavCoin:4.5.2/|70020|20057|107.126.56.0/21|US|arin|2011-02-04|ATT-MOBILITY-LLC-AS20057, US
107.142.111.175|/NavCoin:6.0.0/|80020|7018|107.128.0.0/12|US|arin|2013-10-23|ATT-INTERNET4, US
107.175.87.153|/NavCoin:5.0.1/|70020|36352|107.175.80.0/21|US|arin|2013-12-27|AS-COLOCROSSING, US
109.48.205.85|/NavCoin:5.0.1/|70020|2860|109.48.192.0/18|PT|ripencc|2009-10-19|NOS_COMUNICACOES, PT
109.86.81.235|/NavCoin:6.0.0/|80020|13188|109.86.81.0/24|UA|ripencc|2009-08-20|TRIOLAN, UA
110.143.78.12|/NavCoin:4.1.1/|70020|1221|110.143.0.0/16|AU|apnic|2010-12-23|ASN-TELSTRA Telstra Corporation Ltd, AU
114.124.215.56|/NavCoin:5.0.1/|70020|23693|114.124.192.0/18|ID|apnic|2008-05-22|TELKOMSEL-ASN-ID PT. Telekomunikasi Selular, ID
114.73.89.110|/NavCoin:5.0.1/|70020|4804|114.73.0.0/16|AU|apnic|2008-05-14|MPX-AS Microplex PTY LTD, AU
116.202.100.167|/NavCoin:5.0.0/|70020|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.202.129.35|/NavCoin:5.0.1/|70020|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.202.132.28|/NavCoin:5.0.1/|70020|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
120.152.131.202|/NavCoin:4.1.1/|70020|1221|120.152.0.0/14|AU|apnic|2008-04-09|ASN-TELSTRA Telstra Corporation Ltd, AU
121.6.72.77|/NavCoin:6.0.0/|80020|9506|121.6.0.0/17|SG|apnic|2006-05-23|SINGTEL-FIBRE Singtel Fibre Broadband, SG
121.74.129.128|/NavCoin:5.0.1/|70020|9500|121.74.0.0/16|NZ|apnic|2008-04-18|VODAFONE-TRANSIT-AS Vodafone NZ Ltd., NZ
136.243.138.87|/NavCoin:5.0.1/|70020|24940|136.243.0.0/16|DE|ripencc|2004-04-14|HETZNER-AS, DE
136.25.7.78|/NavCoin:6.0.0/|80020|19165|136.25.0.0/17|US|arin|2016-10-31|WEBPASS, US
136.49.12.210|/NavCoin:6.0.0/|80020|16591|136.49.0.0/20|US|arin|2015-10-06|GOOGLE-FIBER, US
136.52.23.183|/NavCoin:6.0.0/|80020|16591|136.52.16.0/20|US|arin|2015-10-06|GOOGLE-FIBER, US
137.74.94.192|/NavCoin:6.0.0/|80020|16276|137.74.0.0/16|FR|ripencc|1988-11-23|OVH, FR
14.51.6.160|/NavCoin:5.0.1/|70020|4766|14.48.0.0/13|KR|apnic|2010-08-02|KIXS-AS-KR Korea Telecom, KR
141.98.255.151|/NavCoin:5.0.1/|70020|39351|141.98.255.0/24|SE|ripencc|2019-01-16|ESAB-AS, SE
143.177.68.146|/NavCoin:5.0.0/|70020|50266|143.177.0.0/16|NL|ripencc|1990-10-01|TMOBILE-THUIS, NL
145.239.4.228|/NavCoin:5.0.1/|70020|16276|145.239.0.0/16|FR|ripencc|1993-08-03|OVH, FR
148.251.129.229|/NavCoin:6.0.0/|80020|24940|148.251.0.0/16|DE|ripencc|1993-09-01|HETZNER-AS, DE
149.20.178.3|/NavCoin:4.3.0/|70020|63242|149.20.176.0/21|US|arin|2018-07-30|AS-CMN-LS, US
151.41.236.109|/NavCoin:6.0.0/|80020|1267|151.41.0.0/16|IT|ripencc|1991-05-13|ASN-WINDTRE IUNET, IT
154.21.212.197|/NavCoin:5.0.1/|70020|174|154.21.0.0/16|US|arin|1992-02-05|COGENT-174, US
157.90.27.28|/NavCoin:5.0.1/|70020|24940|157.90.0.0/16|DE|ripencc|1996-12-16|HETZNER-AS, DE
160.78.248.61|/NavCoin:4.2.1/|70020|137|160.78.0.0/16|IT|ripencc|2004-04-05|ASGARR Consortium GARR, IT
163.158.218.217|/NavCoin:5.0.1/|70020|15435|163.158.0.0/16|NL|ripencc|1992-09-01|KABELFOON DELTA Fiber Nederland, NL
163.158.218.25|/NavCoin:5.0.1/|70020|15435|163.158.0.0/16|NL|ripencc|1992-09-01|KABELFOON DELTA Fiber Nederland, NL
167.86.94.2|/NavCoin:5.0.1/|70020|51167|167.86.94.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.99.91.77|/NavCoin:6.0.0/|80020|14061|167.99.80.0/20|US|arin|2017-11-10|DIGITALOCEAN-ASN, US
172.93.177.36|/NavCoin:5.0.1/|70020|20278|172.93.177.0/24|US|arin|2015-06-01|NEXEON, US
174.115.205.120|/NavCoin:5.0.1/|70020|812|174.115.192.0/18|CA|arin|2009-03-04|ROGERS-COMMUNICATIONS, CA
174.28.68.126|/NavCoin:5.0.1/|70020|209|174.28.0.0/16|US|arin|2009-02-17|CENTURYLINK-US-LEGACY-QWEST, US
174.45.98.151|/NavCoin:5.0.1/|70020|33588|174.45.0.0/16|US|arin|2011-12-22|BRESNAN-33588, US
178.255.168.143|/NavCoin:5.0.1/|70020|44489|178.255.168.0/21|CZ|ripencc|2010-07-13|STARNET, CZ
178.39.59.250|/NavCoin:5.0.1/|70020|6730|178.38.0.0/15|CH|ripencc|2010-02-02|SUNRISE, CH
181.231.93.101|/NavCoin:6.0.0/|80020|10481|181.231.64.0/19|AR|lacnic|2013-10-30|Telecom Argentina S.A., AR
184.147.183.24|/NavCoin:6.0.0/|80020|577|184.147.0.0/16|CA|arin|2010-04-12|BACOM, CA
185.159.157.19|/NavCoin:5.0.1/|70020|209103|185.159.157.0/24|CH|ripencc|2016-07-14|PROTONVPN, CH
185.192.69.38|/NavCoin:6.0.0/|80020|62240|185.192.69.0/24|NL|ripencc|2017-02-28|CLOUVIDER Clouvider - Global ASN, GB
185.220.100.248|/NavCoin:5.0.1/|70020|205100|185.220.100.0/24|DE|ripencc|2017-09-12|F3NETZE, DE
185.220.70.84|/NavCoin:6.0.0/|80020|9009|185.220.70.0/24|RO|ripencc|2017-09-11|M247, GB
185.236.167.65|/NavCoin:5.0.1/|70020|1764|185.236.167.0/24|AT|ripencc|2017-12-12|NEXTLAYER-AS, AT
185.58.211.173|/NavCoin:5.0.1/|70020|200555|185.58.211.0/24|ES|ripencc|2014-05-23|WIFICANARIAS, ES
185.87.120.30|/NavCoin:6.0.0/|80020|43260|185.87.120.0/24|TR|ripencc|2015-02-11|AS43260, TR
185.99.3.67|/NavCoin:4.7.3/|70020|200698|185.99.3.0/24|BA|ripencc|2015-05-06|GLOBALHOST-BOSNIA-AS, BA
188.34.192.74|/NavCoin:5.0.1/|70020|24940|188.34.128.0/17|DE|ripencc|2009-03-19|HETZNER-AS, DE
193.161.12.209|/NavCoin:5.0.1/|70020|197125|193.161.12.0/22|UA|ripencc|2010-06-14|UA-BROVIS-AS ISP-Brovis, UA
193.206.88.1|/NavCoin:5.0.1/|70020|137|193.206.0.0/16|IT|ripencc|1995-07-26|ASGARR Consortium GARR, IT
193.9.114.180|/NavCoin:4.6.0/|70020|9009|193.9.114.0/24|RO|ripencc|2018-07-06|M247, GB
194.5.52.40|/NavCoin:5.0.1/|70020|206092|194.5.52.0/24|NL|ripencc|2019-10-18|SECFIREWALLAS, GB
194.53.186.37|/NavCoin:5.0.1/|70020|60257|194.53.186.0/24|RU|ripencc|2018-09-21|ORIGIN, GB
195.158.248.12|/NavCoin:5.0.1/|70020|203020|195.158.248.0/24|US|ripencc|2020-02-28|HOSTROYALE, IN
195.28.8.86|/NavCoin:5.0.1/|70020|198102|195.28.8.0/24|IT|ripencc|2008-03-03|XSTREAM, IT
2.234.131.132|/NavCoin:5.0.1/|70020|12874|2.232.0.0/13|IT|ripencc|2010-12-30|FASTWEB, IT
2.84.168.233|/NavCoin:5.0.1/|70020|6799|2.84.0.0/16|GR|ripencc|2010-05-12|OTENET-GR Athens - Greece, GR
207.244.108.245|/NavCoin:6.0.0/|80020|30633|207.244.64.0/18|US|arin|1996-11-15|LEASEWEB-USA-WDC, US
212.180.171.44|/NavCoin:5.0.1/|70020|9085|212.180.128.0/17|PL|ripencc|2000-08-31|SUPERMEDIA-AS, PL
212.20.230.76|/NavCoin:5.0.1/|70020|12703|212.20.224.0/19|GB|ripencc|1999-09-24|PULSANT-AS, GB
213.154.231.39|/NavCoin:5.0.1/|70020|12859|213.154.224.0/19|NL|ripencc|2003-01-29|NL-BIT BIT BV, NL
213.233.216.158|/NavCoin:5.0.1/|70020|12414|213.233.192.0/18|NL|ripencc|2003-05-15|NL-SOLCON SOLCON, NL
213.49.77.85|/NavCoin:6.0.0/|80020|5432|213.49.0.0/16|BE|ripencc|1999-11-19|PROXIMUS-ISP-AS, BE
216.171.203.130|/NavCoin:5.0.1/|70020|6939|216.171.203.0/24|US|arin|2000-12-08|HURRICANE, US
216.248.126.240|/NavCoin:5.0.1/|70020|30325|216.248.124.0/22|US|arin|1999-10-26|SSTC-NET-1, US
216.63.189.248|/NavCoin:6.0.0/|80020|7018|216.60.0.0/14|US|arin|1998-08-27|ATT-INTERNET4, US
217.19.209.151|/NavCoin:5.0.1/|70020|1547|217.19.209.0/24|MD|ripencc|2003-01-24|IDK-NETWORK, MD
221.122.37.73|/NavCoin:5.0.1/|70020|23724|221.122.32.0/20|CN|apnic|2003-07-07|CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation, CN
24.183.255.84|/NavCoin:5.0.1/|70020|20115|24.183.240.0/20|US|arin|2003-10-28|CHARTER-20115, US
24.21.212.159|/NavCoin:6.0.0/|80020|7922|24.16.0.0/13|US|arin|2003-12-08|COMCAST-7922, US
24.228.125.230|/NavCoin:5.0.1/|70020|6128|24.228.0.0/16|US|arin|1997-03-31|CABLE-NET-1, US
24.41.204.54|/NavCoin:6.0.0/|80020|14638|24.41.200.0/21|US|arin|2011-02-02|LCPRL, US
24.5.141.135|/NavCoin:5.0.1/|70020|7922|24.0.0.0/12|US|arin|2003-10-06|COMCAST-7922, US
24.5.241.206|/NavCoin:5.0.1/|70020|7922|24.0.0.0/12|US|arin|2003-10-06|COMCAST-7922, US
27.32.63.131|/NavCoin:6.0.0/|80020|7545|27.32.63.0/24|AU|apnic|2010-03-18|TPG-INTERNET-AP TPG Telecom Limited, AU
3.112.138.57|/NavCoin:6.0.0/|80020|16509|3.112.0.0/14|US|arin|2017-12-20|AMAZON-02, US
3.121.247.139|/NavCoin:5.0.0/|70020|16509|3.120.0.0/14|US|arin|2017-12-20|AMAZON-02, US
31.40.218.121|/NavCoin:5.0.0/|70020|56630|31.40.216.0/22|LT|ripencc|2018-11-09|MELBICOM-EU-AS Melbikomas UAB, LT
37.120.221.188|/NavCoin:5.0.1/|70020|9009|37.120.221.0/24|RO|ripencc|2012-02-13|M247, GB
37.14.150.15|/NavCoin:5.0.1/|70020|12479|37.14.148.0/22|ES|ripencc|2011-12-16|UNI2-AS, ES
37.153.237.21|/NavCoin:5.0.1/|70020|28685|37.153.192.0/18|NL|ripencc|2012-03-13|ASN-ROUTIT, NL
37.225.7.172|/NavCoin:5.0.1/|70020|5617|37.225.0.0/16|PL|ripencc|2012-04-10|TPNET, PL
37.30.27.15|/NavCoin:5.0.1/|70020|12912|37.30.0.0/15|PL|ripencc|2011-12-30|TM, PL
4.4.83.162|/NavCoin:6.0.0/|80020|3356|4.0.0.0/9|US|arin|1992-12-01|LEVEL3, US
43.250.205.147|/NavCoin:5.0.1/|70020|45671|43.250.205.0/24|AU|apnic|2014-10-30|AS45671-NET-AU Wholesale Services Provider, AU
45.51.91.226|/NavCoin:6.0.0/|80020|20001|45.48.0.0/14|US|arin|2015-01-06|TWC-20001-PACWEST, US
45.56.150.169|/NavCoin:6.0.0/|80020|18450|45.56.150.0/24|US|arin|2015-01-27|WEBNX, US
46.125.249.82|/NavCoin:5.0.1/|70020|8412|46.124.0.0/15|AT|ripencc|2010-05-31|TMA Magenta Telekom, AT
46.151.138.92|/NavCoin:5.0.1/|70020|197437|46.151.136.0/21|PL|ripencc|2010-12-01|PLAST-COM-AS, PL
47.155.232.85|/NavCoin:5.0.1/|70020|5650|47.152.0.0/14|US|arin|2015-08-28|FRONTIER-FRTR, US
47.198.7.190|/NavCoin:5.0.1(NEXT)/|70020|5650|47.196.0.0/14|US|arin|2015-08-28|FRONTIER-FRTR, US
49.12.127.111|/NavCoin:5.0.1/|70020|24940|49.12.0.0/16|DE|ripencc|2010-10-21|HETZNER-AS, DE
49.12.127.114|/NavCoin:5.0.1/|70020|24940|49.12.0.0/16|DE|ripencc|2010-10-21|HETZNER-AS, DE
5.125.242.123|/NavCoin:5.0.1/|70020|44244|5.125.240.0/20|IR|ripencc|2012-06-29|IRANCELL-AS, IR
5.79.174.209|/NavCoin:6.0.0/|80020|8369|5.79.128.0/17|RU|ripencc|2012-06-13|INTERSVYAZ-AS 38-B, Komsomolsky prospekt, RU
54.36.139.102|/NavCoin:5.0.1/|70020|16276|54.36.0.0/16|FR|ripencc|1992-03-17|OVH, FR
62.133.129.52|/NavCoin:5.0.1/|70020|38987|62.133.128.0/19|PL|ripencc|2005-10-12|OST-AS, PL
62.210.247.39|/NavCoin:5.0.1/|70020|12876|62.210.0.0/16|FR|ripencc|2000-10-26|Online SAS, FR
63.248.209.91|/NavCoin:4.7.3/|70020|17306|63.248.208.0/20|US|arin|2009-04-17|RISE-BROADBAND, US
