# https://chainz.cryptoid.info/ and whois results
# NIX Core
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.248.251.174|/Nix Core:3.0.8/|70021|14061|104.248.240.0/20|US|arin|2018-08-06|DIGITALOCEAN-ASN, US
116.202.100.206|/Nix Core:3.0.8/|70021|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.202.172.79|/Nix Core:3.0.8/|70021|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.203.124.243|/Nix Core:3.0.8/|70021|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.203.97.16|/Nix Core:3.0.8/|70021|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
134.122.104.211|/Nix Core:3.0.8/|70021|14061|134.122.96.0/20|US|arin|2019-09-06|DIGITALOCEAN-ASN, US
134.209.225.89|/Nix Core:3.0.7/|70021|14061|134.209.224.0/20|US|arin|2018-10-18|DIGITALOCEAN-ASN, US
139.162.229.123|/Nix Core:3.0.7/|70021|63949|139.162.224.0/19|NL|ripencc|1990-03-24|LINODE-AP Linode, LLC, US
142.93.144.42|/Nix Core:3.0.8/|70021|14061|142.93.144.0/20|US|arin|2018-07-12|DIGITALOCEAN-ASN, US
144.202.96.69|/Nix Core:3.0.7/|70021|20473|144.202.96.0/20|US|arin|2018-02-05|AS-CHOOPA, US
149.28.90.2|/Nix Core:3.0.7/|70021|20473|149.28.64.0/19|US|arin|2018-05-04|AS-CHOOPA, US
157.245.153.233|/Nix Core:3.0.7/|70021|14061|157.245.144.0/20|US|arin|2019-05-09|DIGITALOCEAN-ASN, US
159.65.163.117|/Nix Core:3.0.7/|70021|14061|159.65.160.0/20|US|arin|2017-10-24|DIGITALOCEAN-ASN, US
159.69.137.136|/Nix Core:3.0.1/|70021|24940|159.69.0.0/16|DE|ripencc|1992-03-13|HETZNER-AS, DE
159.69.219.203|/Nix Core:3.0.8/|70021|24940|159.69.0.0/16|DE|ripencc|1992-03-13|HETZNER-AS, DE
159.89.193.74|/Nix Core:3.0.8/|70021|14061|159.89.192.0/20|US|arin|2017-07-07|DIGITALOCEAN-ASN, US
164.68.112.107|/Nix Core:3.0.4/|70021|51167|164.68.112.0/23|DE|ripencc|1992-12-17|CONTABO, DE
167.86.88.151|/Nix Core:3.0.8/|70021|51167|167.86.88.0/23|DE|ripencc|1993-05-14|CONTABO, DE
173.249.26.84|/Nix Core:3.0.7/|70021|51167|173.249.26.0/23|DE|ripencc|2010-05-26|CONTABO, DE
176.223.143.91|/Nix Core:2.3.0.1/|70021|62282|176.223.128.0/20|LT|ripencc|2011-11-29|RACKRAY UAB Rakrejus, LT
178.33.57.115|/Nix Core:3.0.8/|70021|16276|178.32.0.0/15|FR|ripencc|2010-01-19|OVH, FR
178.62.20.102|/Nix Core:3.0.8/|70021|14061|178.62.0.0/18|EU|ripencc|2010-02-26|DIGITALOCEAN-ASN, US
178.63.236.97|/Nix Core:3.0.8/|70021|24940|178.63.0.0/16|DE|ripencc|2010-03-02|HETZNER-AS, DE
18.222.237.36|/Nix Core:3.0.4/|70021|16509|18.220.0.0/14|US|arin|2018-06-29|AMAZON-02, US
185.220.100.254|/Nix Core:3.0.7/|70021|205100|185.220.100.0/24|DE|ripencc|2017-09-12|F3NETZE, DE
185.220.101.13|/Nix Core:3.0.8/|70021|208294|185.220.101.0/24|DE|ripencc|2017-09-12|ASMK, NL
185.220.101.16|/Nix Core:3.0.8/|70021|208294|185.220.101.0/24|DE|ripencc|2017-09-12|ASMK, NL
185.220.101.203|/Nix Core:3.0.8/|70021|208294|185.220.101.0/24|DE|ripencc|2017-09-12|ASMK, NL
185.81.165.18|/Nix Core:3.0.7/|70021|62282|185.81.164.0/22|LT|ripencc|2014-12-17|RACKRAY UAB Rakrejus, LT
186.89.193.115|/Nix Core:3.0.8/|70021|8048|186.89.192.0/19|VE|lacnic|2009-11-18|CANTV Servicios, Venezuela, VE
188.40.21.225|/Nix Core:3.0.8/|70021|24940|188.40.0.0/16|DE|ripencc|2009-04-23|HETZNER-AS, DE
193.176.86.134|/Nix Core:3.0.7/|70021|9009|193.176.86.0/24|RO|ripencc|2018-10-25|M247, GB
199.247.27.86|/Nix Core:3.0.7/|70021|20473|199.247.24.0/21|EU|ripencc|1996-04-09|AS-CHOOPA, US
207.148.76.242|/Nix Core:3.0.7/|70021|20473|207.148.64.0/20|US|apnic|1996-06-07|AS-CHOOPA, US
