# https://chainz.cryptoid.info/ and whois results
# Noir
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
109.97.199.24|/Noir Core:2.1.0.8/|90049|9050|109.97.0.0/16|RO|ripencc|2009-07-21|RTD Bucharest, Romania, RO
116.11.88.186|/Noir Core:2.1.0.9/|90049|4134|116.8.0.0/14|CN|apnic|2007-03-22|CHINANET-BACKBONE No.31,Jin-rong Street, CN
116.202.172.79|/Noir Core:2.1.0.9/|90049|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
117.181.58.68|/Noir Core:2.1.0.9/|90049|9808|117.181.0.0/16|CN|apnic|2007-07-17|CMNET-GD Guangdong Mobile Communication Co.Ltd., CN
123.230.61.35|/Noir Core:2.1.0.9/|90049|17676|123.230.0.0/16|JP|apnic|2007-02-15|GIGAINFRA Softbank BB Corp., JP
144.202.40.177|/Noir Core:2.1.0.9/|90049|20473|144.202.32.0/20|US|arin|2018-02-05|AS-CHOOPA, US
149.28.83.153|/Noir Core:2.1.0.9/|90049|20473|149.28.64.0/19|US|arin|2018-05-04|AS-CHOOPA, US
160.16.195.135|/Noir Core:2.1.0.8/|90049|9370|160.16.128.0/17|JP|apnic|1992-06-10|SAKURA-B SAKURA Internet Inc., JP
164.68.103.59|/Noir Core:2.1.0.9/|90049|51167|164.68.102.0/23|DE|ripencc|1992-12-17|CONTABO, DE
164.68.113.172|/Noir Core:2.1.0.9/|90049|51167|164.68.112.0/23|DE|ripencc|1992-12-17|CONTABO, DE
173.212.222.56|/Noir Core:2.1.0.9/|90049|51167|173.212.192.0/19|DE|ripencc|2009-10-26|CONTABO, DE
173.249.29.150|/Noir Core:2.1.0.9/|90049|51167|173.249.28.0/23|DE|ripencc|2010-05-26|CONTABO, DE
185.220.101.11|/Noir Core:2.1.0.9/|90049|208294|185.220.101.0/24|DE|ripencc|2017-09-12|ASMK, NL
185.220.101.141|/Noir Core:2.1.0.9/|90049|208294|185.220.101.0/24|DE|ripencc|2017-09-12|ASMK, NL
2.243.108.240|/Noir Core:2.1.0.9/|90049|6805|2.240.0.0/13|DE|ripencc|2010-12-13|TDDE-ASN1, DE
207.148.73.63|/Noir Core:2.1.0.6/|90049|20473|207.148.64.0/20|US|apnic|1996-06-07|AS-CHOOPA, US
213.202.238.145|/Noir Core:2.1.0.8/|90049|24961|213.202.192.0/18|DE|ripencc|2002-10-21|MYLOC-AS IP Backbone of myLoc managed IT AG, DE
220.233.193.110|/Noir Core:2.1.0.6/|90049|10143|220.233.192.0/18|AU|apnic|2005-04-11|EXETEL-AS-AP Exetel Pty Ltd, AU
46.166.139.111|/Noir Core:2.1.0.9/|90049|43350|46.166.136.0/21|NL|ripencc|2010-12-16|NFORCE, NL
5.147.48.109|/Noir Core:2.1.0.6/|90049|6830|5.147.0.0/16|DE|ripencc|2012-07-13|LIBERTYGLOBAL Liberty Global (formerly UPC Broadband Holding, aka AORTA), AT
51.175.250.196|/Noir Core:2.1.0.9/|90049|29695|51.174.0.0/15|NO|ripencc|1993-09-01|ALTIBOX_AS Norway, NO
51.79.86.181|/Noir Core:2.1.0.9/|90049|16276|51.79.0.0/17|CA|arin|2019-01-10|OVH, FR
70.95.74.84|/Noir Core:2.1.0.9/|90049|20001|70.95.0.0/16|US|arin|2004-09-22|TWC-20001-PACWEST, US
78.48.3.160|/Noir Core:2.1.0.9/|90049|6805|78.48.0.0/13|DE|ripencc|2007-02-28|TDDE-ASN1, DE
85.214.145.178|/Noir Core:2.1.0.8/|90049|6724|85.214.0.0/15|DE|ripencc|2005-02-24|STRATO STRATO AG, DE
90.186.3.85|/Noir Core:2.1.0.9/|90049|3209|90.186.0.0/16|DE|ripencc|2006-11-09|VODANET International IP-Backbone of Vodafone, DE
95.216.127.175|/Noir Core:2.1.0.9/|90049|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.216.127.177|/Noir Core:2.1.0.9/|90049|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.216.127.179|/Noir Core:2.1.0.9/|90049|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.216.127.183|/Noir Core:2.1.0.9/|90049|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.216.234.130|/Noir Core:2.1.0.9/|90049|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.216.234.131|/Noir Core:2.1.0.9/|90049|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.216.234.133|/Noir Core:2.1.0.9/|90049|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.216.234.134|/Noir Core:2.1.0.9/|90049|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.216.47.135|/Noir Core:2.1.0.9/|90049|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.217.133.231|/Noir Core:2.1.0.6/|90049|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.217.137.102|/Noir Core:2.1.0.9/|90049|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.217.137.97|/Noir Core:2.1.0.9/|90049|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.217.50.212|/Noir Core:2.1.0.9/|90049|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.217.50.215|/Noir Core:2.1.0.9/|90049|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.217.52.120|/Noir Core:2.1.0.9/|90049|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.217.67.186|/Noir Core:2.1.0.9/|90049|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.217.79.128|/Noir Core:2.1.0.9/|90049|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.217.95.224|/Noir Core:2.1.0.9/|90049|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.217.97.195|/Noir Core:2.1.0.9/|90049|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
