# https://chainz.cryptoid.info/ and whois results
# Okcash
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
100.4.213.86|/oktoshi:5.0.0.5/|60022|701|100.4.128.0/17|US|arin|2010-12-28|UUNET, US
104.167.96.130|/oktoshi:5.0.0.5/|60022|31798|104.167.96.0/24|CA|arin|2014-08-27|DATACITY, CA
104.167.96.242|/oktoshi:5.0.0.5/|60022|31798|104.167.96.0/24|CA|arin|2014-08-27|DATACITY, CA
108.61.197.20|/oktoshi:5.0.0.3/|60022|20473|108.61.196.0/23|US|arin|2010-12-08|AS-CHOOPA, US
109.88.22.154|/oktoshi:5.0.0.5/|60022|12392|109.88.16.0/20|BE|ripencc|2009-09-01|ASBRUTELE VOO, BE
116.202.47.198|/oktoshi:6.0.0/|60022|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
118.70.151.182|/oktoshi:5.0.0.3/|60022|18403|118.70.151.0/24|VN|apnic|2007-08-08|FPT-AS-AP The Corporation for Financing & Promoting Technology, VN
126.225.78.211|/oktoshi:5.0.0.3/|60022|17676|126.225.0.0/16|JP|apnic|2005-02-08|GIGAINFRA Softbank BB Corp., JP
134.19.189.140|/oktoshi:5.0.0.5/|60022|49453|134.19.189.0/24|NL|ripencc|2011-11-04|GLOBALLAYER, NL
138.94.36.144|/oktoshi:5.0.0.3/|60022|264107|138.94.36.0/24|BR|lacnic|2015-03-05|ABC TELECOM - COMUNICACAO EIRELI, BR
141.135.199.152|/oktoshi:5.0.0.5/|60022|6848|141.134.0.0/15|BE|ripencc|2011-06-20|TELENET-AS, BE
141.135.3.147|/oktoshi:5.0.0.3/|60022|6848|141.134.0.0/15|BE|ripencc|2011-06-20|TELENET-AS, BE
142.47.90.89|???|0|31798|142.47.90.0/24|CA|arin|1990-03-26|DATACITY, CA
142.47.93.228|???|0|31798|142.47.93.0/24|CA|arin|1990-03-26|DATACITY, CA
142.47.96.229|/oktoshi:5.0.1.5/|60022|31798|142.47.96.0/24|CA|arin|1990-03-26|DATACITY, CA
173.2.195.19|/oktoshi:5.0.0.5/|60022|6128|173.2.0.0/15|US|arin|2008-05-12|CABLE-NET-1, US
181.58.39.52|/oktoshi:5.0.0.3/|60022|10620|181.58.39.0/24|CO|lacnic|2012-10-16|Telmex Colombia S.A., CO
185.220.100.246|/oktoshi:5.0.0.5/|60022|205100|185.220.100.0/24|DE|ripencc|2017-09-12|F3NETZE, DE
185.245.85.61|/oktoshi:5.0.0.3/|60022|9009|185.245.85.0/24|AU|ripencc|2018-02-07|M247, GB
185.4.132.183|/oktoshi:5.0.0.5/|60022|199246|185.4.132.0/22|GR|ripencc|2012-09-26|TOPHOST, GR
185.58.209.226|/oktoshi:5.0.0.5/|60022|200555|185.58.209.0/24|ES|ripencc|2014-05-23|WIFICANARIAS, ES
185.58.209.31|/oktoshi:5.0.0.5/|60022|200555|185.58.209.0/24|ES|ripencc|2014-05-23|WIFICANARIAS, ES
185.82.203.241|/oktoshi:5.0.0.3/|60022|60117|185.82.203.0/24|NL|ripencc|2014-12-31|HS, AE
186.78.222.92|/oktoshi:5.0.0.3/|60022|7418|186.78.0.0/15|CL|lacnic|2011-04-04|TELEFONICA CHILE S.A., CL
187.162.84.47|/oktoshi:5.0.0.3/|60022|6503|187.162.84.0/23|MX|lacnic|2011-07-11|Axtel, S.A.B. de C.V., MX
187.190.91.120|/oktoshi:5.0.0.3/|60022|17072|187.190.91.0/24|MX|lacnic|2011-12-08|TOTAL PLAY TELECOMUNICACIONES SA DE CV, MX
187.193.237.86|/oktoshi:5.0.0.3/|60022|8151|187.193.237.0/24|MX|lacnic|2011-06-06|Uninet S.A. de C.V., MX
188.26.199.42|/oktoshi:5.0.0.5/|60022|57269|188.26.192.0/21|RO|ripencc|2009-02-11|DIGISPAINTELECOM, ES
188.26.223.193|/oktoshi:5.0.0.5/|60022|57269|188.26.216.0/21|RO|ripencc|2009-02-11|DIGISPAINTELECOM, ES
188.26.223.81|/oktoshi:5.0.0.5/|60022|57269|188.26.216.0/21|RO|ripencc|2009-02-11|DIGISPAINTELECOM, ES
189.173.50.0|/oktoshi:5.0.0.3/|60022|8151|189.173.48.0/21|MX|lacnic|2006-05-12|Uninet S.A. de C.V., MX
189.203.149.249|/oktoshi:5.0.0.5/|60022|17072|189.203.149.0/24|MX|lacnic|2009-09-14|TOTAL PLAY TELECOMUNICACIONES SA DE CV, MX
189.216.65.237|/oktoshi:5.0.0.3/|60022|28548|189.216.64.0/22|MX|lacnic|2007-12-05|Cablevision, S.A. de C.V., MX
190.96.1.19|/oktoshi:5.0.0.3/|60022|18822|190.96.1.0/24|CL|lacnic|2007-07-19|Manquehuenet, CL
