# https://chainz.cryptoid.info/ and whois results
# Particl
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
100.1.43.31|/Satoshi:0.19.1.1/|90010|701|100.1.0.0/16|US|arin|2010-12-28|UUNET, US
104.227.248.98|/Satoshi:0.19.1.1/|90010|48635|104.227.248.0/21|CA|arin|2014-10-17|PCEXTREME-, NL
108.184.74.88|/Satoshi:0.18.1.5/|90010|20001|108.184.0.0/15|US|arin|2013-01-24|TWC-20001-PACWEST, US
13.209.60.161|/Satoshi:0.19.1.1/|90010|16509|13.209.0.0/16|US|arin|2016-08-09|AMAZON-02, US
138.197.163.6|/Satoshi:0.19.0.1/|90010|14061|138.197.160.0/20|US|arin|2016-01-26|DIGITALOCEAN-ASN, US
138.197.186.162|/particl-seeder:0.01/|90009|14061|138.197.176.0/20|US|arin|2016-01-26|DIGITALOCEAN-ASN, US
138.197.207.231|/Satoshi:0.19.1.1/|90010|14061|138.197.192.0/20|US|arin|2016-01-26|DIGITALOCEAN-ASN, US
139.162.232.176|/Satoshi:0.15.1.0.1/|90006|63949|139.162.224.0/19|NL|ripencc|1990-03-24|LINODE-AP Linode, LLC, US
139.216.49.50|/Satoshi:0.19.1.1/|90010|9443|139.216.48.0/20|AU|apnic|2011-03-08|VOCUS-RETAIL-AU Vocus Retail, AU
144.91.95.206|/Satoshi:0.19.1.1/|90010|51167|144.91.94.0/23|DE|ripencc|1990-11-20|CONTABO, DE
149.167.133.172|/Satoshi:0.18.1.7/|90010|135887|149.167.133.0/24|AU|apnic|1991-05-07|TELSTRA-BELONG-AP Telstra Corporation, AU
149.167.99.190|/Satoshi:0.19.1.1/|90010|135887|149.167.0.0/16|AU|apnic|1991-05-07|TELSTRA-BELONG-AP Telstra Corporation, AU
154.3.251.17|/Satoshi:0.19.1.1/|90010|174|154.3.0.0/16|US|arin|1992-02-05|COGENT-174, US
159.250.113.66|/Satoshi:0.19.1.1/|90010|11776|159.250.112.0/21|US|arin|2019-09-03|ATLANTICBB-JOHNSTOWN, US
163.172.144.233|/Satoshi:0.19.1.1/|90010|12876|163.172.0.0/16|GB|ripencc|1992-02-14|Online SAS, FR
167.172.164.131|/Satoshi:0.19.0.1/|90010|14061|167.172.160.0/20|US|ripencc|1993-08-30|DIGITALOCEAN-ASN, US
