# https://chainz.cryptoid.info/ and whois results
# PeepCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
101.188.131.180|/PXN:1.0.4.1/|60014|1221|101.160.0.0/11|AU|apnic|2010-12-23|ASN-TELSTRA Telstra Corporation Ltd, AU
101.188.131.180|/PXN:1.0.4.1/|60015|1221|101.160.0.0/11|AU|apnic|2010-12-23|ASN-TELSTRA Telstra Corporation Ltd, AU
101.188.131.180|/PXN:1.0.4.1/|60016|1221|101.160.0.0/11|AU|apnic|2010-12-23|ASN-TELSTRA Telstra Corporation Ltd, AU
103.212.224.204|/PXN:1.0.4.1/|60014|137409|103.212.224.0/24|NZ|apnic|2016-04-01|GSLNETWORKS-AS-AP GSL Networks Pty LTD, AU
103.212.224.204|/PXN:1.0.4.1/|60015|137409|103.212.224.0/24|NZ|apnic|2016-04-01|GSLNETWORKS-AS-AP GSL Networks Pty LTD, AU
103.212.224.204|/PXN:1.0.4.1/|60016|137409|103.212.224.0/24|NZ|apnic|2016-04-01|GSLNETWORKS-AS-AP GSL Networks Pty LTD, AU
103.217.167.228|/Satoshi:1.0.2/|60013|9310|103.217.167.0/24|AU|apnic|2016-05-09|MYREPUBLICNETS-AS-AP MYREPUBLIC PTY LTD, AU
104.171.122.106|/PXN:1.0.4.1/|60014|31863|104.171.112.0/20|US|arin|2014-09-10|DACEN-2, US
104.171.122.106|/PXN:1.0.4.1/|60015|31863|104.171.112.0/20|US|arin|2014-09-10|DACEN-2, US
104.171.122.106|/PXN:1.0.4.1/|60016|31863|104.171.112.0/20|US|arin|2014-09-10|DACEN-2, US
104.171.122.109|/PXN:1.0.4.1/|60014|31863|104.171.112.0/20|US|arin|2014-09-10|DACEN-2, US
104.171.122.109|/PXN:1.0.4.1/|60015|31863|104.171.112.0/20|US|arin|2014-09-10|DACEN-2, US
104.171.122.109|/PXN:1.0.4.1/|60016|31863|104.171.112.0/20|US|arin|2014-09-10|DACEN-2, US
104.182.54.205|/PXN:1.0.4.1/|60014|7018|104.176.0.0/12|US|arin|2014-08-12|ATT-INTERNET4, US
104.182.54.205|/PXN:1.0.4.1/|60015|7018|104.176.0.0/12|US|arin|2014-08-12|ATT-INTERNET4, US
104.182.54.205|/PXN:1.0.4.1/|60016|7018|104.176.0.0/12|US|arin|2014-08-12|ATT-INTERNET4, US
106.69.169.4|/PXN:1.0.4.1/|60014|7545|106.69.160.0/19|AU|apnic|2011-04-04|TPG-INTERNET-AP TPG Telecom Limited, AU
106.69.169.4|/PXN:1.0.4.1/|60015|7545|106.69.160.0/19|AU|apnic|2011-04-04|TPG-INTERNET-AP TPG Telecom Limited, AU
106.69.169.4|/PXN:1.0.4.1/|60016|7545|106.69.160.0/19|AU|apnic|2011-04-04|TPG-INTERNET-AP TPG Telecom Limited, AU
109.159.83.167|/PXN:1.0.4.1/|60014|2856|109.144.0.0/12|GB|ripencc|2009-08-06|BT-UK-AS BTnet UK Regional network, GB
109.159.83.167|/PXN:1.0.4.1/|60015|2856|109.144.0.0/12|GB|ripencc|2009-08-06|BT-UK-AS BTnet UK Regional network, GB
109.159.83.167|/PXN:1.0.4.1/|60016|2856|109.144.0.0/12|GB|ripencc|2009-08-06|BT-UK-AS BTnet UK Regional network, GB
109.86.58.79|/PXN:1.0.4.1/|60014|13188|109.86.58.0/24|UA|ripencc|2009-08-20|TRIOLAN, UA
109.86.58.79|/PXN:1.0.4.1/|60015|13188|109.86.58.0/24|UA|ripencc|2009-08-20|TRIOLAN, UA
109.86.58.79|/PXN:1.0.4.1/|60016|13188|109.86.58.0/24|UA|ripencc|2009-08-20|TRIOLAN, UA
109.93.226.102|/PXN:1.0.4.1/|60014|8400|109.92.0.0/15|RS|ripencc|2009-09-21|TELEKOM-AS, RS
109.93.226.102|/PXN:1.0.4.1/|60015|8400|109.92.0.0/15|RS|ripencc|2009-09-21|TELEKOM-AS, RS
109.93.226.102|/PXN:1.0.4.1/|60016|8400|109.92.0.0/15|RS|ripencc|2009-09-21|TELEKOM-AS, RS
110.144.153.238|/PXN:1.0.4.1/|60014|1221|110.144.0.0/13|AU|apnic|2009-04-20|ASN-TELSTRA Telstra Corporation Ltd, AU
110.144.153.238|/PXN:1.0.4.1/|60015|1221|110.144.0.0/13|AU|apnic|2009-04-20|ASN-TELSTRA Telstra Corporation Ltd, AU
110.144.153.238|/PXN:1.0.4.1/|60016|1221|110.144.0.0/13|AU|apnic|2009-04-20|ASN-TELSTRA Telstra Corporation Ltd, AU
110.147.214.180|/Satoshi:1.0.4/|60013|1221|110.144.0.0/13|AU|apnic|2009-04-20|ASN-TELSTRA Telstra Corporation Ltd, AU
