# https://chainz.cryptoid.info/ and whois results
# Photon
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.156.255.123|/Photon:0.8.9.7/|70001|20473|104.156.254.0/23|US|arin|2014-07-22|AS-CHOOPA, US
104.238.177.36|/Photon:0.8.9.7/|70001|20473|104.238.176.0/23|US|arin|2014-11-13|AS-CHOOPA, US
107.170.219.99|/Photon:0.8.9.3/|70001|14061|107.170.192.0/18|US|arin|2013-12-30|DIGITALOCEAN-ASN, US
108.61.214.31|/Photon:0.8.9.7/|70001|20473|108.61.214.0/24|US|arin|2010-12-08|AS-CHOOPA, US
110.175.108.170|/Photon:0.8.9.7/|70001|7545|110.175.108.0/24|AU|apnic|2009-05-08|TPG-INTERNET-AP TPG Telecom Limited, AU
145.94.5.190|/Photon:0.8.9.7/|70001|1128|145.94.0.0/16|NL|ripencc|1993-09-01|TUDELFT-NL DTO TUDELFT, The Netherlands - AS, NL
146.185.135.24|/Photon:0.8.9.7/|70001|14061|146.185.128.0/19|NL|ripencc|2011-07-13|DIGITALOCEAN-ASN, US
149.28.19.72|/Photon:0.8.9.7/|70001|20473|149.28.16.0/20|US|arin|2018-05-04|AS-CHOOPA, US
176.9.19.86|/Photon:0.8.9.6/|70001|24940|176.9.0.0/16|DE|ripencc|2011-05-17|HETZNER-AS, DE
178.63.11.230|/Photon:0.8.9.7/|70001|24940|178.63.0.0/16|DE|ripencc|2010-03-02|HETZNER-AS, DE
178.79.93.193|/Photon:0.8.9.7/|70001|3212|178.79.64.0/18|SI|ripencc|2010-05-07|TELEMACH Broadband Access & Carrier Services, SI
186.56.1.66|/Photon:0.8.9.5/|70001|22927|186.56.0.0/18|AR|lacnic|2008-08-04|Telefonica de Argentina, AR
23.95.229.144|/Photon:0.8.9.7/|70001|36352|23.95.224.0/20|US|arin|2013-08-16|AS-COLOCROSSING, US
24.90.132.231|/Photon:0.8.9.7/|70001|12271|24.90.128.0/19|US|arin|2001-07-12|TWC-12271-NYC, US
31.201.86.52|/Photon:0.8.9.6/|70001|50266|31.201.0.0/16|NL|ripencc|2011-04-28|TMOBILE-THUIS, NL
45.32.69.42|/Photon:0.8.9.7/|70001|20473|45.32.64.0/19|US|arin|2015-02-17|AS-CHOOPA, US
45.76.42.149|/Photon:0.8.9.7/|70001|20473|45.76.40.0/22|US|arin|2015-04-24|AS-CHOOPA, US
45.77.246.197|/Photon:0.8.9.7/|70001|20473|45.77.240.0/20|US|arin|2015-04-24|AS-CHOOPA, US
46.101.235.143|/Photon:0.8.9.7/|70001|14061|46.101.128.0/17|NL|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
76.174.222.183|/Photon:0.8.9.6/|70001|20001|76.168.0.0/13|US|arin|2006-07-26|TWC-20001-PACWEST, US
80.114.174.211|/Photon:0.8.9.7/|70001|33915|80.114.160.0/19|NL|ripencc|2001-07-25|TNF-AS, NL
80.240.20.113|/Photon:0.8.9.7/|70001|20473|80.240.16.0/20|DE|ripencc|2005-08-12|AS-CHOOPA, US
98.16.16.57|/Photon:0.8.9.7/|70001|7029|98.16.0.0/13|US|arin|2007-02-05|WINDSTREAM, US
