# https://chainz.cryptoid.info/ and whois results
# Phore
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
1.41.198.211|/Phore Core:1.6.5/|70007|4804|1.41.0.0/16|AU|apnic|2010-05-24|MPX-AS Microplex PTY LTD, AU
108.61.127.196|/Phore Core:1.6.1/|70007|20473|108.61.126.0/23|US|arin|2010-12-08|AS-CHOOPA, US
108.61.229.55|/Phore Core:1.6.3/|70007|20473|108.61.228.0/23|US|arin|2010-12-08|AS-CHOOPA, US
116.202.35.157|/Phore Core:1.6.5/|70007|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
136.244.65.204|/Phore Core:1.6.3/|70007|20473|136.244.64.0/20|US|arin|2019-04-08|AS-CHOOPA, US
148.71.213.240|/Phore Core:1.6.3/|70007|12353|148.71.0.0/16|PT|ripencc|1991-04-11|VODAFONE-PT Vodafone Portugal, PT
149.248.36.230|/Phore Core:1.6.3/|70007|20473|149.248.32.0/20|US|arin|2018-07-03|AS-CHOOPA, US
149.248.53.95|/Phore Core:1.6.3/|70007|20473|149.248.48.0/20|US|arin|2018-07-03|AS-CHOOPA, US
149.28.117.225|/Phore Core:1.6.1/|70007|20473|149.28.112.0/20|US|arin|2018-05-04|AS-CHOOPA, US
149.28.138.206|/Phore Core:1.6.1/|70007|20473|149.28.128.0/19|US|arin|2018-05-04|AS-CHOOPA, US
149.28.150.66|/Phore Core:1.6.3/|70007|20473|149.28.128.0/19|US|arin|2018-05-04|AS-CHOOPA, US
164.68.109.254|/Phore Core:1.6.3/|70007|51167|164.68.108.0/23|DE|ripencc|1992-12-17|CONTABO, DE
167.86.123.170|/Phore Core:1.6.3/|70007|51167|167.86.122.0/23|DE|ripencc|1993-05-14|CONTABO, DE
173.249.47.221|/Phore Core:1.6.5/|70007|51167|173.249.46.0/23|DE|ripencc|2010-05-26|CONTABO, DE
178.19.255.142|/Phore Core:1.6.3/|70007|47236|178.19.255.0/24|RU|ripencc|2010-05-25|CITYLINK-AS, RU
180.150.58.167|/Phore Core:1.6.5/|70007|4764|180.150.58.0/24|AU|apnic|2009-09-01|WIDEBAND-AS-AP Aussie Broadband, AU
184.91.72.6|/Phore Core:1.6.4/|70007|33363|184.88.0.0/14|US|arin|2010-03-31|BHN-33363, US
185.233.105.3|/Phore Core:1.6.1/|70007|197540|185.233.104.0/22|DE|ripencc|2017-11-23|NETCUP-AS netcup GmbH, DE
185.83.110.40|/Phore Core:1.6.3/|70007|64462|185.83.110.0/24|CH|ripencc|2015-01-08|WOLFSEC-AS, CH
185.83.110.42|/Phore Core:1.6.3/|70007|64462|185.83.110.0/24|CH|ripencc|2015-01-08|WOLFSEC-AS, CH
188.166.4.182|/Phore Core:1.6.5/|70007|14061|188.166.0.0/18|NL|ripencc|2009-06-05|DIGITALOCEAN-ASN, US
190.184.199.4|/Phore Core:1.6.5/|70007|28110|190.184.199.0/24|CR|lacnic|2012-01-19|RACK LODGE S.A., CR
193.37.213.65|/Phore Core:1.6.3/|70007|44901|193.37.213.0/24|BG|ripencc|2018-10-22|BELCLOUD, BG
193.37.214.68|/Phore Core:1.6.5/|70007|44901|193.37.214.0/24|BG|ripencc|2018-10-22|BELCLOUD, BG
207.148.68.88|/Phore Core:1.6.3/|70007|20473|207.148.64.0/20|US|apnic|1996-06-07|AS-CHOOPA, US
207.148.86.36|/Phore Core:1.6.3/|70007|20473|207.148.80.0/21|US|apnic|1996-06-07|AS-CHOOPA, US
207.180.245.28|/Phore Core:1.6.3/|70007|51167|207.180.244.0/23|DE|ripencc|1996-08-21|CONTABO, DE
207.246.101.19|/Phore Core:1.6.1/|70007|20473|207.246.96.0/20|US|arin|2017-10-13|AS-CHOOPA, US
207.246.110.248|/Phore Core:1.6.3/|70007|20473|207.246.96.0/20|US|arin|2017-10-13|AS-CHOOPA, US
217.61.16.33|/Phore Core:1.6.3/|70007|199883|217.61.16.0/21|IT|ripencc|2000-11-01|ARUBACLOUDLTD-ASN, GB
218.230.109.129|/Phore Core:1.6.3/|70007|2516|218.230.0.0/17|JP|apnic|2001-11-15|KDDI KDDI CORPORATION, JP
37.221.195.138|/Phore Core:1.6.1/|70007|197540|37.221.192.0/21|DE|ripencc|2012-04-10|NETCUP-AS netcup GmbH, DE
37.47.163.205|/Phore Core:1.6.3/|70007|5617|37.47.0.0/16|PL|ripencc|2012-01-11|TPNET, PL
45.32.121.202|/Phore Core:1.6.3/|70007|20473|45.32.96.0/19|US|arin|2015-02-17|AS-CHOOPA, US
45.63.89.210|/Phore Core:1.6.3/|70007|20473|45.63.80.0/20|US|arin|2015-01-02|AS-CHOOPA, US
45.76.139.16|/Phore Core:1.6.3/|70007|20473|45.76.128.0/20|US|arin|2015-04-24|AS-CHOOPA, US
45.76.30.47|/Phore Core:1.6.1/|70007|20473|45.76.16.0/20|US|arin|2015-04-24|AS-CHOOPA, US
45.77.213.31|/Phore Core:1.6.1/|70007|20473|45.77.208.0/21|US|arin|2015-04-24|AS-CHOOPA, US
45.77.90.8|/Phore Core:1.6.3/|70007|20473|45.77.88.0/22|US|arin|2015-04-24|AS-CHOOPA, US
45.79.68.234|/Phore Core:1.6.1/|70007|63949|45.79.64.0/19|US|arin|2015-04-29|LINODE-AP Linode, LLC, US
46.232.248.130|/Phore Core:1.6.1/|70007|197540|46.232.248.0/22|DE|ripencc|2018-06-15|NETCUP-AS netcup GmbH, DE
46.232.248.166|/Phore Core:1.6.1/|70007|197540|46.232.248.0/22|DE|ripencc|2018-06-15|NETCUP-AS netcup GmbH, DE
46.232.248.20|/Phore Core:1.6.1/|70007|197540|46.232.248.0/22|DE|ripencc|2018-06-15|NETCUP-AS netcup GmbH, DE
46.232.248.68|/Phore Core:1.6.1/|70007|197540|46.232.248.0/22|DE|ripencc|2018-06-15|NETCUP-AS netcup GmbH, DE
46.232.248.73|/Phore Core:1.6.1/|70007|197540|46.232.248.0/22|DE|ripencc|2018-06-15|NETCUP-AS netcup GmbH, DE
46.232.249.10|/Phore Core:1.6.1/|70007|197540|46.232.248.0/22|DE|ripencc|2018-06-15|NETCUP-AS netcup GmbH, DE
46.38.239.232|/Phore Core:1.6.1/|70007|197540|46.38.224.0/20|DE|ripencc|2010-12-02|NETCUP-AS netcup GmbH, DE
5.189.162.98|/Phore Core:1.6.1/|70007|51167|5.189.160.0/20|DE|ripencc|2012-08-09|CONTABO, DE
5.189.189.217|/Phore Core:1.6.3/|70007|51167|5.189.176.0/20|DE|ripencc|2012-08-09|CONTABO, DE
62.171.148.176|/Phore Core:1.6.3/|70007|51167|62.171.148.0/23|DE|ripencc|2000-08-18|CONTABO, DE
62.171.150.111|/Phore Core:1.6.3/|70007|51167|62.171.150.0/23|DE|ripencc|2000-08-18|CONTABO, DE
66.42.117.118|/Phore Core:1.6.1/|70007|20473|66.42.112.0/20|US|arin|2018-05-07|AS-CHOOPA, US
76.176.154.153|/Phore Core:1.6.4/|70007|20001|76.176.0.0/16|US|arin|2006-07-26|TWC-20001-PACWEST, US
78.55.138.119|/Phore Core:1.6.4/|70007|6805|78.48.0.0/13|DE|ripencc|2007-02-28|TDDE-ASN1, DE
78.55.237.90|/Phore Core:1.6.4/|70007|6805|78.48.0.0/13|DE|ripencc|2007-02-28|TDDE-ASN1, DE
79.140.3.46|/Phore Core:1.6.5/|70007|6876|79.140.0.0/20|UA|ripencc|2007-09-18|TENET-AS, UA
80.211.41.25|/Phore Core:1.6.1/|70007|31034|80.211.0.0/17|IT|ripencc|2001-12-12|ARUBA-ASN, IT
80.211.55.119|/Phore Core:1.6.5/|70007|31034|80.211.0.0/17|IT|ripencc|2001-12-12|ARUBA-ASN, IT
80.221.35.27|/Phore Core:1.6.1/|70007|1759|80.220.0.0/14|FI|ripencc|2002-03-27|TSF-IP-CORE Telia Finland Oyj, EU
84.105.1.113|/Phore Core:1.6.3/|70007|33915|84.104.0.0/15|NL|ripencc|2004-04-26|TNF-AS, NL
86.2.52.167|/Phore Core:1.6.4/|70007|5089|86.2.0.0/15|GB|ripencc|2005-03-29|NTL, GB
88.67.157.114|/Phore Core:1.6.3/|70007|3209|88.64.0.0/12|DE|ripencc|2005-08-15|VODANET International IP-Backbone of Vodafone, DE
92.167.127.88|/Phore Core:1.6.5/|70007|3215|92.167.0.0/17|FR|ripencc|2007-07-12|France Telecom - Orange, FR
94.130.108.117|/Phore Core:1.6.3/|70007|24940|94.130.0.0/16|DE|ripencc|2008-06-23|HETZNER-AS, DE
94.16.118.174|/Phore Core:1.6.1/|70007|197540|94.16.112.0/21|DE|ripencc|2008-06-05|NETCUP-AS netcup GmbH, DE
94.16.120.179|/Phore Core:1.6.3/|70007|197540|94.16.120.0/22|DE|ripencc|2008-06-05|NETCUP-AS netcup GmbH, DE
94.16.122.167|/Phore Core:1.6.1/|70007|197540|94.16.120.0/22|DE|ripencc|2008-06-05|NETCUP-AS netcup GmbH, DE
94.16.123.147|/Phore Core:1.6.1/|70007|197540|94.16.120.0/22|DE|ripencc|2008-06-05|NETCUP-AS netcup GmbH, DE
95.131.157.68|/Phore Core:1.6.3/|70007|6894|95.131.152.0/21|GB|ripencc|2009-03-31|KDDI-EUROPE KDDI Europe Ltd., GB
95.179.160.132|/Phore Core:1.6.3/|70007|20473|95.179.160.0/20|NL|ripencc|2009-01-22|AS-CHOOPA, US
95.179.215.43|/Phore Core:1.6.1/|70007|20473|95.179.208.0/20|NL|ripencc|2009-01-22|AS-CHOOPA, US
95.216.4.21|/Phore Core:1.6.3/|70007|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.217.118.207|/Phore Core:1.6.5/|70007|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
96.54.44.47|/Phore Core:1.6.3/|70007|6327|96.54.44.0/22|CA|arin|2008-01-07|SHAW, CA
