# https://chainz.cryptoid.info/ and whois results
# PIVX
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
100.34.253.242|/PIVX Core:5.0.1/|70921|701|100.34.0.0/16|US|arin|2010-12-28|UUNET, US
100.35.80.218|/PIVX Core:5.0.99/|70921|701|100.35.0.0/16|US|arin|2010-12-28|UUNET, US
101.100.174.128|/PIVX Core:5.0.1/|70921|56300|101.100.174.0/24|SG|apnic|2010-12-22|MYREPUBLIC-SG MyRepublic Ltd., SG
104.128.239.212|/PIVX Core:5.0.1/|70921|7489|104.128.239.0/24|US|arin|2014-06-04|HOSTUS-GLOBAL-AS HostUS, HK
104.128.239.55|/PIVX Core:5.0.1/|70921|7489|104.128.239.0/24|US|arin|2014-06-04|HOSTUS-GLOBAL-AS HostUS, HK
104.2.203.249|/PIVX Core:5.0.1/|70921|7018|104.0.0.0/12|US|arin|2014-01-16|ATT-INTERNET4, US
104.220.1.61|/PIVX Core:5.0.1/|70921|11404|104.220.0.0/18|US|arin|2014-10-07|AS-WAVE-1, US
104.238.45.4|/PIVX Core:5.0.1/|70921|36351|104.238.45.0/24|US|arin|2014-12-03|SOFTLAYER, US
107.158.155.187|/PIVX Core:5.0.1/|70921|62904|107.158.152.0/22|US|arin|2013-12-03|EONIX-COMMUNICATIONS-ASBLOCK-62904, US
107.198.4.7|/PIVX Core:5.0.1/|70921|7018|107.192.0.0/12|US|arin|2012-04-25|ATT-INTERNET4, US
108.168.110.177|/PIVX Core:5.0.1/|70921|40788|108.168.0.0/17|CA|arin|2011-12-29|START-, CA
108.61.123.193|/PIVX Core:5.0.1/|70921|20473|108.61.122.0/23|US|arin|2010-12-08|AS-CHOOPA, US
109.105.39.19|/PIVX Core:5.0.1/|70921|12570|109.105.32.0/19|CZ|ripencc|2009-09-14|ITSELF Network and internet service provider., CZ
109.159.120.59|/PIVX Core:4.3.99/|70921|2856|109.144.0.0/12|GB|ripencc|2009-08-06|BT-UK-AS BTnet UK Regional network, GB
109.159.75.209|/PIVX Core:4.3.99/|70921|2856|109.144.0.0/12|GB|ripencc|2009-08-06|BT-UK-AS BTnet UK Regional network, GB
109.159.95.35|/PIVX Core:4.3.99/|70921|2856|109.144.0.0/12|GB|ripencc|2009-08-06|BT-UK-AS BTnet UK Regional network, GB
109.183.21.21|/PIVX Core:5.0.1/|70921|12767|109.183.0.0/17|CZ|ripencc|2009-09-29|PRAGONET-AS, CZ
109.209.23.71|/PIVX Core:5.0.1/|70921|3215|109.209.0.0/17|FR|ripencc|2009-10-07|France Telecom - Orange, FR
110.232.80.194|/PIVX Core:5.0.1/|70921|23679|110.232.80.0/24|ID|apnic|2009-05-18|NUSANET-AS-ID Media Antar Nusa PT., ID
116.126.141.51|/PIVX Core:5.0.99/|70921|9318|116.126.0.0/16|KR|apnic|2007-05-21|SKB-AS SK Broadband Co Ltd, KR
116.127.164.192|/PIVX Core:5.0.1/|70921|9318|116.127.0.0/16|KR|apnic|2007-05-21|SKB-AS SK Broadband Co Ltd, KR
116.127.164.205|/PIVX Core:5.0.1/|70921|9318|116.127.0.0/16|KR|apnic|2007-05-21|SKB-AS SK Broadband Co Ltd, KR
116.203.131.14|/PIVX Core:5.0.1/|70921|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.206.231.188|/PIVX Core:5.0.1/|70921|133480|116.206.231.0/24|AU|apnic|2017-04-03|INTERGRID-AS-AP Intergrid Group Pty Ltd, AU
116.246.31.162|/PIVX Core:5.0.1/|70921|4812|116.246.0.0/19|CN|apnic|2007-04-04|CHINANET-SH-AP China Telecom (Group), CN
12.249.49.42|/PIVX Core:5.0.1/|70921|7018|12.128.0.0/9|US|arin|1983-08-23|ATT-INTERNET4, US
128.0.187.174|/PIVX Core:5.0.1/|70921|30764|128.0.176.0/20|CZ|ripencc|2012-09-14|PODA-AS, CZ
128.199.27.164|/PIVX Core:5.0.1/|70921|14061|128.199.16.0/20|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US
130.61.184.194|/PIVX Core:5.0.1/|70921|31898|130.61.128.0/17|US|arin|2016-10-31|ORACLE-BMC-31898, US
134.209.188.222|/PIVX Core:5.0.1/|70921|14061|134.209.176.0/20|US|arin|2018-10-18|DIGITALOCEAN-ASN, US
135.125.8.217|/PIVX Core:5.0.1/|70921|16276|135.125.0.0/17|FR|ripencc|2000-10-11|OVH, FR
135.181.164.190|/PIVX Core:5.0.1/|70921|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE
135.181.204.3|/PIVX Core:5.0.1/|70921|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE
136.243.138.87|/PIVX Core:5.0.1/|70921|24940|136.243.0.0/16|DE|ripencc|2004-04-14|HETZNER-AS, DE
136.243.15.70|/PIVX Core:5.0.1/|70921|24940|136.243.0.0/16|DE|ripencc|2004-04-14|HETZNER-AS, DE
136.36.152.125|/PIVX Core:5.0.1/|70921|16591|136.36.144.0/20|US|arin|2015-10-06|GOOGLE-FIBER, US
138.68.153.211|/PIVX Core:5.0.1/|70921|14061|138.68.144.0/20|US|arin|2016-01-26|DIGITALOCEAN-ASN, US
139.59.0.205|/PIVX Core:5.0.1/|70921|14061|139.59.0.0/20|SG|apnic|1990-06-27|DIGITALOCEAN-ASN, US
14.201.76.182|/PIVX Core:5.0.1/|70921|7545|14.201.76.0/24|AU|apnic|2010-09-14|TPG-INTERNET-AP TPG Telecom Limited, AU
140.238.223.19|/PIVX Core:5.0.1/|70921|31898|140.238.208.0/20|US|arin|2016-10-31|ORACLE-BMC-31898, US
144.48.39.92|/PIVX Core:5.0.1/|70921|136557|144.48.39.0/24|IN|apnic|2016-04-07|HOST-AS-AP Host Universal Pty Ltd, AU
144.76.85.226|/PIVX Core:5.0.1/|70921|24940|144.76.0.0/16|DE|ripencc|1990-11-16|HETZNER-AS, DE
144.91.106.185|/PIVX Core:5.0.1/|70921|51167|144.91.106.0/23|DE|ripencc|1990-11-20|CONTABO, DE
144.91.109.221|/PIVX Core:5.0.1/|70921|51167|144.91.108.0/23|DE|ripencc|1990-11-20|CONTABO, DE
144.91.112.188|/PIVX Core:5.0.1/|70921|51167|144.91.112.0/23|DE|ripencc|1990-11-20|CONTABO, DE
144.91.112.248|/PIVX Core:5.0.1/|70921|51167|144.91.112.0/23|DE|ripencc|1990-11-20|CONTABO, DE
144.91.113.160|/PIVX Core:5.0.1/|70921|51167|144.91.112.0/23|DE|ripencc|1990-11-20|CONTABO, DE
144.91.114.231|/PIVX Core:5.0.1/|70921|51167|144.91.114.0/23|DE|ripencc|1990-11-20|CONTABO, DE
144.91.115.119|/PIVX Core:5.0.1/|70921|51167|144.91.114.0/23|DE|ripencc|1990-11-20|CONTABO, DE
