# https://chainz.cryptoid.info/ and whois results
# PandaCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
1.4.230.118|/Pandoshi:3.0.6.2/|70002|23969|1.4.224.0/20|TH|apnic|2011-04-08|TOT-NET TOT Public Company Limited, TH
104.200.16.230|/Pandoshi:3.0.7.2/|70002|63949|104.200.16.0/21|US|arin|2014-09-26|LINODE-AP Linode, LLC, US
107.139.107.135|/Pandoshi:3.0.5.7/|70002|7018|107.128.0.0/12|US|arin|2013-10-23|ATT-INTERNET4, US
107.174.34.77|/Pandoshi:3.0.7.1/|70002|36352|107.174.32.0/21|US|arin|2013-12-27|AS-COLOCROSSING, US
110.170.117.114|/Pandoshi:3.0.6.4/|70002|7470|110.170.96.0/19|TH|apnic|2009-04-23|TRUEINTERNET-AS-AP TRUE INTERNET Co.,Ltd., TH
119.224.111.25|/Pandoshi:3.0.6.2/|70002|9790|119.224.0.0/17|NZ|apnic|2008-02-26|VOCUSGROUPNZ VocusGroup, NZ
122.57.1.232|/Pandoshi:3.0.6.4/|70002|4771|122.57.0.0/21|NZ|apnic|2006-11-01|SPARKNZ Spark New Zealand Trading Ltd., NZ
14.207.84.124|/PandacoinJ:0.12-SNAPSHOT/Pandacoin Wallet:0.12c-test/|70001|45629|14.207.0.0/16|TH|apnic|2010-09-20|JASTEL-NETWORK-TH-AP JasTel Network International Gateway, TH
157.49.192.75|/PandacoinJ:0.12-SNAPSHOT/Pandacoin Wallet:0.11/|70001|55836|157.49.0.0/16|IN|apnic|1992-01-29|RELIANCEJIO-IN Reliance Jio Infocomm Limited, IN
162.62.21.41|/ViaBTC:bitpeer.0.3.0/|70015|132203|162.62.20.0/23|SG|apnic|1992-08-11|TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN
171.101.165.28|/Pandoshi:3.0.6.4/|70002|17552|171.101.128.0/18|TH|apnic|2011-03-07|TRUE-AS-AP True Internet Co.,Ltd., TH
172.104.100.25|/Pandoshi:3.0.7.1/|70002|63949|172.104.96.0/19|US|arin|2015-06-19|LINODE-AP Linode, LLC, US
172.104.178.96|/Pandoshi:3.0.7.1/|70002|63949|172.104.160.0/19|US|arin|2015-06-19|LINODE-AP Linode, LLC, US
172.245.245.8|/Pandoshi:3.0.7.2/|70002|36352|172.245.244.0/22|US|arin|2013-04-22|AS-COLOCROSSING, US
173.230.142.84|/Pandoshi:3.0.7.1/|70002|63949|173.230.128.0/20|US|arin|2010-03-15|LINODE-AP Linode, LLC, US
173.254.204.118|/Pandoshi:2.0.2/|70001|8100|173.254.192.0/18|US|arin|2010-10-19|ASN-QUADRANET-GLOBAL, US
182.232.140.119|/Pandoshi:3.0.7.2/|70002|131445|182.232.140.0/22|TH|apnic|2010-04-22|AIS3G-2100-AS-AP Advance Wireless Network, TH
182.232.63.227|/PandacoinJ:0.12-SNAPSHOT/Pandacoin Wallet:0.12c-test/|70001|131445|182.232.60.0/22|TH|apnic|2010-04-22|AIS3G-2100-AS-AP Advance Wireless Network, TH
184.166.191.62|/Pandoshi:3.0.5.9/|70002|33588|184.166.0.0/15|US|arin|2010-07-28|BRESNAN-33588, US
184.66.250.228|/Pandoshi:3.0.7.1/|70002|6327|184.66.248.0/22|CA|arin|2010-01-15|SHAW, CA
185.117.74.45|/Pandoshi:2.0.2/|70001|60117|185.117.74.0/24|NL|ripencc|2015-09-14|HS, AE
185.173.37.70|/Pandoshi:3.0.7.1/|70002|50473|185.173.36.0/22|RU|ripencc|2016-10-14|ECO-AS, RU
188.166.62.180|/blockchair.com/dogecoin/nodes/|70015|14061|188.166.0.0/18|NL|ripencc|2009-06-05|DIGITALOCEAN-ASN, US
188.2.132.219|/Pandoshi:3.0.7.1/|70002|31042|188.2.128.0/17|RS|ripencc|2009-02-12|SERBIA-BROADBAND-AS Serbia BroadBand-Srpske Kablovske mreze d.o.o., RS
188.214.132.85|/Pandoshi:3.0.2/|70002|16125|188.214.128.0/21|LT|ripencc|2009-05-08|CHERRYSERVERS1-AS, LT
188.79.102.118|/Pandoshi:3.0.7.2/|70002|12479|188.79.100.0/22|ES|ripencc|2011-01-04|UNI2-AS, ES
