# https://chainz.cryptoid.info/ and whois results
# Pesetacoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
105.67.130.220|/Satoshi:0.9.1/|70003|36884|105.67.130.0/24|MA|afrinic|2014-01-27|MAROCCONNECT, MA
13.91.228.118|/Satoshi:0.8.8/|70003|8075|13.64.0.0/11|US|arin|2015-03-26|MICROSOFT-CORP-MSN-AS-BLOCK, US
144.202.76.5|/Satoshi:0.9.1/|70003|20473|144.202.64.0/20|US|arin|2018-02-05|AS-CHOOPA, US
144.76.172.181|/Satoshi:0.9.1/|70003|24940|144.76.0.0/16|DE|ripencc|1990-11-16|HETZNER-AS, DE
144.76.222.140|/Satoshi:0.9.1/|70003|24940|144.76.0.0/16|DE|ripencc|1990-11-16|HETZNER-AS, DE
157.161.128.58|/Satoshi:0.8.8/|70003|6772|157.161.0.0/16|CH|ripencc|2004-04-07|IMPNET-AS, CH
173.249.55.115|/Satoshi:0.9.1/|70003|51167|173.249.54.0/23|DE|ripencc|2010-05-26|CONTABO, DE
186.69.101.137|/Satoshi:0.9.1/|70003|14522|186.69.96.0/19|EC|lacnic|2009-04-27|Satnet, EC
197.253.210.103|/Satoshi:0.9.1/|70003|36925|197.253.192.0/19|MA|afrinic|2011-03-23|ASMedi, MA
208.38.200.241|/Satoshi:0.9.1/|70003|393436|208.38.200.0/23|US|arin|2010-02-23|SLVREC, US
209.94.191.212|/Satoshi:0.9.1/|70003|396426|209.94.191.0/24|US|arin|1997-07-14|CYBERONEDATA, US
31.25.241.224|/Satoshi:0.9.1/|70003|39741|31.25.241.0/24|RU|ripencc|2011-03-10|DCE-AS, RU
45.76.92.111|/Satoshi:0.9.1/|70003|20473|45.76.80.0/20|US|arin|2015-04-24|AS-CHOOPA, US
46.101.235.143|/Satoshi:0.9.1/|70003|14061|46.101.128.0/17|US|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
5.188.104.245|/Satoshi:0.9.1/|70003|199860|5.188.104.0/23|RU|ripencc|2012-08-09|SDN-AS, RU
52.27.168.5|/Satoshi:0.8.8/|70003|16509|52.24.0.0/14|US|arin|1991-12-19|AMAZON-02, US
66.151.242.154|/Satoshi:0.9.1/|70003|63018|66.151.242.0/24|US|arin|2001-07-13|DEDICATED, US
67.43.1.184|/Satoshi:0.9.1/|70003|32244|67.43.0.0/20|US|arin|2004-03-08|LIQUIDWEB, US
70.20.216.235|/Satoshi:0.9.1/|70003|701|70.20.128.0/17|US|arin|2004-03-30|UUNET, US
77.229.105.91|/Satoshi:0.9.1/|70003|12430|77.224.0.0/13|ES|ripencc|2006-12-06|VODAFONE_ES, ES
80.65.23.139|/Satoshi:0.9.1/|70003|31257|80.65.16.0/21|RU|ripencc|2004-03-18|ORIONNET-KRK, RU
83.221.211.116|/Satoshi:0.9.1/|70003|21479|83.221.192.0/19|RU|ripencc|2004-04-15|ROSTOV-TELEGRAF-AS, RU
84.120.30.232|/Satoshi:0.9.1/|70003|6739|84.120.0.0/16|ES|ripencc|2004-04-15|ONO-AS Cableuropa - ONO, ES
84.121.180.8|/Satoshi:0.9.1/|70003|6739|84.121.0.0/16|ES|ripencc|2004-04-15|ONO-AS Cableuropa - ONO, ES
85.15.179.171|/Satoshi:0.9.1/|70003|12389|85.15.128.0/18|RU|ripencc|2005-04-26|ROSTELECOM-AS, RU
