# https://chainz.cryptoid.info/ and whois results
# PutinCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
109.187.185.150|/Satoshi:1.0.0/|60013|28812|109.187.0.0/16|RU|ripencc|2009-10-07|JSCBIS-AS, RU
135.181.73.13|/Satoshi:1.0.0/|60013|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE
149.248.17.139|/Satoshi:1.0.0/|60013|20473|149.248.0.0/19|US|arin|2018-07-03|AS-CHOOPA, US
158.51.97.132|/Satoshi:1.0.0/|60013|46844|158.51.96.0/23|US|arin|2020-01-10|ST-BGP, US
176.52.33.134|/Satoshi:1.0.0/|60013|29194|176.52.32.0/19|RU|ripencc|2011-05-25|ASN-TVT Kazan, Tatarstan, Russia, RU
176.63.30.217|/Satoshi:1.0.0/|60013|6830|176.63.0.0/17|HU|ripencc|2011-06-08|LIBERTYGLOBAL Liberty Global (formerly UPC Broadband Holding, aka AORTA), AT
178.165.128.235|/Satoshi:1.0.0/|60013|25255|178.165.128.0/20|AT|ripencc|2010-02-23|H3G-AUSTRIA-AS ==) TELE2 AUSTRIA (==, AT
178.165.129.81|/Satoshi:1.0.0/|60013|25255|178.165.128.0/20|AT|ripencc|2010-02-23|H3G-AUSTRIA-AS ==) TELE2 AUSTRIA (==, AT
178.79.169.181|/Satoshi:1.0.0/|60013|63949|178.79.128.0/18|GB|ripencc|2010-05-10|LINODE-AP Linode, LLC, US
178.79.170.166|/Satoshi:1.0.0/|60013|63949|178.79.128.0/18|GB|ripencc|2010-05-10|LINODE-AP Linode, LLC, US
181.118.145.82|/Satoshi:1.0.0/|60013|27951|181.118.145.0/24|CO|lacnic|2013-10-22|Media Commerce Partners S.A, CO
181.56.35.182|/Satoshi:1.0.0/|60013|10620|181.56.32.0/22|CO|lacnic|2012-10-16|Telmex Colombia S.A., CO
185.223.127.148|/Satoshi:1.0.0/|60013|205277|185.223.126.0/23|AM|ripencc|2017-10-02|INTERLINK, AM
188.162.38.171|/Satoshi:1.0.0/|60013|31133|188.162.32.0/19|RU|ripencc|2009-05-20|MF-MGSM-AS PJSC MegaFon, RU
188.187.196.7|/Satoshi:1.0.0/|60013|41786|188.187.196.0/22|RU|ripencc|2009-06-19|ERTH-YOLA-AS, RU
188.187.197.9|/Satoshi:1.0.0/|60013|41786|188.187.196.0/22|RU|ripencc|2009-06-19|ERTH-YOLA-AS, RU
195.201.212.176|/Satoshi:1.0.0/|60013|24940|195.201.0.0/16|DE|ripencc|1997-09-22|HETZNER-AS, DE
31.8.166.155|/Satoshi:1.0.0/|60013|28812|31.8.0.0/16|RU|ripencc|2011-04-12|JSCBIS-AS, RU
45.63.1.153|/Satoshi:1.0.0/|60013|20473|45.63.0.0/20|US|arin|2015-01-02|AS-CHOOPA, US
70.50.33.170|/Satoshi:1.0.0/|60013|577|70.50.0.0/16|CA|arin|2004-05-10|BACOM, CA
74.15.248.23|/Satoshi:1.0.0/|60013|577|74.15.0.0/16|CA|arin|2006-01-19|BACOM, CA
79.112.59.152|/Satoshi:1.0.0/|60013|8708|79.112.0.0/14|RO|ripencc|2007-05-29|RCS-RDS 73-75 Dr. Staicovici, RO
80.110.114.216|/Satoshi:1.0.0/|60013|6830|80.110.0.0/17|AT|ripencc|2001-07-19|LIBERTYGLOBAL Liberty Global (formerly UPC Broadband Holding, aka AORTA), AT
80.85.86.106|/Satoshi:1.0.0/|60013|63949|80.85.84.0/22|GB|ripencc|2003-05-19|LINODE-AP Linode, LLC, US
91.11.180.43|/Satoshi:1.0.0/|60013|3320|91.0.0.0/10|DE|ripencc|2006-07-03|DTAG Internet service provider operations, DE
92.86.36.171|/Satoshi:1.0.0/|60013|9050|92.86.0.0/16|RO|ripencc|2007-08-15|RTD Bucharest, Romania, RO
93.81.200.213|/Satoshi:1.0.0/|60013|8402|93.81.200.0/22|RU|ripencc|2008-02-05|CORBINA-AS OJSC _Vimpelcom_, RU
94.140.132.209|/Satoshi:1.0.0/|60013|25086|94.140.132.0/24|RU|ripencc|2008-12-04|URALTC-AS, RU
94.25.165.89|/Satoshi:1.0.0/|60013|25159|94.25.160.0/21|RU|ripencc|2008-06-10|SONICDUO-AS, RU
