# https://chainz.cryptoid.info/ and whois results
# Quark
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
101.132.153.65|/Satoshi:0.10.7.4/|70004|37963|101.132.0.0/16|CN|apnic|2010-12-16|CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co.,Ltd., CN
101.187.42.235|/Satoshi:0.10.7.4/|70004|1221|101.160.0.0/11|AU|apnic|2010-12-23|ASN-TELSTRA Telstra Corporation Ltd, AU
104.233.248.198|/Satoshi:0.10.7.4/|70004|54600|104.233.248.0/22|US|arin|2014-11-03|PEGTECHINC, US
114.231.149.105|/Satoshi:0.10.7.4/|70004|4134|114.224.0.0/12|CN|apnic|2008-06-24|CHINANET-BACKBONE No.31,Jin-rong Street, CN
117.84.77.135|/Satoshi:0.10.7.4/|70004|4134|117.80.0.0/13|CN|apnic|2007-07-04|CHINANET-BACKBONE No.31,Jin-rong Street, CN
121.36.61.114|/Satoshi:0.10.7.4/|70004|55990|121.36.0.0/17|CN|apnic|2006-05-23|HWCSNET Huawei Cloud Service data center, CN
159.65.39.139|/Satoshi:0.10.7.4/|70004|14061|159.65.32.0/20|US|arin|2017-10-24|DIGITALOCEAN-ASN, US
160.19.49.41|???|0|135386|160.19.49.0/24|HK|apnic|2016-09-05|LTG-AS-AP LinkChina Telecom Global Limited., HK
175.169.238.167|/Satoshi:0.10.7.4/|70004|4837|175.160.0.0/12|CN|apnic|2010-01-08|CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
176.192.242.158|/Satoshi:0.10.7.4/|70004|12714|176.192.0.0/15|RU|ripencc|2011-07-07|TI-AS Moscow, Russia, RU
180.163.97.74|???|0|4812|180.160.0.0/13|CN|apnic|2009-08-21|CHINANET-SH-AP China Telecom (Group), CN
180.163.97.88|???|0|4812|180.160.0.0/13|CN|apnic|2009-08-21|CHINANET-SH-AP China Telecom (Group), CN
188.226.90.195|/Satoshi:0.10.7.4/|70004|12668|188.226.0.0/17|RU|ripencc|2009-07-01|MIRALOGIC-AS, RU
193.47.35.70|/Satoshi:0.10.7.4/|70004|52000|193.47.35.0/24|RU|ripencc|2018-10-23|MIRHOSTING, RU
194.160.80.211|/Satoshi:0.10.7.4/|70004|2607|194.160.0.0/16|SK|ripencc|1995-05-03|SANET Slovak Academic Network, SK
194.160.80.213|/Satoshi:0.10.7.4/|70004|2607|194.160.0.0/16|SK|ripencc|1995-05-03|SANET Slovak Academic Network, SK
194.160.80.214|/Satoshi:0.10.7.4/|70004|2607|194.160.0.0/16|SK|ripencc|1995-05-03|SANET Slovak Academic Network, SK
24.220.33.141|/Satoshi:0.10.7.4/|70004|11232|24.220.0.0/16|US|arin|1998-12-15|MIDCO-NET, US
37.120.206.165|/Satoshi:0.10.7.4/|70004|9009|37.120.206.0/24|RO|ripencc|2012-02-13|M247, GB
37.59.8.99|/Satoshi:0.10.7.4/|70004|16276|37.59.0.0/16|FR|ripencc|2012-01-16|OVH, FR
45.11.89.6|/Satoshi:0.10.7.4/|70004|62164|45.11.89.0/24|CA|ripencc|2019-04-26|HEYMMAN, CA
45.207.46.201|???|0|133199|45.207.46.0/24|SC|afrinic|2014-12-01|SONDERCLOUDLIMITED-AS-AP SonderCloud Limited, HK
5.196.91.94|/Satoshi:0.10.7.4/|70004|16276|5.196.0.0/16|FR|ripencc|2012-08-23|OVH, FR
66.235.6.33|/Satoshi:0.10.7.4/|70004|11404|66.235.0.0/18|US|arin|2002-02-21|AS-WAVE-1, US
73.167.172.6|???|0|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
78.47.183.37|/Satoshi:0.10.7.4/|70004|24940|78.46.0.0/15|DE|ripencc|2007-04-16|HETZNER-AS, DE
79.137.57.54|/Satoshi:0.10.7.4/|70004|16276|79.137.0.0/17|FR|ripencc|2007-10-18|OVH, FR
88.103.100.67|/Satoshi:0.10.7.4/|70004|5610|88.102.0.0/15|CZ|ripencc|2005-10-04|O2-CZECH-REPUBLIC, CZ
93.104.214.182|/Satoshi:0.10.7.4/|70004|8767|93.104.0.0/16|DE|ripencc|2008-03-18|MNET-AS Germany, DE
93.228.73.64|/Satoshi:0.10.7.4/|70004|3320|93.192.0.0/10|DE|ripencc|2008-02-12|DTAG Internet service provider operations, DE
