# https://chainz.cryptoid.info/ and whois results
# Sprouts
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
1.33.221.114|/Satoshi:0.8.6/Sprouts:0.2.0v0.2.0.0gfe810be89b877ce04fabd65f1a8eba778b558f3c/|70002|2514|1.33.0.0/16|JP|apnic|2010-06-28|INFOSPHERE NTT PC Communications, Inc., JP
101.141.58.68|/Satoshi:0.8.6/Sprouts:0.2.1v0.2.1.0gd137e26940c89d3ebf8a698617dee81decd54d34/|70002|17511|101.140.0.0/14|JP|apnic|2010-12-22|OPTAGE OPTAGE Inc., JP
101.142.33.216|/Satoshi:0.8.6/Sprouts:0.2.1v0.2.1.0gd137e26940c89d3ebf8a698617dee81decd54d34/|70002|17511|101.140.0.0/14|JP|apnic|2010-12-22|OPTAGE OPTAGE Inc., JP
103.2.250.181|/Satoshi:0.8.6/Sprouts:0.2.0v0.2.0.0gfe810be89b877ce04fabd65f1a8eba778b558f3c/|70002|55391|103.2.248.0/22|JP|apnic|2011-04-27|MF-NATIVE6-E INTERNET MULTIFEED CO., JP
103.212.79.196|/Satoshi:0.8.6/Sprouts:0.2.1v0.2.1.0gd137e26940c89d3ebf8a698617dee81decd54d34/|70002|131954|103.212.76.0/22|JP|apnic|2016-03-29|LCNET Kawaguchiko cable television Inc, JP
104.171.122.109|/Satoshi:0.8.6/Sprouts:0.2.1v0.2.1.0gd137e26940c89d3ebf8a698617dee81decd54d34/|70002|31863|104.171.112.0/20|US|arin|2014-09-10|DACEN-2, US
106.154.120.214|/Satoshi:0.8.6/Sprouts:0.2.1v0.2.1.0gd137e26940c89d3ebf8a698617dee81decd54d34/|70002|2516|106.128.0.0/11|JP|apnic|2011-03-15|KDDI KDDI CORPORATION, JP
106.163.83.236|/Satoshi:0.8.6/Sprouts:0.2.0v0.2.0.0gfe810be89b877ce04fabd65f1a8eba778b558f3c/|70002|2516|106.163.0.0/16|JP|apnic|2011-03-15|KDDI KDDI CORPORATION, JP
106.180.13.164|/Satoshi:0.8.6/Sprouts:0.2.1v0.2.1.0gd137e26940c89d3ebf8a698617dee81decd54d34/|70002|2516|106.180.0.0/16|JP|apnic|2011-03-15|KDDI KDDI CORPORATION, JP
109.184.219.22|/Satoshi:0.8.6/Sprouts:0.2.0v0.2.0.0gfe810be89b877ce04fabd65f1a8eba778b558f3c/|70002|12389|109.184.0.0/16|RU|ripencc|2009-10-05|ROSTELECOM-AS, RU
110.131.18.184|/Satoshi:0.8.6/Sprouts:0.2.1v0.2.1.0gd137e26940c89d3ebf8a698617dee81decd54d34/|70002|9824|110.131.0.0/16|JP|apnic|2009-04-16|JTCL-JP-AS Jupiter Telecommunication Co. Ltd, JP
110.134.240.63|/Satoshi:0.8.6/Sprouts:0.2.0v0.2.0.0gfe810be89b877ce04fabd65f1a8eba778b558f3c/|70002|9824|110.134.0.0/16|JP|apnic|2009-04-16|JTCL-JP-AS Jupiter Telecommunication Co. Ltd, JP
110.137.73.90|/Satoshi:0.8.6/Sprouts:0.2.1v0.2.1.0gd137e26940c89d3ebf8a698617dee81decd54d34/|70002|7713|110.137.73.0/24|ID|apnic|2009-04-20|TELKOMNET-AS-AP PT Telekomunikasi Indonesia, ID
110.137.74.209|/Satoshi:0.8.6/Sprouts:0.2.1v0.2.1.0gd137e26940c89d3ebf8a698617dee81decd54d34/|70002|7713|110.137.74.0/24|ID|apnic|2009-04-20|TELKOMNET-AS-AP PT Telekomunikasi Indonesia, ID
110.233.23.110|/Satoshi:0.8.6/Sprouts:0.2.1v0.2.1.0gd137e26940c89d3ebf8a698617dee81decd54d34/|70002|2518|110.233.0.0/16|JP|apnic|2009-05-21|BIGLOBE BIGLOBE Inc., JP
111.239.168.133|/Satoshi:0.8.6/Sprouts:0.2.1v0.2.1.0gd137e26940c89d3ebf8a698617dee81decd54d34/|70002|2516|111.236.0.0/14|JP|apnic|2009-08-07|KDDI KDDI CORPORATION, JP
111.239.169.99|/Satoshi:0.8.6/Sprouts:0.2.1v0.2.1.0gd137e26940c89d3ebf8a698617dee81decd54d34/|70002|2516|111.236.0.0/14|JP|apnic|2009-08-07|KDDI KDDI CORPORATION, JP
111.239.171.229|/Satoshi:0.8.6/Sprouts:0.2.1v0.2.1.0gd137e26940c89d3ebf8a698617dee81decd54d34/|70002|2516|111.236.0.0/14|JP|apnic|2009-08-07|KDDI KDDI CORPORATION, JP
111.239.187.108|/Satoshi:0.8.6/Sprouts:0.2.1v0.2.1.0gd137e26940c89d3ebf8a698617dee81decd54d34/|70002|2516|111.236.0.0/14|JP|apnic|2009-08-07|KDDI KDDI CORPORATION, JP
111.239.189.63|/Satoshi:0.8.6/Sprouts:0.2.1v0.2.1.0gd137e26940c89d3ebf8a698617dee81decd54d34/|70002|2516|111.236.0.0/14|JP|apnic|2009-08-07|KDDI KDDI CORPORATION, JP
111.239.252.158|/Satoshi:0.8.6/Sprouts:0.2.1v0.2.1.0gd137e26940c89d3ebf8a698617dee81decd54d34/|70002|2516|111.236.0.0/14|JP|apnic|2009-08-07|KDDI KDDI CORPORATION, JP
111.99.156.216|/Satoshi:0.8.6/Sprouts:0.2.1v0.2.1.0gd137e26940c89d3ebf8a698617dee81decd54d34/|70002|2516|111.99.0.0/16|JP|apnic|2009-06-12|KDDI KDDI CORPORATION, JP
113.150.51.217|/Satoshi:0.8.6/Sprouts:0.2.0v0.2.0.0gfe810be89b877ce04fabd65f1a8eba778b558f3c/|70002|2516|113.150.0.0/16|JP|apnic|2008-11-10|KDDI KDDI CORPORATION, JP
113.234.209.5|/Satoshi:0.8.6/Sprouts:0.2.1v0.2.1.0gd137e26940c89d3ebf8a698617dee81decd54d34/|70002|4837|113.224.0.0/12|CN|apnic|2008-12-08|CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
114.160.202.241|/Satoshi:0.8.6/Sprouts:0.2.1v0.2.1.0gd137e26940c89d3ebf8a698617dee81decd54d34/|70002|4713|114.160.0.0/11|JP|apnic|2008-06-12|OCN NTT Communications Corporation, JP
