# https://chainz.cryptoid.info/ and whois results
# Stratis
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.254.92.60|/Stratis:2.0.0.5/|70000|32489|104.254.92.0/24|CA|arin|2014-12-30|AMANAHA-NEW, CA
106.68.105.29|/Stratis:2.0.0.3/|70000|7545|106.68.96.0/19|AU|apnic|2011-04-04|TPG-INTERNET-AP TPG Telecom Limited, AU
107.181.189.75|/Stratis:2.0.0.5/|70000|46562|107.181.189.0/24|US|arin|2014-02-14|TOTAL-SERVER-SOLUTIONS, US
108.185.33.28|/Stratis:2.0.0.5/|70000|20001|108.184.0.0/15|US|arin|2013-01-24|TWC-20001-PACWEST, US
108.222.110.180|/Stratis:2.0.0.3/|70000|7018|108.192.0.0/10|US|arin|2011-01-12|ATT-INTERNET4, US
108.228.10.133|StratisNode:3.0.6 (70012)|70012|7018|108.192.0.0/10|US|arin|2011-01-12|ATT-INTERNET4, US
108.7.36.183|/Stratis:2.0.0.5/|70000|701|108.7.0.0/16|US|arin|2009-06-05|UUNET, US
109.111.128.71|/Stratis:2.0.0.5/|70000|31214|109.111.128.0/19|RU|ripencc|2009-11-26|TIS-DIALOG-AS, RU
109.206.213.143|/Stratis:2.0.0.5/|70000|41966|109.206.192.0/19|PL|ripencc|2010-02-08|SKYNET, PL
109.248.156.50|/Stratis:2.0.0.3/|70000|8200|109.248.156.0/22|RU|ripencc|2009-11-27|UPLINK-AS, KZ
109.254.60.227|StratisNode:3.0.7 (70012)|70012|20590|109.254.32.0/19|UA|ripencc|2009-12-10|DEC-AS, UA
112.199.159.24|/Stratis:2.0.0.3/|70000|4773|112.199.128.0/18|SG|apnic|2009-02-17|MOBILEONELTD-AS-AP MobileOne Ltd. Mobile/Internet Service Provider Singapore, SG
113.176.100.54|StratisNode:3.0.7 (70012)|70012|45899|113.176.96.0/20|VN|apnic|2008-11-04|VNPT-AS-VN VNPT Corp, VN
116.126.141.21|/Stratis:2.0.0.5/|70000|9318|116.126.0.0/16|KR|apnic|2007-05-21|SKB-AS SK Broadband Co Ltd, KR
118.243.28.238|???|0|4685|118.243.0.0/16|JP|apnic|2007-11-19|ASAHI-NET Asahi Net, JP
119.203.49.157|StratisNode:3.0.5 (70012)|70012|4766|119.200.0.0/13|KR|apnic|2008-02-26|KIXS-AS-KR Korea Telecom, KR
12.192.192.26|StratisNode:3.0.5 (70012)|70012|7018|12.128.0.0/9|US|arin|1983-08-23|ATT-INTERNET4, US
13.209.60.161|StratisNode:3.0.6 (70012)|70012|16509|13.209.0.0/16|US|arin|2016-08-09|AMAZON-02, US
