# https://chainz.cryptoid.info/ and whois results
# Tao
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
103.107.198.211|/Satori:0.10.1/|61402|137409|103.107.198.0/23|AU|apnic|2018-01-17|GSLNETWORKS-AS-AP GSL Networks Pty LTD, AU
108.184.167.72|/Satori:0.10.0/|61402|20001|108.184.0.0/15|US|arin|2013-01-24|TWC-20001-PACWEST, US
172.90.0.242|/Satori:0.10.1/|61402|20001|172.88.0.0/14|US|arin|2015-05-15|TWC-20001-PACWEST, US
173.249.2.29|/Satori:0.10.0/|61402|51167|173.249.2.0/23|DE|ripencc|2010-05-26|CONTABO, DE
174.95.22.182|/Satori:0.10.1/|61402|577|174.95.0.0/16|CA|arin|2009-02-27|BACOM, CA
185.107.95.228|/Satori:0.10.1/|61402|43350|185.107.92.0/22|NL|ripencc|2015-07-03|NFORCE, NL
192.0.203.120|/Satori:0.10.2/|61402|5645|192.0.128.0/17|CA|arin|2012-11-15|TEKSAVVY, CA
194.35.233.138|/Satori:0.10.1/|61402|62240|194.35.233.0/24|GB|ripencc|2018-09-19|CLOUVIDER Clouvider - Global ASN, GB
2.221.119.18|/Satori:0.10.1/|61402|5607|2.216.0.0/13|GB|ripencc|2010-12-03|BSKYB-BROADBAND-AS, GB
2.50.25.160|/Satori:0.10.2/|61402|5384|2.50.0.0/18|AE|ripencc|2010-05-28|EMIRATES-INTERNET Emirates Internet, AE
212.63.119.159|/Satori:0.10.1/|61402|43160|212.63.116.0/22|ES|ripencc|2009-04-27|ES-MDC-DATACENTER Malaga Data Center, ES
24.196.204.135|/Satori:0.10.0/|61402|20115|24.196.200.0/21|US|arin|2001-05-23|CHARTER-20115, US
24.96.179.40|/Satori:0.10.2/|61402|12083|24.96.128.0/18|US|arin|1996-05-31|WOW-INTERNET, US
34.213.109.12|/Satori:0.10.2/|61402|16509|34.208.0.0/12|US|arin|2016-09-12|AMAZON-02, US
37.120.208.73|/Satori:0.10.2/|61402|9009|37.120.208.0/24|RO|ripencc|2012-02-13|M247, GB
45.48.67.37|/Satori:0.10.2/|61402|20001|45.48.0.0/14|US|arin|2015-01-06|TWC-20001-PACWEST, US
46.101.235.143|/Satori:0.10.2/|61402|14061|46.101.128.0/17|NL|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
64.62.255.4|/Satori:0.9.2.5/|61402|394996|64.62.255.0/24|US|arin|2002-08-27|PAPERSPACE, US
70.31.40.96|/Satori:0.10.1/|61402|577|70.31.0.0/16|CA|arin|2008-01-28|BACOM, CA
72.133.71.151|/Satori:0.9.2.5/|61402|11427|72.133.64.0/18|US|arin|2005-08-02|TWC-11427-TEXAS, US
72.179.52.174|/Satori:0.10.2/|61402|11427|72.176.0.0/13|US|arin|2005-11-21|TWC-11427-TEXAS, US
74.215.116.169|/Satori:0.10.2/|61402|6181|74.215.0.0/17|US|arin|2007-01-19|FUSE-NET, US
76.88.34.141|/Satori:0.10.2/|61402|20001|76.88.0.0/16|US|arin|2006-12-22|TWC-20001-PACWEST, US
78.153.199.22|/Satori:0.10.1/|61402|39122|78.153.192.0/19|IE|ripencc|2007-07-11|BLACKNIGHT-AS, IE
81.184.252.139|/Satori:0.10.2/|61402|12357|81.184.240.0/20|ES|ripencc|2002-12-09|COMUNITEL SPAIN, ES
85.19.25.38|/Satori:0.10.2/|61402|3292|85.19.0.0/16|NO|ripencc|2005-03-16|TDC TDC A/S, DK
89.39.107.195|/Satori:0.10.1/|61402|49981|89.39.104.0/22|NL|ripencc|2005-11-29|WORLDSTREAM, NL
89.47.62.117|/Satori:0.10.1/|61402|9009|89.47.62.0/24|VN|ripencc|2005-11-29|M247, GB
94.58.158.92|/Satori:0.10.2/|61402|5384|94.58.128.0/18|AE|ripencc|2008-06-12|EMIRATES-INTERNET Emirates Internet, AE
95.217.78.169|/Satori:0.10.2/|61402|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
96.49.208.199|/Satori:0.9.2.5/|61402|6327|96.49.208.0/22|CA|arin|2008-01-07|SHAW, CA
96.58.2.23|/Satori:0.9.2.5/|61402|33363|96.58.0.0/15|US|arin|2008-02-29|BHN-33363, US
98.151.131.41|/Satori:0.9.2.5/|61402|20001|98.151.0.0/16|US|arin|2007-12-18|TWC-20001-PACWEST, US
99.60.37.21|/Satori:0.10.1/|61402|7018|99.56.0.0/13|US|arin|2008-02-25|ATT-INTERNET4, US
