# https://chainz.cryptoid.info/ and whois results
# Teslacoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
109.53.1.248|/Satoshi:12.1.0/|63003|16232|109.52.0.0/15|IT|ripencc|2009-10-22|ASN-TIM Service Provider, IT
109.53.16.164|/Satoshi:12.1.0/|63003|16232|109.52.0.0/15|IT|ripencc|2009-10-22|ASN-TIM Service Provider, IT
109.53.17.117|/Satoshi:12.1.0/|63003|16232|109.52.0.0/15|IT|ripencc|2009-10-22|ASN-TIM Service Provider, IT
109.53.17.206|/Satoshi:12.1.0/|63003|16232|109.52.0.0/15|IT|ripencc|2009-10-22|ASN-TIM Service Provider, IT
116.202.51.36|/Satoshi:12.1.0/|63003|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
180.181.152.48|/Satoshi:12.1.0/|63003|7477|180.181.128.0/19|AU|apnic|2010-10-18|TEREDONN-AS-AP SkyMesh Pty Ltd, AU
202.179.27.253|/Satoshi:12.1.0/|63003|9934|202.179.27.0/24|MN|apnic|2010-08-17|MICOM-MN-AS Mongolia Telecom, MN
37.228.245.75|/Satoshi:12.1.0/|63003|6830|37.228.224.0/19|IE|ripencc|2012-04-11|LIBERTYGLOBAL Liberty Global (formerly UPC Broadband Holding, aka AORTA), NL
46.101.235.143|/Satoshi:12.1.0/|63003|14061|46.101.128.0/17|US|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
5.170.249.139|/Satoshi:12.1.0/|63003|16232|5.170.0.0/16|IT|ripencc|2012-07-26|ASN-TIM Service Provider, IT
5.171.188.177|/Satoshi:12.1.0/|63003|16232|5.171.0.0/16|IT|ripencc|2012-07-26|ASN-TIM Service Provider, IT
5.171.192.164|/Satoshi:12.1.0/|63003|16232|5.171.0.0/16|IT|ripencc|2012-07-26|ASN-TIM Service Provider, IT
5.171.192.18|/Satoshi:12.1.0/|63003|16232|5.171.0.0/16|IT|ripencc|2012-07-26|ASN-TIM Service Provider, IT
5.171.198.183|/Satoshi:12.1.0/|63003|16232|5.171.0.0/16|IT|ripencc|2012-07-26|ASN-TIM Service Provider, IT
5.171.235.128|/Satoshi:12.1.0/|63003|16232|5.171.0.0/16|IT|ripencc|2012-07-26|ASN-TIM Service Provider, IT
65.103.126.254|/Satoshi:12.1.0/|63003|209|65.103.112.0/20|US|arin|2001-01-03|CENTURYLINK-US-LEGACY-QWEST, US
73.109.209.35|/Satoshi:12.1.0/|63003|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
74.37.91.113|/Satoshi:12.1.0/|63003|5650|74.32.0.0/12|US|arin|2006-01-27|FRONTIER-FRTR, US
79.170.188.45|/Satoshi:9.4.0/|63002|24722|79.170.188.0/24|TJ|ripencc|2007-10-02|BABILON-AS, TJ
81.247.107.123|/Satoshi:12.1.0/|63003|5432|81.244.0.0/14|BE|ripencc|2002-11-29|PROXIMUS-ISP-AS, BE
84.2.34.93|/Satoshi:12.0.0/|63003|15545|84.2.34.0/23|HU|ripencc|2004-09-17|MT-DC-AS EU. Hungary, HU
85.23.235.15|/Satoshi:12.1.0/|63003|16086|85.23.0.0/16|FI|ripencc|2005-04-06|DNA, FI
87.116.162.202|/Satoshi:12.1.0/|63003|31042|87.116.160.0/19|RS|ripencc|2005-09-15|SERBIA-BROADBAND-AS Serbia BroadBand-Srpske Kablovske mreze d.o.o., RS
89.172.24.109|/Satoshi:12.1.0/|63003|5391|89.172.0.0/16|HR|ripencc|2006-03-24|T-HT Croatian Telecom Inc., HR
91.123.176.251|/Satoshi:12.0.0/|63003|51792|91.123.176.0/20|PL|ripencc|2010-10-20|GIGA-AS # 1, PL
91.148.76.168|/Satoshi:12.1.0/|63003|6700|91.148.64.0/18|RS|ripencc|2006-11-10|BEOTEL-AS http://www.beotel.net, RS
93.138.126.0|/Satoshi:12.1.0/|63003|5391|93.138.0.0/16|HR|ripencc|2008-04-23|T-HT Croatian Telecom Inc., HR
95.217.78.168|/Satoshi:12.1.0/|63003|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
97.71.158.165|/Satoshi:12.1.0/|63003|33363|97.71.128.0/17|US|arin|2007-04-19|BHN-33363, US
