# https://chainz.cryptoid.info/ and whois results
# ToaCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
101.108.106.112|/TOA:1.1.0/|60016|23969|101.108.96.0/20|TH|apnic|2010-12-13|TOT-NET TOT Public Company Limited, TH
101.108.240.72|/TOA:1.1.0/|60016|23969|101.108.240.0/20|TH|apnic|2010-12-13|TOT-NET TOT Public Company Limited, TH
109.62.132.31|/TOA:1.1.0/|60016|12389|109.62.128.0/21|RU|ripencc|2009-12-31|ROSTELECOM-AS, RU
109.62.139.205|/TOA:1.1.0/|60016|12389|109.62.136.0/21|RU|ripencc|2009-12-31|ROSTELECOM-AS, RU
128.199.78.56|/TOA:1.1.0/|60016|14061|128.199.64.0/18|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US
135.23.193.181|/TOA:1.1.0/|60016|5645|135.23.192.0/20|CA|arin|2013-05-09|TEKSAVVY, CA
165.227.115.109|/TOA:1.1.0/|60016|14061|165.227.112.0/20|US|arin|2016-10-06|DIGITALOCEAN-ASN, US
176.113.74.85|/TOA:1.1.0/|60016|9009|176.113.74.0/24|RO|ripencc|2018-10-15|M247, GB
176.59.210.61|/TOA:1.1.0/|60016|48190|176.59.192.0/19|RU|ripencc|2011-06-06|T2-EKATERINBURG-AS Tele2 Russia Network, RU
176.59.212.200|/TOA:1.1.0/|60016|48190|176.59.192.0/19|RU|ripencc|2011-06-06|T2-EKATERINBURG-AS Tele2 Russia Network, RU
185.144.62.253|/TOA:1.1.0/|60016|43991|185.144.62.0/23|RU|ripencc|2016-03-21|VORONEZHTELECOM-AS, RU
185.5.53.200|/TOA:1.1.0/|60016|62282|185.5.52.0/22|LT|ripencc|2012-10-01|RACKRAY UAB Rakrejus, LT
188.35.131.171|/TOA:1.1.0/|60016|34123|188.35.0.0/16|RU|ripencc|2009-03-31|NETORN-AS, RU
2.95.19.86|/TOA:1.1.0/|60016|3216|2.95.0.0/16|RU|ripencc|2010-05-21|SOVAM-AS, RU
202.184.192.117|/TOA:1.1.0/|60016|9930|202.184.0.0/15|MY|apnic|1995-10-09|TTNET-MY TIME dotCom Berhad No. 14, Jalan Majistret U1/26 Hicom Glenmarie Industrial Park 40150 Shah Alam Selangor, Malaysia, MY
202.185.47.168|/TOA:1.1.0/|60016|9930|202.184.0.0/15|MY|apnic|1995-10-09|TTNET-MY TIME dotCom Berhad No. 14, Jalan Majistret U1/26 Hicom Glenmarie Industrial Park 40150 Shah Alam Selangor, Malaysia, MY
31.40.114.71|/TOA:1.1.0/|60016|56761|31.40.112.0/20|RU|ripencc|2011-05-05|MULTINEX-MIASS-AS, RU
31.40.218.121|/TOA:1.1.0/|60016|56630|31.40.216.0/22|NL|ripencc|2018-11-09|MELBICOM-EU-AS Melbikomas UAB, NL
37.147.140.231|/TOA:1.1.0/|60016|8402|37.147.128.0/19|RU|ripencc|2012-03-02|CORBINA-AS OJSC _Vimpelcom_, RU
46.101.235.143|/TOA:1.1.0/|60016|14061|46.101.128.0/17|NL|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
60.225.203.102|/TOA:1.1.0/|60016|1221|60.224.0.0/13|AU|apnic|2004-07-28|ASN-TELSTRA Telstra Corporation Ltd, AU
91.195.204.72|/TOA:1.1.0/|60016|42916|91.195.204.0/23|RU|ripencc|2007-10-15|IT-AS, RU
95.30.146.210|/TOA:1.1.0/|60016|3216|95.30.0.0/16|RU|ripencc|2008-10-10|SOVAM-AS, RU
95.6.82.190|/TOA:1.1.0/|60016|9121|95.6.82.0/24|TR|ripencc|2008-10-14|TTNET, TR
