# https://chainz.cryptoid.info/ and whois results
# Terracoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.236.58.131|/Terracoin Core:0.12.2.5/|70208|14061|104.236.0.0/18|US|arin|2014-10-28|DIGITALOCEAN-ASN, US
107.152.197.134|/Terracoin Core:0.12.2.5/|70208|55286|107.152.197.0/24|CA|arin|2013-12-13|SERVER-MANIA, CA
107.170.238.241|/Terracoin Core:0.12.2.5/|70208|14061|107.170.192.0/18|US|arin|2013-12-30|DIGITALOCEAN-ASN, US
107.172.142.197|/Terracoin Core:0.12.2.4/|70208|36352|107.172.140.0/22|US|arin|2013-12-27|AS-COLOCROSSING, US
107.172.157.135|/Terracoin Core:0.12.2.4/|70208|36352|107.172.157.0/24|US|arin|2013-12-27|AS-COLOCROSSING, US
107.173.24.117|/Terracoin Core:0.12.2.4/|70208|36352|107.173.24.0/21|US|arin|2013-12-27|AS-COLOCROSSING, US
108.61.167.216|/Terracoin Core:0.12.2.5/|70208|20473|108.61.164.0/22|US|arin|2010-12-08|AS-CHOOPA, US
108.61.175.216|/Terracoin Core:0.12.2.5/|70208|20473|108.61.172.0/22|US|arin|2010-12-08|AS-CHOOPA, US
109.248.13.160|/Terracoin Core:0.12.2.5/|70208|35048|109.248.12.0/23|CZ|ripencc|2009-11-27|BITERIKA-AS, RU
109.248.14.127|/Terracoin Core:0.12.2.5/|70208|35048|109.248.14.0/23|CZ|ripencc|2009-11-27|BITERIKA-AS, RU
109.248.54.173|/Terracoin Core:0.12.2.5/|70208|35048|109.248.54.0/23|CZ|ripencc|2009-11-27|BITERIKA-AS, RU
128.199.213.194|/Terracoin Core:0.12.2.4/|70208|14061|128.199.192.0/18|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US
130.185.239.133|/Terracoin Core:0.12.2.5/|70208|32181|130.185.239.0/24|BG|ripencc|2011-10-25|ASN-GIGENET, US
135.181.133.49|/Terracoin Core:0.12.2.5/|70208|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE
140.227.212.112|/Terracoin Core:0.12.2.4/|70208|2514|140.227.0.0/16|JP|apnic|1990-06-21|INFOSPHERE NTT PC Communications, Inc., JP
140.82.36.160|/Terracoin Core:0.12.2.5/|70208|20473|140.82.32.0/21|US|arin|2018-03-15|AS-CHOOPA, US
144.202.59.246|/Terracoin Core:0.12.2.5/|70208|20473|144.202.48.0/20|US|arin|2018-02-05|AS-CHOOPA, US
144.217.33.12|/Terracoin Core:0.12.2.4/|70208|16276|144.217.0.0/16|CA|arin|2016-09-07|OVH, FR
144.217.33.13|/Terracoin Core:0.12.2.4/|70208|16276|144.217.0.0/16|CA|arin|2016-09-07|OVH, FR
144.217.33.24|/Terracoin Core:0.12.2.4/|70208|16276|144.217.0.0/16|CA|arin|2016-09-07|OVH, FR
144.217.33.6|/Terracoin Core:0.12.2.4/|70208|16276|144.217.0.0/16|CA|arin|2016-09-07|OVH, FR
147.135.97.183|/Terracoin Core:0.12.2.4/|70208|16276|147.135.0.0/17|US|arin|2017-03-22|OVH, FR
149.248.37.122|/Terracoin Core:0.12.2.4/|70208|20473|149.248.32.0/20|US|arin|2018-07-03|AS-CHOOPA, US
149.56.19.211|/Terracoin Core:0.12.2.4/|70208|16276|149.56.0.0/16|CA|arin|2016-02-09|OVH, FR
159.69.197.13|/Terracoin Core:0.12.2.4/|70208|24940|159.69.0.0/16|DE|ripencc|1992-03-13|HETZNER-AS, DE
