# https://chainz.cryptoid.info/ and whois results
# Trexcoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
116.202.84.154|/Satoshi:1.0.0/|60013|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
138.201.54.207|/Satoshi:1.0.0/|60013|24940|138.201.0.0/16|DE|ripencc|1990-05-23|HETZNER-AS, DE
138.99.69.162|/Satoshi:1.0.0/|60013|264160|138.99.68.0/22|BR|lacnic|2015-03-19|PRYMUS PROVEDOR DE ACESSO A REDES TELECOM LTDA, BR
149.248.17.139|/Satoshi:1.0.0/|60013|20473|149.248.0.0/19|US|arin|2018-07-03|AS-CHOOPA, US
154.223.134.122|/Satoshi:1.0.0/|60013|137443|154.223.128.0/19|SC|afrinic|2016-09-23|ANCHGLOBAL-AS-AP Anchnet Asia Limited, HK
176.40.239.106|/Satoshi:1.0.0/|60013|34984|176.40.232.0/21|TR|ripencc|2011-05-20|TELLCOM-AS, TR
178.150.238.196|/Satoshi:1.0.0/|60013|13188|178.150.238.0/24|UA|ripencc|2010-04-15|TRIOLAN, UA
178.93.167.11|/Satoshi:1.0.0/|60013|6849|178.93.164.0/22|UA|ripencc|2009-12-15|UKRTELNET, UA
185.223.127.148|/Satoshi:1.0.0/|60013|205277|185.223.126.0/23|AM|ripencc|2017-10-02|INTERLINK, AM
188.35.131.171|/Satoshi:1.0.0/|60013|34123|188.35.0.0/16|RU|ripencc|2009-03-31|NETORN-AS, RU
189.4.67.32|/Satoshi:1.0.0/|60013|28573|189.4.64.0/18|BR|lacnic|2006-09-06|CLARO S.A., BR
190.200.87.219|/Satoshi:1.0.0/|60013|8048|190.200.64.0/19|VE|lacnic|2007-06-13|CANTV Servicios, Venezuela, VE
202.83.42.194|/Satoshi:1.0.0/|60013|17465|202.83.42.0/24|IN|apnic|2004-03-15|ASIANET Cable ISP in India, IN
212.102.60.222|/Satoshi:1.0.0/|60013|60068|212.102.60.0/23|GB|ripencc|1999-06-10|CDN77, GB
213.195.101.117|/Satoshi:1.0.0/|60013|15704|213.195.96.0/20|ES|ripencc|2000-01-31|AS15704, ES
45.63.1.153|/Satoshi:1.0.0/|60013|20473|45.63.0.0/20|US|arin|2015-01-02|AS-CHOOPA, US
45.89.173.197|/Satoshi:1.0.0/|60013|9009|45.89.173.0/24|RO|ripencc|2019-06-21|M247, GB
5.180.62.58|/Satoshi:1.0.0/|60013|62240|5.180.62.0/24|DE|ripencc|2019-03-28|CLOUVIDER Clouvider - Global ASN, GB
50.245.85.73|/Satoshi:1.0.0/|60013|7922|50.128.0.0/9|US|arin|2010-10-21|COMCAST-7922, US
77.242.107.120|/Satoshi:1.0.0/|60013|15493|77.242.96.0/20|RU|ripencc|2007-02-28|RUSCOMP-AS Russian company LLC. Internet Service Provider, Tyumen, RU
78.95.10.139|/Satoshi:1.0.0/|60013|39891|78.95.10.0/24|SA|ripencc|2007-07-30|ALJAWWALSTC-AS, SA
78.95.159.30|/Satoshi:1.0.0/|60013|39891|78.95.159.0/24|SA|ripencc|2007-07-30|ALJAWWALSTC-AS, SA
79.186.128.76|/Satoshi:1.0.0/|60013|5617|79.184.0.0/13|PL|ripencc|2007-06-15|TPNET, PL
80.131.231.160|/Satoshi:1.0.0/|60013|3320|80.128.0.0/12|DE|ripencc|2001-08-06|DTAG Internet service provider operations, DE
80.131.234.115|/Satoshi:1.0.0/|60013|3320|80.128.0.0/12|DE|ripencc|2001-08-06|DTAG Internet service provider operations, DE
83.11.207.162|/Satoshi:1.0.0/|60013|5617|83.8.0.0/13|PL|ripencc|2003-12-03|TPNET, PL
86.106.87.68|/Satoshi:1.0.0/|60013|9009|86.106.87.0/24|RO|ripencc|2005-04-18|M247, GB
89.187.171.227|/Satoshi:1.0.0/|60013|60068|89.187.170.0/23|CZ|ripencc|2006-04-28|CDN77, GB
